iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,16,C,C,1,156,63595,59756,3807,63751,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.07323278101937819,0.1296074676878889,175.8330535888672
2,index_1,16,16,D,B,0,163,205055,201737,3286,205218,"[""B"", ""C"", ""D"", ""D"", ""C"", ""D"", ""D"", ""C"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B""]",0.3223356891249196,0.6680229775011968,400.0158348083496
3,index_2,16,16,C,C,1,187,47280,40602,6646,47467,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.07354737249663433,0.136668262326472,84.58886694908142
4,index_3,16,16,B,D,0,161,57725,55144,2548,57886,"[""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.07364927688790548,0.1265557683101962,147.3531792163849
5,index_4,16,16,C,C,1,393,54030,48297,5701,54423,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.06809028575223365,0.1360698898994734,124.336190700531
6,index_5,16,16,C,C,1,207,107938,102967,4939,108145,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1448852192883342,0.2610698898994734,403.2659146785736
7,index_6,16,16,C,C,1,199,45284,39597,5655,45483,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.06940486039821392,0.1222474868358065,82.93400573730469
8,index_7,16,16,D,D,1,479,82753,79480,3241,83232,"[""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.08915768055910209,0.1884873145045476,243.9436376094818
9,index_8,16,16,A,A,1,270,84089,78521,5536,84359,"[""A"", ""A"", ""A"", ""B"", ""A"", ""B"", ""B"", ""B"", ""A"", ""B"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A""]",0.11125549404213103,0.1915988511249401,193.11404633522034
10,index_9,16,16,C,C,1,156,66662,63596,3034,66818,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.08815812116100233,0.1540808999521302,152.59048581123352
