iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,33,33,1,192,187337,145209,42000,187529,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""43"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",0.31914990496883355,0.7022831050228311,111.07492876052856
2,index_1,64,64,23,23,1,224,464338,429402,28201,464562,"[""23"", ""5"", ""23"", ""23"", ""23"", ""19"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""11"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""7"", ""23"", ""121"", ""5"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""47"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",0.4508405535380714,1.0,595.1605100631714
3,index_2,64,64,116,116,1,170,149483,121715,27640,149653,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",0.22277490510008668,0.5306697108066971,93.74286150932312
4,index_3,64,64,809,809,1,143,254637,234021,20488,254780,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""404"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""404"", ""809"", ""809"", ""404"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",0.2597245791080178,0.8685692541856925,234.96759414672852
5,index_4,64,64,197,287,0,139,855886,835007,20751,856025,"[""239"", ""287"", ""101"", ""144"", ""2929"", ""27127"", ""8603"", ""8603"", ""8603"", ""254"", ""197"", ""287"", ""197"", ""135"", ""803"", ""389"", ""17"", ""287"", ""273"", ""197"", ""287"", ""197"", ""144"", ""197"", ""254"", ""254"", ""254"", ""144"", ""287"", ""2929"", ""68823"", ""273"", ""197"", ""273"", ""15"", ""141"", ""1029"", ""117"", ""917"", ""197"", ""287"", ""273"", ""33"", ""254"", ""287"", ""8603"", ""287"", ""287"", ""287"", ""123"", ""287"", ""35"", ""2025"", ""273"", ""197"", ""239"", ""287"", ""287"", ""197"", ""10231"", ""144"", ""239"", ""254"", ""307""]",0.6505842833931158,1.0,1351.8619825839996
6,index_5,64,64,385,16,0,126,715840,686423,29290,715966,"[""16"", ""12"", ""12"", ""12"", ""16"", ""36"", ""16"", ""72"", ""24"", ""16"", ""12"", ""16"", ""16"", ""16"", ""16"", ""16"", ""48"", ""16"", ""76"", ""36"", ""72"", ""16"", ""76"", ""12"", ""16"", ""16"", ""48"", ""72"", ""36"", ""24"", ""16"", ""16"", ""16"", ""24"", ""24"", ""16"", ""24"", ""12"", ""12"", ""24"", ""16"", ""16"", ""16"", ""24"", ""12"", ""24"", ""96"", ""6"", ""16"", ""16"", ""16"", ""12"", ""24"", ""16"", ""16"", ""16"", ""48"", ""16"", ""16"", ""16"", ""16"", ""24"", ""24"", ""16""]",0.7404634761893796,1.0,892.4465353488922
7,index_6,64,64,371,69,0,121,844591,826187,18276,844712,"[""69"", ""69"", ""35"", ""73"", ""39"", ""33"", ""69"", ""33"", ""17"", ""273"", ""63"", ""62"", ""9"", ""133"", ""179"", ""179"", ""131"", ""17"", ""133"", ""69"", ""135"", ""337"", ""163"", ""141"", ""137"", ""139"", ""17"", ""67"", ""177"", ""71"", ""38"", ""35"", ""9"", ""337"", ""17"", ""139"", ""17"", ""48"", ""17"", ""137"", ""179"", ""137"", ""133"", ""73"", ""139"", ""151"", ""9"", ""69"", ""8"", ""69"", ""63"", ""71"", ""38"", ""9"", ""9"", ""17"", ""135"", ""301"", ""69"", ""139"", ""33"", ""39"", ""35"", ""33""]",0.7213735219648761,1.0,1253.1244041919708
8,index_7,64,64,601,601,1,117,825656,801852,23676,825773,"[""601"", ""1"", ""6"", ""403"", ""601"", ""7"", ""601"", ""601"", ""301"", ""7"", ""601"", ""601"", ""601"", ""7"", ""601"", ""601"", ""601"", ""601"", ""7"", ""601"", ""601"", ""7"", ""13"", ""7"", ""601"", ""7"", ""601"", ""601"", ""403"", ""7"", ""401"", ""13"", ""601"", ""1195"", ""601"", ""601"", ""601"", ""601"", ""13"", ""304"", ""1"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""11"", ""13"", ""601"", ""601"", ""301"", ""6"", ""601"", ""607"", ""7"", ""601"", ""601"", ""601"", ""7"", ""401"", ""601""]",0.7906102180263267,1.0,1192.6322298049927
9,index_8,64,64,25,25,1,95,335638,313042,22468,335733,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",0.36860284153942247,0.8317351598173516,374.1116769313812
10,index_9,64,64,55,55,1,106,231765,178489,20382,231871,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",0.12710239317189662,0.687062404870624,635.6420516967773
11,index_10,64,64,540,540,1,94,195213,174760,15480,195307,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""2160"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",0.1434789393314533,0.5417808219178082,276.0623722076416
12,index_11,64,64,45,45,1,184,669495,650600,18767,669679,"[""45"", ""36"", ""45"", ""45"", ""45"", ""45"", ""9"", ""45"", ""45"", ""45"", ""45"", ""45"", ""1000"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""44"", ""405"", ""45"", ""45"", ""45"", ""44"", ""45"", ""9"", ""90"", ""45"", ""45"", ""45"", ""45"", ""36"", ""45"", ""45"", ""45"", ""8"", ""45"", ""45"", ""45"", ""45"", ""45"", ""450"", ""45"", ""45"", ""45"", ""45"", ""45"", ""9"", ""45"", ""450"", ""9"", ""45"", ""45"", ""45"", ""45"", ""45""]",0.527317888317458,1.0,1232.0635433197021
13,index_12,64,64,204,204,1,179,163525,130653,32744,163704,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",0.12445418822634743,0.5283105022831049,191.5173044204712
14,index_13,64,64,699,699,1,116,632410,607464,24818,632526,"[""699"", ""699"", ""629"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""479"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699"", ""784"", ""699"", ""699"", ""699"", ""699"", ""629"", ""629"", ""699"", ""699"", ""8888"", ""629""]",0.5227832498144557,1.0,931.216837644577
