iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,32,1,0,0.7,A,A,1,262,21009,21271,"[""A""]",10,0.023580281276193646,0.0884704475827542,63.168251514434814
11,index_10,32,1,0,0.7,A,A,1,399,26910,27309,"[""A""]",15,0.0463864166148651,0.1291190316072629,47.86011862754822
12,index_11,32,2,0,0.7,D,D,1,174,38318,38492,"[""D"", ""D""]",29,0.0480003778182241,0.0985578719270716,77.40236377716064
13,index_12,32,1,0,0.7,A,A,1,340,23620,23960,"[""A""]",14,0.02668513282273495,0.1108869461256818,135.56853580474854
15,index_14,32,1,0,0.7,C,C,1,302,21477,21779,"[""C""]",12,0.024043161470813593,0.1158185758051258,76.68008780479431
17,index_16,32,1,0,0.7,C,C,1,158,21464,21622,"[""C""]",15,0.029749191284935483,0.0910109840842859,37.991384744644165
18,index_17,32,1,0,0.7,B,A,0,245,22989,23234,"[""A""]",14,0.024563558868369865,0.1066278114025256,69.87673664093018
19,index_18,32,1,0,0.7,A,B,0,543,27704,28247,"[""B""]",13,0.03236461481337231,0.158185758051259,131.67773723602295
26,index_25,32,1,0,0.7,D,A,0,372,28162,28534,"[""A""]",11,0.03132321707265622,0.127549876709258,182.42124199867249
28,index_27,32,1,0,0.7,A,A,1,327,30658,30985,"[""A""]",17,0.03077564778717296,0.1458566838526488,133.60486316680908
32,index_31,32,1,0,0.7,C,C,1,156,30923,31079,"[""C""]",16,0.030661269315088217,0.0847343644922663,197.09174299240112
34,index_33,32,1,0,0.7,A,C,0,472,27078,27550,"[""C""]",9,0.03141588094890369,0.1412986624822536,162.64300799369812
39,index_38,32,1,0,0.7,B,B,1,243,15447,15690,"[""B""]",10,0.02319458573310184,0.0873496226556078,35.361528635025024
41,index_40,32,1,0,0.7,A,A,1,147,15096,15243,"[""A""]",8,0.018326849308754747,0.0765149816931928,36.97962021827698
46,index_45,32,1,0,0.7,C,D,0,98,23594,23692,"[""D""]",8,0.028406967211327683,0.0717327953373683,207.6237895488739
53,index_52,32,1,0,0.7,D,A,0,231,28576,28807,"[""A""]",15,0.028773085169439893,0.1099902861839647,159.6990966796875
57,index_56,32,1,0,0.7,D,B,0,191,31363,31554,"[""B""]",16,0.03575769325049707,0.0828663229470223,262.76989483833313
70,index_69,32,1,0,0.7,D,D,1,165,25555,25720,"[""D""]",13,0.024071803804121522,0.1070761413733841,110.14025092124939
