token,frequency,mean_entropy,std_dev_entropy
 suppose,9,2.942769552889656,0.3743195604265871
difference,5,2.9019226770896585,0.32375095746129906
 How,5,2.681844547017336,0.46698571483330925
That,10,2.679868554990744,0.7025492876187396
Earlier,14,2.650278330424114,0.7070511837351101
 actually,44,2.6351494396770323,0.7407463687211784
 Is,7,2.6034126502187243,1.0091150319522153
 proportions,5,2.5981892272865537,0.5288902577810197
 consider,134,2.591096984358979,0.6253295173887348
 computing,5,2.5686712494726427,0.5050694485375331
 accept,6,2.567827518202414,0.5778674964759308
 note,30,2.5573325305414016,0.5322344671937758
Given,31,2.5546806164466394,0.7145072746352472
 according,22,2.54024396012922,0.8520443393619739
com,6,2.525447653861162,0.14409095858992496
 setting,5,2.503393827854334,0.3917688852381883
 re,25,2.5000180102337155,0.6210910590008283
 likely,6,2.491546920472473,0.6496439814514923
 And,6,2.465556805466782,0.6251523364713062
 let,414,2.463384523664312,0.7173431497624921
 calculation,13,2.440208783488339,0.7626093772177053
 looking,12,2.4333311753747924,0.8567518766382599
 led,7,2.426907185311719,0.829939857553882
Perhaps,5,2.4250601773858667,0.6094137606358376
Also,16,2.4178537291809965,0.4952002770592771
 look,24,2.40885423843352,0.8246126801075367
 okay,14,2.390920321335156,0.5076867359782615
 assume,15,2.3858667729667693,0.5058724601696233
 putting,12,2.3617050044269816,0.5590900575171035
 confirm,8,2.3559389967044977,0.41002620428226205
 properly,5,2.355631595159352,0.5341560199796228
 rearr,13,2.35077158081065,0.7899566968983242
Because,20,2.3476329182104525,0.6075251586090201
 via,8,2.3397455607334576,0.601467551798849
 very,8,2.3392846030222447,0.5038018712367067
 fact,11,2.3335446471908416,0.8993803964889026
This,35,2.3266370985126557,0.6212461342545076
 relation,9,2.3105265786941396,0.6393620125967286
 maybe,215,2.305682794511976,0.6877027214716197
 wait,171,2.2947257485758055,0.8237670191602475
 think,239,2.2862757014603146,0.8322442897922823
 instead,6,2.2841515525965406,1.0132214588699617
What,5,2.264030416473158,0.7747776559392664
 Or,13,2.256623501764696,0.5781419216670619
 now,41,2.251863340398101,0.7874598300802957
 verify,8,2.2494769584038465,0.6916046196246509
 optional,6,2.2489588682730477,0.5263364860394107
Another,14,2.2311602001197883,0.8211806123412917
 having,8,2.2301207488276935,0.7194920108433395
Same,5,2.228462269077743,0.6513216910317384
 adding,11,2.2271947856254752,0.677348968266377
Since,81,2.2161998945806456,0.7619771604222443
 refers,5,2.2106473590634685,0.7453528412926009
 That,37,2.2047594046428722,0.6424771959843739
 proceed,6,2.203101786537836,1.0895880510708404
 someone,9,2.202506028377746,0.586993820791555
 substit,37,2.1908335293260466,0.7584474716381938
As,14,2.190682170018692,0.8086058720322181
 write,92,2.188530396902444,0.9864740905871261
 Also,9,2.1817633728868926,0.5392509427570238
Is,9,2.1755965983851664,0.6837262227276092
 intercept,7,2.172034653625279,1.3746173384783602
 Euler,6,2.171609961180756,1.2124064780718606
 separated,9,2.170073251782309,0.679353239947455
 model,33,2.1581450784921854,0.6583353550922367
Maybe,5,2.153970655369053,0.7013687680619111
We,125,2.1435719867216982,0.7100049609333704
 substitution,16,2.130340655321844,0.9178480727465025
 use,67,2.1271609255252737,0.8372415785644657
 permutation,5,2.117469283670684,1.039165825770741
 Which,10,2.101725566203835,0.6484107871061362
 adjust,9,2.0940309445481766,0.8225301766533213
 Because,65,2.09165791358857,0.7039646292449762
Hmm,200,2.0873717830264322,0.6757849495276326
Again,16,2.076674137363504,0.5398034358956794
which,12,2.0707624022763196,0.7690097002069677
 assign,10,2.069284803877458,0.863077341184094
 express,52,2.0635388411109505,0.8476040998541777
 perhaps,780,2.0628236562626374,0.8869363247521339
 since,279,2.0622013515796382,1.0397835371654292
Let,372,2.0598169833736972,0.7572304302180847
 moving,12,2.0564869324859028,1.0715258026695011
 could,36,2.0534597064252487,0.6872956092258959
 It,23,2.0452362751893394,0.733599048912821
 test,9,2.044644778208141,0.8073277362574065
 Since,92,2.0445376192049887,0.7475434446027427
 param,22,2.0424736042749108,0.9447618339577163
 go,18,2.041795861569411,1.0585601361007615
 specific,14,2.041771454247281,0.7535323294640982
 may,6,2.0415035066789398,0.2557837586184613
 expand,10,2.032058850737464,0.8064628113303461
Not,8,2.03188568968843,0.4172472755455312
 bring,5,2.031866806592734,0.6762277966075818
 initial,29,2.0301564786281845,0.7213148795739001
 rewrite,6,2.0273338581966804,0.8140603180968901
 correspond,11,2.0252795173800795,0.7624125294179503
 break,16,2.0248664779139274,0.6078013772125017
 assuming,5,2.0113422896543365,1.0718050269009751
 based,9,2.0015899848516847,0.689255724832118
 pl,12,1.9992563896291822,0.8556535928697243
