iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,20,20,C,C,1,148,62556,44845.0,17671.0,62704,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0956018662036169,0.2211761189568856,107.38137197494508
2,index_1,20,20,D,D,1,155,156574,147728.0,8805.0,156729,"[""C"", ""D"", ""B"", ""C"", ""C"", ""D"", ""B"", ""B"", ""D"", ""C"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D""]",0.2921634423163238,0.5500261525816335,260.3891146183014
3,index_2,20,20,C,C,1,179,66733,49324.0,17369.0,66912,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1118688550449612,0.2399312560711349,105.8693780899048
4,index_3,20,20,B,B,1,153,61858,52560.0,9258.0,62011,"[""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""D"", ""D"", ""B"", ""D""]",0.0824740764286111,0.1963685272360457,125.63160395622252
5,index_4,20,20,C,C,1,385,90858,73308.0,17510.0,91243,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1425968653176773,0.332212508406187,172.6979043483734
6,index_5,20,20,C,C,1,199,143016,128611.0,14365.0,143215,"[""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.2340355550034274,0.3447657475902264,358.3080313205719
7,index_6,20,20,C,C,1,191,201875,185869.0,15966.0,202066,"[""C"", ""D"", ""D"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""A"", ""C"", ""B"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C""]",0.3357218361807092,0.6119704102219233,485.9857752323151
8,index_7,20,20,D,D,1,471,184036,169304.0,14692.0,184507,"[""D"", ""C"", ""D"", ""A"", ""A"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""D"", ""C"", ""D"", ""D""]",0.3836599716390293,0.6444743331091684,299.4028973579407
9,index_8,20,20,A,C,0,262,79679,68051.0,11588.0,79941,"[""D"", ""B"", ""C"", ""C"", ""D"", ""C"", ""D"", ""B"", ""D"", ""A"", ""C"", ""A"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""A"", ""A""]",0.1522238161503409,0.2519614436225061,123.72075605392456
10,index_9,20,20,C,C,1,148,129236,119253.0,9943.0,129384,"[""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C""]",0.2679976503951167,0.4981693192856609,174.3644037246704
11,index_10,20,20,A,A,1,399,47106,38243.0,8823.0,47505,"[""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A""]",0.0875834547767253,0.149816931928566,89.9659698009491
12,index_11,20,20,D,D,1,174,86542,63987.0,22515.0,86716,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.1602662877970936,0.3048643801838153,128.26414799690247
13,index_12,20,20,A,A,1,340,167779,155810.0,11930.0,168119,"[""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.3294316406208544,0.6232533811551969,272.8794803619385
14,index_13,20,20,D,D,1,148,86722,76651.0,10031.0,86870,"[""A"", ""A"", ""D"", ""D"", ""A"", ""A"", ""D"", ""A"", ""D"", ""D"", ""D"", ""A"", ""A"", ""A"", ""D"", ""D"", ""D"", ""D"", ""A"", ""D""]",0.1380173718318038,0.2932078009414929,146.97314405441284
15,index_14,20,20,C,C,1,302,76075,62835.0,13200.0,76377,"[""C"", ""C"", ""D"", ""C"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C""]",0.1052736094767433,0.2612269296869162,163.38917660713196
16,index_15,20,20,B,D,0,221,183667,160797.0,13987.0,183888,"[""D"", ""D"", ""D"", ""D"", ""B"", ""B"", ""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""A"", ""D"", ""B"", ""A"", ""B""]",0.3668079994557975,0.6754838227602182,290.0750539302826
17,index_16,20,20,C,C,1,158,38814,29065.0,9709.0,38972,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0633596753751044,0.1448105805873122,64.56407642364502
18,index_17,20,20,B,A,0,245,160330,140580.0,19710.0,160575,"[""A"", ""A"", ""A"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""B"", ""A"", ""B""]",0.2457669277167051,0.5054920421430172,337.67965388298035
19,index_18,20,20,A,B,0,543,175988,159123.0,16824.0,176531,"[""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""A"", ""A"", ""B"", ""B""]",0.3734371520842249,0.6961070014197116,286.6709096431732
20,index_19,20,20,A,A,1,198,26972,20263.0,6669.0,27170,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0588747663394603,0.117014122394082,36.85654807090759
21,index_20,20,20,B,B,1,277,177065,165331.0,11694.0,177342,"[""B"", ""B"", ""A"", ""A"", ""B"", ""B"", ""A"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D""]",0.3036008183432571,0.5466636778001943,347.0548048019409
