iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,2,0,0.4,fixed,33,33,1,189,15288,15477,"[""33"", ""33""]",19,0.024537339743426523,0.0439363371441381,73.05897808074951
2,index_1,8,1,0,0.4,fixed,23,23,1,221,14109,14330,"[""23""]",17,0.020677101991412507,0.0345214077561084,109.66437149047852
3,index_2,8,1,0,0.4,fixed,116,116,1,167,9501,9668,"[""116""]",13,0.018533327038622007,0.0387058208174549,35.511298418045044
4,index_3,8,1,0,0.4,fixed,809,809,1,140,9627,9767,"[""809""]",9,0.015207342263770034,0.026302024957035,92.7237000465393
5,index_4,8,1,0,0.4,fixed,197,273,0,136,21972,22108,"[""273""]",7,0.04330786639975262,0.0850332511395053,376.906494140625
6,index_5,8,1,0,0.4,fixed,385,16,0,123,21899,22022,"[""16""]",19,0.03274966502539908,0.058507061197041,242.94890451431274
7,index_6,8,1,0,0.4,fixed,371,359,0,118,18449,18567,"[""359""]",8,0.03541999835883648,0.0692669804976462,295.1185121536255
8,index_7,8,1,0,0.4,fixed,601,601,1,114,25467,25581,"[""601""]",20,0.036323273943540284,0.0632145258910558,267.77923679351807
9,index_8,8,1,0,0.4,fixed,25,25,1,92,14437,14529,"[""25""]",19,0.01984821253880476,0.0413210789807965,78.0792965888977
10,index_9,8,1,0,0.4,fixed,55,55,1,103,8291,8394,"[""55""]",7,0.012394086168855374,0.0233131584846446,73.33656430244446
11,index_10,8,1,0,0.4,fixed,540,540,1,91,14572,14663,"[""540""]",21,0.024270433411642603,0.0418441306134648,57.22212028503418
12,index_11,8,1,0,0.4,fixed,45,45,1,181,14651,14832,"[""45""]",22,0.021658192451139646,0.0318314279309571,114.17542934417725
13,index_12,8,1,0,0.4,fixed,204,204,1,176,9147,9323,"[""204""]",15,0.016911624752869232,0.0292908914294254,39.87378168106079
14,index_13,8,1,0,0.4,fixed,699,699,1,113,23136,23249,"[""699""]",28,0.032885463975458495,0.0641111858327728,113.18531966209412
15,index_14,8,1,0,0.4,fixed,294,294,1,96,7336,7432,"[""294""]",8,0.01078433392715195,0.0203990136740641,60.59006190299988
16,index_15,8,1,0,0.4,fixed,110,134,0,107,18272,18379,"[""134""]",20,0.028985256202582087,0.0528282148994994,213.10798335075378
17,index_16,8,1,0,0.4,fixed,721,721,1,140,12132,12272,"[""721""]",14,0.01732834195870648,0.0304864380183815,94.65340662002563
18,index_17,8,1,0,0.4,fixed,315,60,0,95,15739,15834,"[""60""]",7,0.02831585499691458,0.054770978106553,221.62099599838257
19,index_18,8,1,0,0.4,fixed,468,468,1,95,14156,14251,"[""468""]",11,0.023755127994181224,0.0448329970858552,170.96543216705322
20,index_19,8,1,0,0.4,fixed,902,1022,0,142,10909,11051,"[""1022""]",6,0.020118392115688725,0.0382574908465964,136.51345467567444
21,index_20,8,1,0,0.4,fixed,211,211,1,165,30393,30558,"[""211""]",14,0.05549985294667545,0.1079728013151012,492.45957255363464
22,index_21,8,1,0,0.4,fixed,80,80,1,104,18455,18559,"[""80""]",9,0.033864773529921746,0.0658297840543973,277.36890625953674
23,index_22,8,1,0,0.4,fixed,480,480,1,126,12288,12414,"[""480""]",10,0.02081872935964497,0.0389299858028842,139.76201462745667
24,index_23,8,1,0,0.4,fixed,236,222,0,113,21588,21701,"[""222""]",10,0.038071210140473766,0.0735261152208025,320.8995201587677
25,index_24,8,1,0,0.4,fixed,73,73,1,154,9741,9895,"[""73""]",9,0.015507938058935546,0.0269745199133228,97.79356503486633
26,index_25,8,1,0,0.4,fixed,113,113,1,397,12721,13118,"[""113""]",9,0.023265916662006534,0.0410969139953673,149.36939358711243
27,index_26,8,1,0,0.4,fixed,127,28,0,203,23240,23443,"[""28""]",10,0.043515145182949216,0.0842860345214077,376.13597679138184
28,index_27,8,1,0,0.4,fixed,104,104,1,194,10484,10678,"[""104""]",11,0.01614363520648195,0.0277217365314204,96.57405209541321
29,index_28,8,1,0,0.4,fixed,104,104,1,119,18132,18251,"[""104""]",11,0.032782725934470576,0.0633639692146753,280.58227586746216
30,index_29,8,1,0,0.4,fixed,321,321,1,104,14814,14918,"[""321""]",23,0.021739116209197867,0.034670851079728,131.54251098632812
