iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,2,0,0.0,fixed,C,C,1,153,45116,45269,"[""C"", ""C""]",35,0.06917192378401292,0.1692924829951747,79.03538179397583
2,index_1,16,1,0,0.0,fixed,D,C,0,160,54375,54535,"[""C""]",36,0.042036593498753355,0.1692924829951747,315.1596279144287
3,index_2,16,4,0,0.0,fixed,C,C,1,184,40720,40904,"[""C"", ""C"", ""C"", ""C""]",33,0.07008930463532687,0.1525492703912563,66.65327191352844
4,index_3,16,4,0,0.0,fixed,B,D,0,158,40689,40847,"[""D"", ""D"", ""D"", ""D""]",33,0.05331110981351222,0.1359223300970874,85.64642906188965
5,index_4,16,1,0,0.0,fixed,C,C,1,390,44155,44545,"[""C""]",36,0.07528651851194951,0.1795244462531248,82.12044167518616
6,index_5,16,6,0,0.0,fixed,C,C,1,204,52826,53030,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",31,0.04368843300428065,0.1172024882274286,474.1201148033142
7,index_6,16,3,0,0.0,fixed,C,C,1,196,42392,42588,"[""C"", ""C"", ""C""]",34,0.08527077366677184,0.1627812336492065,60.49298858642578
8,index_7,16,1,0,0.0,fixed,D,D,1,476,47591,48067,"[""D""]",36,0.051182844553205396,0.1841753386431021,152.94975900650024
9,index_8,16,1,0,0.0,fixed,A,A,1,267,45959,46226,"[""A""]",36,0.05710682207935377,0.173943375385152,108.14345455169678
10,index_9,16,2,0,0.0,fixed,C,C,1,153,46046,46199,"[""C"", ""C""]",35,0.04294458163566183,0.1517353642230102,143.6460907459259
11,index_10,16,8,0,0.0,fixed,A,A,1,404,32316,32720,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",29,0.07333039015935729,0.1105749665717109,51.163408041000366
12,index_11,16,1,0,0.0,fixed,D,D,1,179,46323,46502,"[""D""]",36,0.05422307495927297,0.1702226614731701,109.62999367713928
13,index_12,16,1,0,0.0,fixed,A,B,0,345,51955,52300,"[""B""]",36,0.043974908537103896,0.1776640892971338,266.42291164398193
