iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,33,33,1,197,37197,30204,6977,37394,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",0.060514431441148854,0.1084250837721397,122.43476343154907
2,index_1,8,8,23,23,1,229,76536,70645,5875,76765,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",0.09129587152929611,0.2096098611775969,368.58249855041504
3,index_2,8,8,116,116,1,175,36610,32594,4000,36785,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",0.057174133050171376,0.1015438008616562,126.30051398277283
4,index_3,8,8,809,809,1,148,45749,42412,3321,45897,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",0.0789192607757998,0.1427716610818573,140.50820875167847
5,index_4,8,8,197,505,0,144,203478,166778,3918,203622,"[""541"", ""197"", ""254"", ""4427"", ""69"", ""505"", ""1265""]",0.31149796082272935,0.5710268070847295,828.5930705070496
6,index_5,8,8,385,24,0,131,150869,145950,4903,151000,"[""12"", ""24"", ""24"", ""24"", ""24"", ""24"", ""24"", ""24""]",0.23735329653255083,0.4684059358544759,553.3164775371552
7,index_6,8,8,371,371,1,126,195030,190991,4023,195156,"[""617"", ""419"", ""359"", ""511"", ""371"", ""381"", ""371"", ""371""]",0.338918386140258,0.6203925323121111,685.4262263774872
8,index_7,8,8,601,601,1,122,158869,153666,5187,158991,"[""601"", ""601"", ""601"", ""601"", ""43"", ""601"", ""601"", ""601""]",0.22007155332547612,0.4365725227381523,706.1529524326324
9,index_8,8,8,25,25,1,100,53804,50181,3607,53904,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",0.08197717377659444,0.1411560555289612,198.3558006286621
10,index_9,8,8,55,55,1,111,36726,33475,3235,36837,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",0.0593884471869565,0.1033987553853518,121.87705445289612
11,index_10,8,8,540,540,1,99,42250,37087,5147,42349,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",0.0687762592368408,0.1248803255146002,138.08957958221436
12,index_11,8,8,45,45,1,189,67615,62717,4882,67804,"[""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45""]",0.0918329288342145,0.1854954523695547,278.2006552219391
