iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,0,0.98,fixed,33,33,1,194,41124,41318,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",40,0.06610283810014304,0.1232486483343991,133.16837430000305
2,index_1,8,5,0,0.98,fixed,23,23,1,226,73070,73296,"[""23"", ""23"", ""23"", ""23"", ""23""]",72,0.12212686883917744,0.2354514272426021,247.65036535263062
3,index_2,8,5,0,0.98,fixed,116,116,1,172,28786,28958,"[""116"", ""116"", ""116"", ""116"", ""116""]",25,0.05325846301521005,0.0995290971455148,80.95005321502686
4,index_3,8,1,0,0.98,fixed,809,809,1,145,29530,29675,"[""809""]",26,0.03581760034526422,0.0948782047555374,130.36345839500427
5,index_4,8,1,0,0.98,fixed,197,255,0,141,58493,58634,"[""255""]",41,0.05717476707049526,0.1502238241962676,574.3656268119812
6,index_5,8,8,0,0.98,fixed,385,24,0,128,157619,157747,"[""12"", ""24"", ""24"", ""16"", ""24"", ""24"", ""24"", ""24""]",100,0.2540652517646878,0.4604383466077554,635.8604898452759
7,index_6,8,8,0,0.98,fixed,371,403,0,123,207668,207791,"[""511"", ""617"", ""373"", ""63"", ""411"", ""403"", ""31"", ""403""]",100,0.35437143132890525,0.6278704726469391,818.7070889472961
8,index_7,8,1,0,0.98,fixed,601,601,1,119,84248,84367,"[""601""]",87,0.10100172210331708,0.2716121155746759,448.7130665779114
9,index_8,8,8,0,0.98,fixed,25,25,1,97,56413,56510,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",64,0.07010675897649951,0.1314458461717341,289.4185585975647
10,index_9,8,8,0,0.98,fixed,55,55,1,108,43932,44040,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",45,0.06324374499011327,0.1288297192023719,155.49285459518433
11,index_10,8,8,0,0.98,fixed,540,540,1,96,44373,44469,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",46,0.06996268895431086,0.1298180338352421,141.7595887184143
12,index_11,8,8,0,0.98,fixed,45,45,1,186,71556,71742,"[""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45""]",79,0.11246759108677704,0.1967327480960409,265.3763656616211
13,index_12,8,8,0,0.98,fixed,204,204,1,181,24710,24891,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",19,0.0446897252835166,0.0832509737805942,72.48234558105469
14,index_13,8,8,0,0.98,fixed,699,699,1,118,140636,140754,"[""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699""]",100,0.19277572387064584,0.3442823091680717,714.4730544090271
15,index_14,8,8,0,0.98,fixed,294,294,1,101,53996,54097,"[""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294""]",49,0.08813346788233792,0.164699726760072,169.0584511756897
16,index_15,8,8,0,0.98,fixed,110,110,1,112,88569,88681,"[""155"", ""110"", ""110"", ""155"", ""110"", ""179"", ""155"", ""110""]",100,0.12535208883688487,0.2256845532236497,395.26324343681335
17,index_16,8,8,0,0.98,fixed,721,721,1,145,78375,78520,"[""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721""]",78,0.08742239315226066,0.2064996221149933,477.4368906021118
18,index_17,8,8,0,0.98,fixed,315,6,0,103798,214063,317861,"[""18"", ""6"", ""3"", ""36"", ""9"", ""15"", ""15"", ""6""]",100,0.3454157800755129,0.6490901691762108,906.7297818660736
19,index_18,8,8,0,0.98,fixed,468,468,1,100,117103,117203,"[""624"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468""]",100,0.1368671550236356,0.2371955118888437,876.9054074287415
20,index_19,8,8,0,0.98,fixed,902,1022,0,147,173424,173571,"[""1022"", ""59048"", ""422"", ""14528"", ""1022"", ""1022"", ""2"", ""1022""]",100,0.23337213049793137,0.4897389686646125,887.4745604991913
21,index_20,8,8,0,0.98,fixed,211,211,1,170,222994,223164,"[""211"", ""211"", ""121"", ""211"", ""211"", ""211"", ""211"", ""211""]",100,0.31487367588631704,0.5274111970234289,1162.766906261444
22,index_21,8,8,0,0.98,fixed,80,80,1,109,153058,153167,"[""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""160"", ""80""]",100,0.2175924485279399,0.406546131038893,728.8383615016937
23,index_22,8,8,0,0.98,fixed,480,480,1,131,84296,84427,"[""480"", ""480"", ""480"", ""480"", ""480"", ""480"", ""480"", ""480""]",100,0.1197727939179715,0.2478925643857915,364.37951588630676
24,index_23,8,8,0,0.98,fixed,236,236,1,118,91089,91207,"[""236"", ""236"", ""236"", ""236"", ""236"", ""236"", ""236"", ""236""]",100,0.10877402567763385,0.2323702110342421,509.8308176994324
25,index_24,8,8,0,0.98,fixed,73,73,1,159,44494,44653,"[""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73""]",48,0.06776870197632591,0.123481192953898,155.32251644134521
26,index_25,8,8,0,0.98,fixed,113,113,1,402,126458,126860,"[""113"", ""113"", ""113"", ""113"", ""113"", ""113"", ""113"", ""113""]",100,0.16289841297165752,0.3275972327190279,727.9287619590759
27,index_26,8,1,0,0.98,fixed,127,7,0,208,58736,58944,"[""7""]",37,0.060380616984296503,0.133945700831347,728.3744561672211
28,index_27,8,5,0,0.98,fixed,104,104,1,199,55738,55937,"[""104"", ""104"", ""104"", ""104"", ""104""]",49,0.0911031671261814,0.1888262310330795,181.6080300807953
29,index_28,8,8,0,0.98,fixed,104,104,1,124,101142,101266,"[""104"", ""104"", ""104"", ""104"", ""104"", ""104"", ""291"", ""104""]",98,0.09958573146367947,0.2548689029707575,872.0578467845917
30,index_29,8,4,0,0.98,fixed,321,321,1,109,60471,60580,"[""321"", ""321"", ""321"", ""321""]",56,0.10450812891737953,0.2064996221149933,182.27336835861206
