iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,2,0,0.9,annealing,C,C,1,148,39558,39706,"[""C"", ""C""]",19,0.03556477730211057,0.1673765224538593,71.03551530838013
2,index_1,64,1,0,0.9,annealing,D,D,1,155,38558,38713,"[""D""]",10,0.029466909615517824,0.1714862138533961,158.45671391487122
3,index_2,64,3,0,0.9,annealing,C,C,1,179,64041,64220,"[""C"", ""C"", ""C""]",26,0.07898794186226439,0.2307404916685347,67.38019561767578
4,index_3,64,2,0,0.9,annealing,B,D,0,5893,45002,50895,"[""B"", ""D""]",18,0.040110966239190554,0.1960696405888067,67.66444325447083
5,index_4,64,2,0,0.9,annealing,C,C,1,385,57593,57978,"[""C"", ""C""]",29,0.04988371238671836,0.2305910483449151,311.13860058784485
6,index_5,64,1,0,0.9,annealing,C,C,1,199,47304,47503,"[""C""]",29,0.038221448923282005,0.2002540536501531,110.58057260513306
7,index_6,64,2,0,0.9,annealing,C,C,1,191,45079,45270,"[""C"", ""C""]",19,0.04232753774585752,0.2097437046999924,76.34018850326538
8,index_7,64,1,0,0.9,annealing,D,D,1,471,71889,72360,"[""D""]",41,0.06952282002169397,0.3187626092804304,146.5226800441742
9,index_8,64,1,0,0.9,annealing,A,D,0,262,43280,43542,"[""D""]",22,0.03730777127046408,0.1847866696555331,93.79796385765076
10,index_9,64,1,0,0.9,annealing,C,D,0,148,38238,38386,"[""D""]",19,0.02810279561085684,0.1649107076141373,105.28585290908813
11,index_10,64,3,0,0.9,annealing,A,A,1,399,48318,48717,"[""A"", ""B"", ""A""]",21,0.09194809183936327,0.2421729059254277,47.86619186401367
12,index_11,64,4,0,0.9,annealing,D,D,1,174,63264,63438,"[""D"", ""D"", ""D"", ""D""]",31,0.063639626805468,0.190689680938504,95.554833650589
13,index_12,64,1,0,0.9,annealing,A,A,1,340,41407,41747,"[""A""]",17,0.03567378759373524,0.2089217664200852,184.75802612304688
14,index_13,64,1,0,0.9,annealing,D,A,0,148,38867,39015,"[""A""]",17,0.03664904735084976,0.1865052678771576,59.045793294906616
15,index_14,64,1,0,0.9,annealing,C,C,1,302,36547,36849,"[""C""]",16,0.035648159956613,0.2106403646417096,79.37560319900513
16,index_15,64,1,0,0.9,annealing,B,B,1,221,40950,41171,"[""B""]",24,0.034222730478407494,0.1765672868564597,180.30233716964722
17,index_16,64,2,0,0.9,annealing,C,C,1,158,39543,39701,"[""C"", ""C""]",16,0.056236042746908965,0.1849361129791527,39.74865412712097
18,index_17,64,1,0,0.9,annealing,B,A,0,245,55787,56032,"[""A""]",23,0.04067428622630236,0.216095045953822,223.08120584487915
19,index_18,64,1,0,0.9,annealing,A,B,0,543,48150,48693,"[""B""]",23,0.0455511706214346,0.3061346484345811,144.40487122535706
20,index_19,64,22,0,0.9,annealing,A,A,1,198,62519,62717,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",26,0.1286075596473312,0.2302921616976762,40.1279718875885
21,index_20,64,1,0,0.9,annealing,B,A,0,277,45520,45797,"[""A""]",27,0.03640189163266942,0.2257341403272809,138.36948132514954
22,index_21,64,1,0,0.9,annealing,D,C,0,137,40328,40465,"[""C""]",21,0.03565339614087534,0.1969663005305237,61.02468276023865
23,index_22,64,1,0,0.9,annealing,C,D,0,275,38998,39273,"[""D""]",13,0.03181443842537284,0.1956960322797578,139.35628199577332
24,index_23,64,1,0,0.9,annealing,B,A,0,225,54882,55107,"[""A""]",31,0.0421637434184707,0.2212508406186953,219.16690754890442
25,index_24,64,1,0,0.9,annealing,B,C,0,363,49630,49993,"[""C""]",21,0.04029018438219082,0.2495703504445938,142.82715034484863
26,index_25,64,1,0,0.9,annealing,D,A,0,372,47229,47601,"[""A""]",25,0.0398567125244562,0.2473287005903011,179.3180787563324
27,index_26,64,1,0,0.9,annealing,A,B,0,164,46000,46164,"[""B""]",21,0.0328499140508183,0.1900171859822162,111.2317624092102
28,index_27,64,1,0,0.9,annealing,A,A,1,327,52663,52990,"[""A""]",18,0.04342220262325083,0.2728835089292386,117.43651175498962
29,index_28,64,1,0,0.9,annealing,A,A,1,403,51924,52327,"[""A""]",24,0.05428082138918206,0.2912650377344392,94.57516694068909
30,index_29,64,1,0,0.9,annealing,A,B,0,101,38449,38550,"[""B""]",20,0.027797740160553364,0.1386086826571022,147.03934621810913
31,index_30,64,1,0,0.9,annealing,C,C,1,135,43861,43996,"[""C""]",23,0.03559482657381149,0.1861316595681088,86.10170936584473
32,index_31,64,1,0,0.9,annealing,C,C,1,156,57003,57159,"[""C""]",30,0.04077268670997547,0.1782858850780841,201.3312816619873
33,index_32,64,1,0,0.9,annealing,C,A,0,322,39240,39562,"[""A""]",15,0.03288322831806428,0.2017484868863484,119.26554441452026
34,index_33,64,1,0,0.9,annealing,A,C,0,472,46076,46548,"[""C""]",14,0.04040292444730505,0.2742284988418142,168.92917156219482
35,index_34,64,2,0,0.9,annealing,C,C,1,318,47646,47964,"[""C"", ""C""]",25,0.04078661419290717,0.2248374803855637,127.9640462398529
36,index_35,64,1,0,0.9,annealing,B,B,1,154,38885,39039,"[""B""]",20,0.02881861792097161,0.1780617200926548,121.06858682632446
37,index_36,64,1,0,0.9,annealing,D,A,0,162,36609,36771,"[""A""]",16,0.028868668167420106,0.1915116192184114,129.11919236183167
38,index_37,64,1,0,0.9,annealing,C,C,1,303,43798,44101,"[""C""]",21,0.035617566337908566,0.2259583053127101,124.43665075302124
39,index_38,64,4,0,0.9,annealing,B,B,1,243,37850,38093,"[""B"", ""B"", ""B"", ""B""]",18,0.05085493037291918,0.1865799895389673,51.190404415130615
40,index_39,64,8,0,0.9,annealing,A,B,0,173,47313,47486,"[""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A""]",32,0.05105431048178637,0.2059328999476948,57.59848499298096
41,index_40,64,2,0,0.9,annealing,A,A,1,147,31113,31260,"[""A"", ""A""]",11,0.02757127365814006,0.1647612642905178,59.84251379966736
42,index_41,64,4,0,0.9,annealing,D,D,1,234,64353,64587,"[""A"", ""D"", ""D"", ""D""]",27,0.04735958661875999,0.2151983860121049,263.0851192474365
43,index_42,64,1,0,0.9,annealing,A,B,0,270,44691,44961,"[""B""]",18,0.036924016281111055,0.1913621758947918,221.2318136692047
44,index_43,64,3,0,0.9,annealing,A,A,1,313,41379,41692,"[""A"", ""B"", ""A""]",17,0.04288093872412085,0.1985354554285286,73.690269947052
45,index_44,64,1,0,0.9,annealing,D,D,1,180,46002,46182,"[""D""]",19,0.0341025870766784,0.1695434506463423,188.59550404548645
46,index_45,64,1,0,0.9,annealing,C,D,0,98,38777,38875,"[""D""]",25,0.030467929386990028,0.1602032429201225,150.64940690994263
47,index_46,64,1,0,0.9,annealing,D,D,1,217,56946,57163,"[""D""]",25,0.040887735540398075,0.2152731076739147,238.23406100273132
48,index_47,64,1,0,0.9,annealing,A,A,1,154,43616,43770,"[""A""]",20,0.03365496737833851,0.186355824553538,181.8096888065338
49,index_48,64,1,0,0.9,annealing,B,A,0,427,39181,39608,"[""A""]",13,0.03549346260756626,0.2552491967421355,153.85897994041443
50,index_49,64,7,0,0.9,annealing,D,D,1,201,39063,39264,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",16,0.08063999491937107,0.2125084061869535,29.5530526638031
51,index_50,64,1,0,0.9,annealing,D,C,0,168,39238,39406,"[""C""]",12,0.03406092347585282,0.1682731823955764,234.51220703125
52,index_51,64,1,0,0.9,annealing,C,C,1,252,46945,47197,"[""C""]",21,0.04555009291572321,0.2302174400358664,77.01481866836548
53,index_52,64,1,0,0.9,annealing,D,A,0,231,47632,47863,"[""A""]",19,0.03779091444653552,0.2279757901815736,231.4253101348877
54,index_53,64,1,0,0.9,annealing,A,A,1,185,45415,45600,"[""A""]",22,0.03583942712803088,0.2072031681984607,89.29672503471375
55,index_54,64,1,0,0.9,annealing,B,D,0,203,48759,48962,"[""D""]",19,0.037236244360190573,0.1840394530374355,220.82674837112427
56,index_55,64,1,0,0.9,annealing,A,A,1,259,49671,49930,"[""A""]",26,0.03770229628090402,0.2154972726593439,161.7725670337677
57,index_56,64,1,0,0.9,annealing,D,B,0,191,52019,52210,"[""B""]",17,0.045512593780908,0.1816483598595233,367.4774684906006
58,index_57,64,7,0,0.9,annealing,A,D,0,87,42581,42668,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",14,0.06863140191171367,0.159754912949264,30.7906494140625
59,index_58,64,3,0,0.9,annealing,A,A,1,136,53739,53875,"[""A"", ""A"", ""A""]",22,0.0581785063300545,0.2166928192483,64.12071800231934
60,index_59,64,1,0,0.9,annealing,C,C,1,204,40073,40277,"[""C""]",24,0.031191926955208685,0.1789583800343719,130.0667667388916
61,index_60,64,2,0,0.9,annealing,C,C,1,226,42461,42687,"[""C"", ""C""]",22,0.03917767368736433,0.1865799895389673,86.74505734443665
62,index_61,64,1,0,0.9,annealing,C,C,1,252,50794,51046,"[""C""]",22,0.037523882921997126,0.2161697676156317,177.96322774887085
63,index_62,64,1,0,0.9,annealing,D,D,1,247,37746,37993,"[""D""]",18,0.030602805037851958,0.1866547112007771,109.74420857429504
64,index_63,64,1,0,0.9,annealing,C,D,0,241,62610,62851,"[""D""]",21,0.045936761872604454,0.2514383919898378,277.8231246471405
65,index_64,64,1,0,0.9,annealing,A,A,1,292,43759,44051,"[""A""]",21,0.03565261269614522,0.2287230067996712,129.77285742759705
66,index_65,64,4,0,0.9,annealing,C,C,1,124,38397,38521,"[""C"", ""C"", ""C"", ""C""]",19,0.04144447628891101,0.1554957782261077,46.09051156044006
67,index_66,64,2,0,0.9,annealing,D,D,1,242,41875,42117,"[""D"", ""D""]",21,0.046775736274374057,0.1966674138832848,59.61526012420654
68,index_67,64,2,0,0.9,annealing,B,B,1,160,43651,43811,"[""B"", ""B""]",25,0.038070436786848544,0.2039154150788313,88.41240978240967
69,index_68,64,1,0,0.9,annealing,A,A,1,202,61005,61207,"[""A""]",30,0.04552929932757154,0.2039154150788313,281.3550274372101
70,index_69,64,1,0,0.9,annealing,D,C,0,165,45811,45976,"[""C""]",16,0.03313682521745361,0.2279757901815736,136.86832332611084
71,index_70,64,2,0,0.9,annealing,C,C,1,171,41482,41653,"[""C"", ""C""]",18,0.042929157139904736,0.1821714114921916,57.22295165061951
