iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,3,0,0.9,annealing,33,33,1,189,17764,17953,"[""33"", ""33"", ""33""]",19,0.025762332761376676,0.0470746469401479,97.56274175643921
2,index_1,8,1,0,0.9,annealing,23,23,1,221,21600,21821,"[""23""]",11,0.03616670703568359,0.0675483822760217,292.04848742485046
3,index_2,8,1,0,0.9,annealing,116,116,1,167,11356,11523,"[""116""]",14,0.01804101496120495,0.0413210789807965,51.701398849487305
4,index_3,8,1,0,0.9,annealing,809,809,1,140,9205,9345,"[""809""]",10,0.013485162540109693,0.026302024957035,64.47765564918518
5,index_4,8,1,0,0.9,annealing,197,117,0,136,17150,17286,"[""117""]",7,0.030944076349457554,0.0595531644623776,249.35467386245728
6,index_5,8,1,0,0.9,annealing,385,36,0,123,22628,22751,"[""36""]",19,0.03190321165931685,0.0532018232085481,217.10612297058105
7,index_6,8,1,0,0.9,annealing,371,139,0,118,13399,13517,"[""139""]",7,0.022806972058135887,0.0430396772024209,160.1304316520691
8,index_7,8,1,0,0.9,annealing,601,200,0,114,21379,21493,"[""200""]",26,0.02876100164416383,0.0559665246955092,131.5379581451416
9,index_8,8,1,0,0.9,annealing,25,25,1,92,12101,12193,"[""25""]",12,0.016253428985586904,0.0331764178435328,75.58588194847107
10,index_9,8,1,0,0.9,annealing,55,55,1,103,9532,9635,"[""55""]",14,0.0135460727937369,0.0245087050736008,58.39641213417053
11,index_10,8,1,0,0.9,annealing,540,540,1,91,18763,18854,"[""540""]",18,0.02448844288216871,0.0496899051034894,113.56761455535889
12,index_11,8,1,0,0.9,annealing,45,45,1,181,15321,15502,"[""45""]",21,0.022078424659676656,0.0403496973772696,89.3834879398346
13,index_12,8,2,0,0.9,annealing,204,204,1,176,11737,11913,"[""204"", ""204""]",16,0.02211928601805916,0.0377344392139281,45.336424589157104
14,index_13,8,1,0,0.9,annealing,699,699,1,113,18723,18836,"[""699""]",29,0.030642067235160022,0.0508107300306358,77.7194037437439
15,index_14,8,1,0,0.9,annealing,294,294,1,96,7381,7477,"[""294""]",9,0.010653307178948235,0.0245087050736008,41.160584688186646
16,index_15,8,1,0,0.9,annealing,110,905,0,107,27898,28005,"[""905""]",18,0.0475281982947284,0.0910857057460957,423.19045877456665
17,index_16,8,1,0,0.9,annealing,721,721,1,140,18272,18412,"[""721""]",19,0.02724537065062751,0.0463274303220503,178.75304675102234
18,index_17,8,1,0,0.9,annealing,315,144,0,95,20872,20967,"[""144""]",9,0.03766018743936532,0.0732272285735634,326.0431909561157
19,index_18,8,1,0,0.9,annealing,468,468,1,95,11570,11665,"[""468""]",9,0.016909313411034306,0.0290667264439961,101.353107213974
20,index_19,8,1,0,0.9,annealing,902,1024,0,142,15027,15169,"[""1024""]",10,0.02691541142497714,0.0514085033251139,205.91833782196045
21,index_20,8,1,0,0.9,annealing,211,2311,0,165,25829,25994,"[""2311""]",14,0.04214047392297369,0.0792796831801538,361.1710772514343
22,index_21,8,1,0,0.9,annealing,80,80,1,104,15822,15926,"[""80""]",9,0.02664990107222861,0.0505865650452066,201.3444848060608
23,index_22,8,1,0,0.9,annealing,480,480,1,126,16728,16854,"[""480""]",12,0.029216834551083645,0.0557423597100799,229.7485272884369
24,index_23,8,1,0,0.9,annealing,236,246,0,113,12638,12751,"[""246""]",14,0.018082848403821388,0.0292908914294254,102.48755431175232
25,index_24,8,1,0,0.9,annealing,73,73,1,154,11958,12112,"[""73""]",9,0.018999396738673815,0.0337741911380109,117.29453802108765
26,index_25,8,1,0,0.9,annealing,113,113,1,397,17175,17572,"[""113""]",11,0.03128967378330822,0.0571620712844653,234.28294706344604
27,index_26,8,1,0,0.9,annealing,127,35,0,203,27395,27598,"[""35""]",9,0.05313016718993869,0.1038631099155645,491.47543835639954
28,index_27,8,1,0,0.9,annealing,104,1647,0,194,25457,25651,"[""1647""]",14,0.04353292978515106,0.0827168796234028,376.40466237068176
29,index_28,8,1,0,0.9,annealing,104,291,0,119,24967,25086,"[""291""]",10,0.04535863766960324,0.0883210042591347,409.81389570236206
30,index_29,8,1,0,0.9,annealing,321,321,1,104,12727,12831,"[""321""]",14,0.017500729397736853,0.0304864380183815,90.09681558609009
