iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,59,0,0.95,fixed,C,C,1,148,193441,193589,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",59,0.3342356329312658,0.667427701674277,113.96502113342285
2,index_1,64,18,0,0.95,fixed,D,D,1,155,373310,373465,"[""D"", ""D"", ""B"", ""D"", ""B"", ""D"", ""B"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""B"", ""C"", ""D"", ""B"", ""B""]",145,0.5703444557281222,1.0,296.26001238822937
3,index_2,64,59,0,0.95,fixed,C,C,1,179,209044,209223,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",81,0.3340194435679546,0.7407153729071537,132.4351363182068
4,index_3,64,47,0,0.95,fixed,B,B,1,153,161329,161482,"[""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",78,0.24059846986050934,0.5124809741248098,106.58305335044861
5,index_4,64,16,0,0.95,fixed,C,C,1,385,307429,307814,"[""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",144,0.3003853756599186,0.9480213089802132,328.170485496521
6,index_5,64,36,0,0.95,fixed,C,C,1,199,361435,361634,"[""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",164,0.4628469414817594,0.8350076103500761,379.3167359828949
7,index_6,64,23,0,0.95,fixed,C,C,1,191,337285,337476,"[""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",185,0.3445713604199497,0.7585996955859969,438.11570477485657
8,index_7,64,33,0,0.95,fixed,D,A,0,471,355342,355813,"[""C"", ""D"", ""C"", ""C"", ""D"", ""A"", ""A"", ""A"", ""A"", ""C"", ""D"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""D"", ""A"", ""C"", ""A"", ""A"", ""A"", ""A"", ""D"", ""C"", ""D"", ""C"", ""A"", ""D"", ""A"", ""A""]",129,0.5518896939158237,1.0,277.97444891929626
9,index_8,64,36,0,0.95,fixed,A,C,0,262,219797,220059,"[""D"", ""B"", ""A"", ""A"", ""C"", ""C"", ""C"", ""D"", ""A"", ""C"", ""A"", ""C"", ""A"", ""C"", ""A"", ""C"", ""D"", ""C"", ""C"", ""B"", ""C"", ""A"", ""B"", ""A"", ""A"", ""D"", ""C"", ""D"", ""A"", ""C"", ""C"", ""C"", ""A"", ""A"", ""D"", ""C""]",88,0.34581389556836806,0.6933789954337899,146.98307538032532
10,index_9,64,20,0,0.95,fixed,C,C,1,148,314451,314599,"[""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",115,0.5666289224051781,0.9269406392694064,209.11075687408447
