iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
121,index_120,64,64,C,B,0,293,399741,364927,34686,400034,"[""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""A"", ""B"", ""B"", ""B"", ""D"", ""B"", ""C"", ""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""C"", ""C"", ""B"", ""B"", ""D"", ""D"", ""B"", ""B"", ""D"", ""C"", ""C"", ""C"", ""D"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""D"", ""D"", ""C"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""C"", ""B"", ""C"", ""C"", ""B"", ""B"", ""B"", ""A"", ""B"", ""D"", ""D"", ""C""]",0.28886918836817355,0.5726066378233978,193.5008101463318
122,index_121,64,64,A,B,0,209,755751,712681,42944,755960,"[""A"", ""A"", ""B"", ""B"", ""A"", ""C"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""A"", ""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""A"", ""A"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""A"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A""]",0.5416483189920552,0.9999128894567206,481.1006076335907
123,index_122,64,64,D,D,1,223,315683,276898,38657,315906,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.1307679972815026,0.3529138476726966,278.9082672595978
124,index_123,64,64,A,A,1,162,218331,165538,52665,218493,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""C"", ""A"", ""A"", ""A"", ""C"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.11280164381106995,0.2761694590435262,115.03859257698059
125,index_124,64,64,A,A,1,246,105763,72543,33092,106009,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.08144652019108446,0.1691977118963965,42.56679439544678
126,index_125,64,64,A,B,0,260,738671,698972,39570,738931,"[""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""D"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""C"", ""D"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""C"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""D"", ""B"", ""D"", ""B"", ""C"", ""C"", ""B"", ""B"", ""B"", ""C"", ""B"", ""B"", ""B"", ""B"", ""D"", ""C"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B""]",0.5155252371849023,0.9846685443828218,485.53773164749146
127,index_126,64,64,A,D,0,143,449292,424874,24290,449435,"[""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.30789851113225875,0.6156392462034321,236.50176525115967
128,index_127,64,64,A,D,0,2814,749537,647302,36561,752351,"[""A"", ""D"", ""C"", ""D"", ""C"", ""A"", ""C"", ""D"", ""D"", ""A"", ""B"", ""D"", ""D"", ""A"", ""B"", ""A"", ""B"", ""D"", ""B"", ""D"", ""C"", ""D"", ""B"", ""D"", ""A"", ""B"", ""C"", ""A"", ""C"", ""C"", ""B"", ""D"", ""A"", ""A"", ""B"", ""B"", ""D"", ""B"", ""D"", ""D"", ""A"", ""C"", ""D"", ""B"", ""A"", ""D"", ""D"", ""D"", ""A"", ""D"", ""C"", ""A"", ""A"", ""C"", ""A"", ""D"", ""C"", ""D"", ""A"", ""D"", ""D"", ""A""]",0.409061344437148,0.9999709631522402,938.0072538852692
129,index_128,64,64,A,D,0,278,588427,546619,41679,588705,"[""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""D"", ""A"", ""B"", ""D"", ""D"", ""D"", ""B"", ""B"", ""D"", ""D"", ""A"", ""B"", ""B"", ""B"", ""A"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D"", ""B"", ""A"", ""B"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B""]",0.44238399964457475,0.8723830540956474,336.0030746459961
130,index_129,64,64,D,C,0,128,274083,239211,34744,274211,"[""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""B"", ""D"", ""D"", ""C"", ""C"", ""D"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D""]",0.11964488652954527,0.2677197363454223,211.81796956062317
