iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,1,0,0.0,fixed,33,33,1,194,26462,26656,"[""33""]",28,0.03280004286708984,0.0916225800825533,116.23990559577942
2,index_1,8,1,0,0.0,fixed,23,23,1,226,37088,37314,"[""23""]",28,0.03872882748143553,0.0911574908435556,421.3162593841553
3,index_2,8,1,0,0.0,fixed,116,116,1,172,25824,25996,"[""116""]",28,0.0326562196792742,0.0897622231265624,110.20866584777832
4,index_3,8,1,0,0.0,fixed,809,809,1,145,25546,25691,"[""809""]",28,0.032556777249885725,0.0888320446485669,106.31911301612854
5,index_4,8,1,0,0.0,fixed,197,541,0,141,49298,49439,"[""541""]",28,0.05719276427371674,0.10563339340736,775.6128470897675
6,index_5,8,1,0,0.0,fixed,385,24,0,128,40890,41018,"[""24""]",28,0.04343762450030424,0.0888320446485669,524.4108231067657
7,index_6,8,1,0,0.0,fixed,371,365,0,123,49242,49365,"[""365""]",28,0.05702790701583258,0.1054589849427358,773.9766201972961
8,index_7,8,1,0,0.0,fixed,601,601,1,119,36345,36464,"[""601""]",28,0.03681738799633801,0.0883669554095691,393.81578493118286
9,index_8,8,1,0,0.0,fixed,25,25,1,97,30108,30205,"[""25""]",28,0.029896436067414132,0.0874367769315737,212.65609216690063
10,index_9,8,1,0,0.0,fixed,55,55,1,108,23598,23706,"[""55""]",28,0.04112508570885282,0.0874367769315737,68.39771246910095
11,index_10,8,1,0,0.0,fixed,540,540,1,96,25881,25977,"[""540""]",28,0.03146342290986611,0.0879018661705715,110.35580921173096
12,index_11,8,1,0,0.0,fixed,45,45,1,186,28516,28702,"[""45""]",28,0.030402390019257413,0.0897622231265624,166.42754411697388
13,index_12,8,2,0,0.0,fixed,204,204,1,181,23135,23316,"[""204"", ""204""]",27,0.043648127559752815,0.0813906168246032,64.887197971344
14,index_13,8,1,0,0.0,fixed,699,249,0,118,55882,56000,"[""249""]",28,0.0681723005796388,0.1292366722864949,970.1840405464172
15,index_14,8,1,0,0.0,fixed,294,294,1,101,27166,27267,"[""294""]",28,0.030037048143172568,0.0883669554095691,133.98766922950745
16,index_15,8,1,0,0.0,fixed,110,134,0,112,33073,33185,"[""134""]",28,0.03269546475740752,0.0879018661705715,298.692440032959
17,index_16,8,1,0,0.0,fixed,721,721,1,145,30193,30338,"[""721""]",28,0.030521024944262825,0.0892971338875646,212.76285815238953
18,index_17,8,1,0,0.0,fixed,315,33,0,100,41085,41185,"[""33""]",28,0.04361575943956001,0.0879018661705715,528.8063154220581
19,index_18,8,1,0,0.0,fixed,468,468,1,100,27480,27580,"[""468""]",28,0.029518897337137636,0.0874367769315737,143.13520216941833
20,index_19,8,1,0,0.0,fixed,902,902,1,147,36657,36804,"[""902""]",28,0.03746440133436734,0.0892971338875646,403.49142360687256
21,index_20,8,1,0,0.0,fixed,211,211,1,170,41534,41704,"[""211""]",28,0.04484879420897783,0.0897622231265624,549.6973097324371
22,index_21,8,1,0,0.0,fixed,80,80,1,109,38041,38150,"[""80""]",28,0.03910596069305004,0.0879018661705715,443.3324975967407
23,index_22,8,1,0,0.0,fixed,480,480,1,131,30721,30852,"[""480""]",28,0.03069226256141445,0.0883669554095691,230.6198766231537
24,index_23,8,1,0,0.0,fixed,236,236,1,118,33547,33665,"[""236""]",28,0.033269183764142,0.0883669554095691,313.15953826904297
25,index_24,8,1,0,0.0,fixed,73,73,1,159,26184,26343,"[""73""]",28,0.031769702274033675,0.0892971338875646,117.02892923355103
26,index_25,8,1,0,0.0,fixed,113,113,1,402,38291,38693,"[""113""]",28,0.041839547986533415,0.0958083832335329,456.8206388950348
27,index_26,8,1,0,0.0,fixed,127,7,0,208,50408,50616,"[""7""]",28,0.059569999856918146,0.1102261496424626,814.5678341388702
28,index_27,8,1,0,0.0,fixed,104,104,1,199,26859,27058,"[""104""]",28,0.032104151652090566,0.0916225800825533,125.12265348434448
29,index_28,8,1,0,0.0,fixed,104,104,1,124,33005,33129,"[""104""]",28,0.032723313233608615,0.0883669554095691,295.7907989025116
30,index_29,8,1,0,0.0,fixed,321,321,1,109,27127,27236,"[""321""]",28,0.030132361294499498,0.0883669554095691,133.36571717262268
