iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,0,0.98,fixed,C,C,1,148,210047,210195,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",75,0.3504387482183572,0.7375028020623179,131.54408383369446
2,index_1,64,2,0,0.98,fixed,D,D,1,14140,231458,245598,"[""B"", ""D""]",46,0.2650629417468124,0.9995516700291416,198.02623295784
3,index_2,64,64,0,0.98,fixed,C,C,1,179,212485,212664,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",80,0.28830475096721747,0.7803183142793095,155.23815512657166
4,index_3,64,31,0,0.98,fixed,B,B,1,153,176159,176312,"[""B"", ""D"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""D"", ""B""]",71,0.257251570012856,0.5828289621161175,119.18486380577087
5,index_4,64,23,0,0.98,fixed,C,C,1,385,259663,260048,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",68,0.2355865499499213,0.9999252783381902,327.4639892578125
6,index_5,64,19,0,0.98,fixed,C,C,1,199,211104,211303,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",46,0.15879335171360986,0.7924979451543002,313.2354154586792
7,index_6,64,8,0,0.98,fixed,C,C,1,191,202599,202790,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B""]",62,0.1390885474858909,0.771501158185758,337.1190254688263
8,index_7,64,3,0,0.98,fixed,D,D,1,471,326727,327198,"[""D"", ""D"", ""A""]",99,0.38013484653387064,0.9999252783381902,369.2377278804779
9,index_8,64,64,0,0.98,fixed,A,C,0,262,255014,255276,"[""A"", ""C"", ""A"", ""A"", ""C"", ""A"", ""C"", ""C"", ""C"", ""A"", ""B"", ""C"", ""C"", ""A"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""A"", ""C"", ""C"", ""D"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""C"", ""A"", ""B"", ""D"", ""C"", ""A"", ""A"", ""B"", ""B"", ""D"", ""C"", ""A"", ""C"", ""C"", ""C"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""A""]",85,0.39358477049634844,0.7945154300231637,187.80561113357544
10,index_9,64,3,0,0.98,fixed,C,C,1,148,230540,230688,"[""C"", ""C"", ""B""]",46,0.3164540785984549,0.9999252783381902,172.24117183685303
