iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,1,1,A,A,1,173,2777,1960,815,2950,"[""A""]",0.0075288771418833954,0.0141552511415524,45.33333158493042
2,aqua_rat_test_1,1,1,E,E,1,153,1649,1235,412,1802,"[""E""]",0.004750795627507906,0.0086757990867579,26.573654413223267
3,aqua_rat_test_2,1,1,A,A,1,95,2654,2291,361,2749,"[""A""]",0.0068656250089575216,0.013165905631659,43.03967833518982
4,aqua_rat_test_3,1,1,B,B,1,141,2266,1814,450,2407,"[""B""]",0.0061613958194436415,0.0115677321156772,36.63565731048584
5,aqua_rat_test_4,1,1,B,B,1,106,729,464,263,835,"[""B""]",0.0023385667521527466,0.0041095890410959,11.653257131576538
6,aqua_rat_test_5,1,1,D,D,1,164,1059,831,226,1223,"[""D""]",0.003399385428333425,0.0059360730593607,17.006150484085083
7,aqua_rat_test_6,1,1,D,D,1,122,1925,1493,430,2047,"[""D""]",0.005259992634635185,0.0098173515981735,30.99112057685852
8,aqua_rat_test_7,1,1,C,C,1,137,800,549,249,937,"[""C""]",0.0026547865396564403,0.0045662100456621,12.858725547790527
9,aqua_rat_test_8,1,1,E,E,1,128,1623,1182,439,1751,"[""E""]",0.004570240157155556,0.0084474885844748,26.226892471313477
10,aqua_rat_test_9,1,1,D,D,1,115,850,600,248,965,"[""D""]",0.0026694353674698713,0.0047184170471841,13.630880117416382
11,aqua_rat_test_10,1,1,B,C,0,158,3066,2533,531,3224,"[""C""]",0.008144960419728004,0.0154490106544901,49.965978384017944
12,aqua_rat_test_11,1,1,A,A,1,146,986,707,277,1132,"[""A""]",0.00314029105926507,0.0054794520547944,15.846386194229126
13,aqua_rat_test_12,1,1,C,C,1,118,1163,779,382,1281,"[""C""]",0.0034283188710528987,0.0061643835616438,18.63031530380249
14,aqua_rat_test_13,1,1,D,D,1,81,447,354,91,528,"[""D""]",0.001548910089149766,0.0025875190258751,7.106055021286011
15,aqua_rat_test_14,1,1,C,C,1,99,611,490,119,710,"[""C""]",0.002024701306194677,0.0035007610350076,9.770244359970093
16,aqua_rat_test_15,1,1,A,A,1,109,531,374,155,640,"[""A""]",0.0018814158684381688,0.0031202435312024,8.471024513244629
17,aqua_rat_test_16,1,1,A,A,1,143,3631,2691,938,3774,"[""A""]",0.009417431054251354,0.0180365296803652,59.042876958847046
18,aqua_rat_test_17,1,1,D,D,1,151,895,660,233,1046,"[""D""]",0.0029473119156337873,0.0050989345509893,14.427132606506348
19,aqua_rat_test_18,1,1,D,D,1,183,1057,584,471,1240,"[""D""]",0.0034847922475132772,0.0060121765601217,17.010969638824463
20,aqua_rat_test_19,1,1,C,C,1,106,1256,848,406,1362,"[""C""]",0.003592545368463194,0.006544901065449,20.206522464752197
21,aqua_rat_test_20,1,1,C,E,0,122,7189,6570,617,7311,"[""E""]",0.01777950307271849,0.034855403348554,118.89671683311462
22,aqua_rat_test_21,1,1,A,A,1,141,3689,3119,568,3830,"[""A""]",0.009545853906027597,0.0183409436834094,59.44372344017029
23,aqua_rat_test_22,1,1,E,E,1,142,2654,1971,681,2796,"[""E""]",0.007089005265616936,0.0133942161339422,42.75196194648743
24,aqua_rat_test_23,1,1,A,A,1,144,1776,1458,316,1920,"[""A""]",0.005010154271260751,0.0092085235920852,28.46498942375183
25,aqua_rat_test_24,1,1,D,D,1,137,610,455,153,747,"[""D""]",0.002202392963104077,0.0036529680365297,9.786869764328003
26,aqua_rat_test_25,1,1,D,D,1,123,758,571,185,881,"[""D""]",0.002488253590099885,0.004261796042618,12.026320934295654
27,aqua_rat_test_26,1,1,C,C,1,109,618,425,191,727,"[""C""]",0.0020887275838920734,0.0035768645357686,9.754016160964966
28,aqua_rat_test_27,1,1,A,A,1,136,954,588,364,1090,"[""A""]",0.003016408074143091,0.0052511415525113,15.081109523773193
29,aqua_rat_test_28,1,1,B,B,1,127,790,515,273,917,"[""B""]",0.0025835743437876628,0.0044901065449011,12.48244833946228
30,aqua_rat_test_29,1,1,A,A,1,112,948,837,109,1060,"[""A""]",0.0028884045209809444,0.0051750380517503,15.046909093856812
31,aqua_rat_test_30,1,1,B,B,1,121,788,486,300,909,"[""B""]",0.002550287148443261,0.00441400304414,12.595383644104004
32,aqua_rat_test_31,1,1,A,A,1,141,633,443,188,774,"[""A""]",0.00227614287291911,0.0038051750380517,10.159085512161255
33,aqua_rat_test_32,1,1,B,E,0,131,9052,8375,675,9183,"[""E""]",0.02225299819883613,0.0437595129375951,150.3943314552307
34,aqua_rat_test_33,1,1,B,B,1,133,711,518,191,844,"[""B""]",0.0024239820087903373,0.0041095890410959,11.441587448120117
35,aqua_rat_test_34,1,1,B,B,1,143,1115,808,305,1258,"[""B""]",0.0034329770925734483,0.0060882800608828,17.935889720916748
36,aqua_rat_test_35,1,1,A,A,1,118,944,709,233,1062,"[""A""]",0.0029073147946815678,0.0051750380517503,15.252295017242432
37,aqua_rat_test_36,1,1,D,D,1,144,1019,753,264,1163,"[""D""]",0.00320932939385795,0.0056316590563165,16.345085382461548
38,aqua_rat_test_37,1,1,A,A,1,127,1202,828,372,1329,"[""A""]",0.003563895942538328,0.0063926940639269,19.387919187545776
39,aqua_rat_test_38,1,1,D,D,1,132,677,450,225,809,"[""D""]",0.0023383305720558268,0.0039573820395738,10.912238121032715
40,aqua_rat_test_39,1,1,A,A,1,126,2305,1512,791,2431,"[""A""]",0.006182864897474741,0.0116438356164383,37.2151882648468
41,aqua_rat_test_40,1,1,A,A,1,130,1933,1242,689,2063,"[""A""]",0.005317092673129514,0.0098934550989345,31.198606252670288
42,aqua_rat_test_41,1,1,A,A,1,145,3041,2592,447,3186,"[""A""]",0.008023690654530086,0.015220700152207,49.23462224006653
43,aqua_rat_test_42,1,1,C,C,1,89,653,538,113,742,"[""C""]",0.0020771368326979265,0.0036529680365297,10.403615236282349
44,aqua_rat_test_43,1,1,A,A,1,127,1225,895,328,1352,"[""A""]",0.003618702838797093,0.006544901065449,19.577073335647583
45,aqua_rat_test_44,1,1,B,B,1,129,713,514,197,842,"[""B""]",0.0024099441907660633,0.0041095890410959,11.390864849090576
46,aqua_rat_test_45,1,1,B,B,1,123,1288,998,288,1411,"[""B""]",0.003749440589084739,0.0068493150684931,20.543647527694702
47,aqua_rat_test_46,1,1,E,E,1,132,652,436,214,784,"[""E""]",0.002278676335191004,0.0038051750380517,10.3633553981781
48,aqua_rat_test_47,1,1,A,A,1,148,853,678,173,1001,"[""A""]",0.0028332067912125868,0.0048706240487061,13.639673948287964
49,aqua_rat_test_48,1,1,D,D,1,109,3854,3558,294,3963,"[""D""]",0.009786160020689048,0.0189497716894977,62.111339807510376
50,aqua_rat_test_49,1,1,B,B,1,115,1171,886,283,1286,"[""B""]",0.003433228918291284,0.0062404870624048,18.468261241912842
51,aqua_rat_test_50,1,1,C,C,1,121,1002,710,290,1123,"[""C""]",0.0030594669568159575,0.0054794520547944,15.969629764556885
52,aqua_rat_test_51,1,1,C,C,1,127,888,708,178,1015,"[""C""]",0.002816856797009918,0.0049467275494672,14.18290090560913
53,aqua_rat_test_52,1,1,B,B,1,103,860,596,262,963,"[""B""]",0.0026361333411115844,0.0047184170471841,13.591347694396973
54,aqua_rat_test_53,1,1,A,A,1,102,741,508,231,843,"[""A""]",0.0023483365949118935,0.0041095890410959,11.697409629821777
55,aqua_rat_test_54,1,1,D,A,0,144,8032,7553,477,8176,"[""A""]",0.019889000490935272,0.0389649923896499,132.1721134185791
56,aqua_rat_test_55,1,1,A,A,1,117,795,573,220,912,"[""A""]",0.00254793755688637,0.00441400304414,12.583552598953247
57,aqua_rat_test_56,1,1,A,A,1,128,4236,3776,458,4364,"[""A""]",0.010785017399447953,0.0208523592085235,68.49614834785461
58,aqua_rat_test_57,1,1,D,D,1,119,1005,636,367,1124,"[""D""]",0.003057151762181807,0.0054794520547944,15.983395338058472
59,aqua_rat_test_58,1,1,D,D,1,130,1823,1521,300,1953,"[""D""]",0.005055417033832629,0.0093607305936073,29.034689903259277
60,aqua_rat_test_59,1,1,C,C,1,107,10637,9948,687,10744,"[""C""]",0.025908384491082292,0.0512176560121765,176.5210416316986
61,aqua_rat_test_60,1,1,E,E,1,138,1438,1004,432,1576,"[""E""]",0.004177600925723152,0.0076103500761035,22.962411403656006
62,aqua_rat_test_61,1,1,D,D,1,117,2475,2042,431,2592,"[""D""]",0.006544409281922236,0.0124048706240487,39.72415900230408
63,aqua_rat_test_62,1,1,B,B,1,131,1052,740,310,1183,"[""B""]",0.0032260512473601777,0.0057077625570776,16.777557373046875
64,aqua_rat_test_63,1,1,C,C,1,119,987,646,339,1106,"[""C""]",0.003014253230547343,0.0053272450532724,15.724041938781738
65,aqua_rat_test_64,1,1,D,B,0,162,949,543,404,1111,"[""B""]",0.0031281743170711676,0.0054033485540334,15.193374872207642
66,aqua_rat_test_65,1,1,C,C,1,112,1565,1092,471,1677,"[""C""]",0.004356269353907476,0.0080669710806696,24.845529079437256
67,aqua_rat_test_66,1,1,C,C,1,150,1270,806,462,1420,"[""C""]",0.003834933842047166,0.0068493150684931,20.20776057243347
68,aqua_rat_test_67,1,1,B,B,1,127,4376,3634,740,4503,"[""B""]",0.011113214954746447,0.0215372907153729,71.0964252948761
69,aqua_rat_test_68,1,1,A,A,1,128,1179,924,253,1307,"[""A""]",0.003514046900394657,0.0063165905631659,18.73587155342102
70,aqua_rat_test_69,1,1,C,C,1,131,11430,10823,605,11561,"[""C""]",0.027908473939394374,0.0550989345509893,190.23371815681458
71,aqua_rat_test_70,1,1,C,C,1,122,761,580,179,883,"[""C""]",0.002490641866113726,0.004337899543379,12.08008337020874
72,aqua_rat_test_71,1,1,A,A,1,144,1124,777,345,1268,"[""A""]",0.003459090140368629,0.0061643835616438,18.01295256614685
73,aqua_rat_test_72,1,1,B,B,1,100,425,308,115,525,"[""B""]",0.0015863828327651872,0.0025875190258751,6.761959552764893
74,aqua_rat_test_73,1,1,B,B,1,106,526,412,112,632,"[""B""]",0.0018553658022348227,0.0031202435312024,8.366936445236206
75,aqua_rat_test_74,1,1,E,E,1,147,1144,766,376,1291,"[""E""]",0.0035209666806244643,0.0062404870624048,18.16278052330017
76,aqua_rat_test_75,1,1,C,C,1,117,1139,784,353,1256,"[""C""]",0.00336657854682363,0.0060882800608828,18.168031215667725
77,aqua_rat_test_76,1,1,E,E,1,204,834,564,268,1038,"[""E""]",0.0030536187898175765,0.0050228310502282,13.31030797958374
78,aqua_rat_test_77,1,1,B,B,1,163,4790,4256,532,4953,"[""B""]",0.012268993073326491,0.0236681887366818,78.15733337402344
79,aqua_rat_test_78,1,1,A,A,1,144,1321,1099,220,1465,"[""A""]",0.0039278501969940375,0.0070776255707762,21.13467836380005
80,aqua_rat_test_79,1,1,D,D,1,140,1838,1256,580,1978,"[""D""]",0.005138620933387247,0.0095129375951293,29.661656379699707
81,aqua_rat_test_80,1,1,B,B,1,169,1634,1109,523,1803,"[""B""]",0.004791122654639005,0.0086757990867579,26.240074157714844
82,aqua_rat_test_81,1,1,A,A,1,124,735,508,225,859,"[""A""]",0.0024384140692210532,0.0041856925418569,11.783849716186523
83,aqua_rat_test_82,1,1,A,A,1,121,5533,4911,620,5654,"[""A""]",0.013836342543314588,0.0270167427701674,90.8168773651123
84,aqua_rat_test_83,1,1,A,A,1,135,1568,1185,381,1703,"[""A""]",0.00447259643414593,0.0082191780821917,25.060062170028687
85,aqua_rat_test_84,1,1,A,A,1,101,577,418,157,678,"[""A""]",0.001953147630258071,0.0033485540334855,9.14598560333252
86,aqua_rat_test_85,1,1,A,A,1,120,2308,1689,617,2428,"[""A""]",0.006161483125062163,0.0116438356164383,36.96198916435242
87,aqua_rat_test_86,1,1,E,E,1,124,3339,2798,539,3463,"[""E""]",0.008632620603541728,0.0165905631659056,54.143198013305664
88,aqua_rat_test_87,1,1,B,B,1,103,732,434,296,835,"[""B""]",0.0023314873302725373,0.0041095890410959,11.623081684112549
89,aqua_rat_test_88,1,1,B,B,1,128,943,661,280,1071,"[""B""]",0.0029524772334442173,0.0051750380517503,15.118562698364258
90,aqua_rat_test_89,1,1,B,B,1,121,2368,1996,370,2489,"[""B""]",0.006308944875879606,0.0119482496194824,38.074939250946045
91,aqua_rat_test_90,1,1,B,B,1,111,1111,796,313,1222,"[""B""]",0.003271492395124946,0.0059360730593607,17.840148448944092
92,aqua_rat_test_91,1,1,B,B,1,179,1087,647,438,1266,"[""B""]",0.003537134031694818,0.0060882800608828,17.444053649902344
93,aqua_rat_test_92,1,1,A,A,1,155,924,615,307,1079,"[""A""]",0.003035336706569536,0.0052511415525113,14.804978370666504
94,aqua_rat_test_93,1,1,D,D,1,113,1170,868,300,1283,"[""D""]",0.003421343035067352,0.0062404870624048,18.75549578666687
95,aqua_rat_test_94,1,1,A,A,1,132,878,647,229,1010,"[""A""]",0.002816608744889593,0.0048706240487061,14.12592077255249
96,aqua_rat_test_95,1,1,A,A,1,133,1615,1187,426,1748,"[""A""]",0.004574875295748705,0.0084474885844748,26.02212905883789
97,aqua_rat_test_96,1,1,C,C,1,107,737,502,233,844,"[""C""]",0.002362508404383848,0.0041095890410959,11.795480012893677
98,aqua_rat_test_97,1,1,E,E,1,140,1100,684,414,1240,"[""E""]",0.0033829768703419797,0.0060121765601217,17.53408455848694
99,aqua_rat_test_98,1,1,D,D,1,144,542,389,151,686,"[""D""]",0.00207371528040561,0.0033485540334855,8.663354396820068
100,aqua_rat_test_99,1,1,E,E,1,126,741,624,115,867,"[""E""]",0.002462081584593818,0.004261796042618,11.802741527557373
101,aqua_rat_test_100,1,1,A,A,1,114,693,498,193,807,"[""A""]",0.002291110146109904,0.0039573820395738,11.02677583694458
102,aqua_rat_test_101,1,1,C,C,1,130,2991,2071,918,3121,"[""C""]",0.007833471703334668,0.0149162861491628,47.94134759902954
103,aqua_rat_test_102,1,1,D,D,1,119,1297,978,317,1416,"[""D""]",0.003751937766332889,0.0068493150684931,20.695778369903564
104,aqua_rat_test_103,1,1,E,E,1,129,1035,654,379,1164,"[""E""]",0.003176219272109633,0.0056316590563165,16.41767954826355
105,aqua_rat_test_104,1,1,A,E,0,162,1988,1333,653,2150,"[""E""]",0.005599977960977108,0.0103500761035008,31.64824676513672
106,aqua_rat_test_105,1,1,B,B,1,121,1512,938,572,1633,"[""B""]",0.004272811684829857,0.0078386605783865,24.124191761016846
107,aqua_rat_test_106,1,1,D,E,0,144,9215,8844,369,9359,"[""E""]",0.022702476931126286,0.0445966514459664,153.89737629890442
108,aqua_rat_test_107,1,1,B,B,1,117,1101,709,390,1218,"[""B""]",0.0032760416235044676,0.0058599695585996,17.91874647140503
109,aqua_rat_test_108,1,1,D,D,1,108,2181,1924,255,2289,"[""D""]",0.005802351326126125,0.0109589041095889,35.40601849555969
110,aqua_rat_test_109,1,1,B,B,1,140,2385,1959,424,2525,"[""B""]",0.006439676652619684,0.0121004566210045,38.43108296394348
111,aqua_rat_test_110,1,1,A,A,1,130,1266,839,425,1396,"[""A""]",0.003730453053089802,0.0067732115677321,20.949312210083008
112,aqua_rat_test_111,1,1,D,D,1,128,696,450,244,824,"[""D""]",0.0023646678851961312,0.0040334855403348,11.201098918914795
113,aqua_rat_test_112,1,1,C,D,0,102,7356,6626,728,7458,"[""D""]",0.01808155870562185,0.0355403348554033,122.01330018043518
114,aqua_rat_test_113,1,1,D,D,1,147,1046,695,349,1193,"[""D""]",0.0032877875324002705,0.0057838660578386,16.83361005783081
115,aqua_rat_test_114,1,1,D,E,0,147,7310,6501,807,7457,"[""E""]",0.018186155137886673,0.0355403348554033,120.39771771430969
116,aqua_rat_test_115,1,1,C,C,1,124,7267,6910,355,7391,"[""C""]",0.017974520196118293,0.0352359208523591,120.18217015266418
117,aqua_rat_test_116,1,1,B,B,1,176,2735,2003,730,2911,"[""B""]",0.007443261724834617,0.0139269406392693,44.09076714515686
118,aqua_rat_test_117,1,1,C,E,0,127,9797,9154,641,9924,"[""E""]",0.024005768890802696,0.0473363774733637,163.8474793434143
119,aqua_rat_test_118,1,1,A,A,1,138,656,448,206,794,"[""A""]",0.0023166971312338957,0.0038812785388128,10.529428243637085
120,aqua_rat_test_119,1,1,D,D,1,106,863,612,249,969,"[""D""]",0.0026576328992614744,0.0047184170471841,13.807692050933838
121,aqua_rat_test_120,1,1,E,E,1,131,1096,800,294,1227,"[""E""]",0.003330794237501146,0.0059360730593607,17.616103887557983
122,aqua_rat_test_121,1,1,B,B,1,97,517,326,189,614,"[""B""]",0.0017915175449421524,0.0030441400304414,8.278598070144653
123,aqua_rat_test_122,1,1,A,E,0,154,4179,3634,543,4333,"[""E""]",0.010773033143256599,0.0207001522070015,67.97228074073792
124,aqua_rat_test_123,1,1,A,A,1,105,1876,1557,317,1981,"[""A""]",0.005062687065810626,0.0095129375951293,30.27878451347351
125,aqua_rat_test_124,1,1,E,B,0,117,977,720,255,1094,"[""B""]",0.0029811095236760786,0.0053272450532724,15.590952157974243
126,aqua_rat_test_125,1,1,A,A,1,138,8260,7230,1028,8398,"[""A""]",0.020402702765944424,0.0400304414003044,136.55035543441772
127,aqua_rat_test_126,1,1,B,D,0,156,3368,2722,644,3524,"[""D""]",0.008853690172686455,0.0168949771689497,54.25509452819824
128,aqua_rat_test_127,1,1,D,D,1,154,747,551,194,901,"[""D""]",0.0026091902099153897,0.00441400304414,11.880733013153076
129,aqua_rat_test_128,1,1,B,B,1,125,1309,800,507,1434,"[""B""]",0.0038090092602274506,0.0069254185692542,21.072674989700317
130,aqua_rat_test_129,1,1,D,D,1,112,1158,917,239,1270,"[""D""]",0.0033880832029920854,0.0061643835616438,18.53919792175293
131,aqua_rat_test_130,1,1,A,A,1,117,870,528,340,987,"[""A""]",0.002726532423935776,0.0047945205479451,13.850878477096558
132,aqua_rat_test_131,1,1,C,C,1,110,1013,815,196,1123,"[""C""]",0.0030334825382243237,0.0054794520547944,16.19693946838379
133,aqua_rat_test_132,1,1,B,B,1,111,3673,2858,813,3784,"[""B""]",0.009365204833172958,0.0181126331811263,59.47452664375305
134,aqua_rat_test_133,1,1,E,E,1,147,1010,845,163,1157,"[""E""]",0.0032020679677278504,0.0056316590563165,16.14876699447632
135,aqua_rat_test_134,1,1,C,C,1,133,1132,848,282,1265,"[""C""]",0.003425799422607459,0.0060882800608828,18.095274448394775
136,aqua_rat_test_135,1,1,D,D,1,135,2127,1725,400,2262,"[""D""]",0.0058022482004096545,0.0108828006088279,34.074318170547485
137,aqua_rat_test_136,1,1,C,C,1,126,1330,870,458,1456,"[""C""]",0.003863667811363904,0.0070015220700152,21.310129404067993
138,aqua_rat_test_137,1,1,E,E,1,150,722,407,313,872,"[""E""]",0.002530783497645274,0.004261796042618,11.5533766746521
139,aqua_rat_test_138,1,1,C,C,1,132,749,536,211,881,"[""C""]",0.002509589041095848,0.004261796042618,11.94332504272461
140,aqua_rat_test_139,1,1,E,D,0,123,7244,6357,886,7367,"[""D""]",0.017915068703236215,0.0351598173515981,119.37166404724121
141,aqua_rat_test_140,1,1,E,E,1,166,590,443,145,756,"[""E""]",0.0022921189738517654,0.0037290715372907,9.341036558151245
142,aqua_rat_test_141,1,1,B,B,1,128,1232,884,346,1360,"[""B""]",0.003640068091956187,0.006544901065449,19.68722629547119
143,aqua_rat_test_142,1,1,B,B,1,141,581,393,186,722,"[""B""]",0.0021520814699743725,0.0035007610350076,9.349229335784912
144,aqua_rat_test_143,1,1,E,E,1,127,1107,787,318,1234,"[""E""]",0.0033378391001653448,0.0059360730593607,17.648085594177246
145,aqua_rat_test_144,1,1,D,D,1,98,1164,663,499,1262,"[""D""]",0.0033358810041742124,0.0060882800608828,18.49739646911621
146,aqua_rat_test_145,1,1,E,E,1,127,917,773,142,1044,"[""E""]",0.002885798324064909,0.0050989345509893,14.789109706878662
147,aqua_rat_test_146,1,1,B,B,1,102,2449,2084,363,2551,"[""B""]",0.0064113005932966306,0.0122526636225266,39.89766240119934
148,aqua_rat_test_147,1,1,A,A,1,77,446,374,70,523,"[""A""]",0.0015275181405547753,0.0025875190258751,7.208547115325928
149,aqua_rat_test_148,1,1,A,A,1,113,655,469,184,768,"[""A""]",0.0021958644243976217,0.0037290715372907,10.525696277618408
150,aqua_rat_test_149,1,1,D,D,1,138,2298,1590,706,2436,"[""D""]",0.006223207363667433,0.0117199391171993,37.47651767730713
151,aqua_rat_test_150,1,1,B,B,1,104,1366,1049,315,1470,"[""B""]",0.003844813437862865,0.0070776255707762,22.123553037643433
152,aqua_rat_test_151,1,1,E,E,1,129,1253,1005,246,1382,"[""E""]",0.0036948431685273307,0.0066971080669711,20.290199995040894
153,aqua_rat_test_152,1,1,C,E,0,113,2277,2003,272,2390,"[""E""]",0.006054537946849107,0.0114916286149162,36.969903230667114
154,aqua_rat_test_153,1,1,D,D,1,126,1086,851,233,1212,"[""D""]",0.0032832324454357695,0.0058599695585996,17.536051511764526
155,aqua_rat_test_154,1,1,C,C,1,144,2794,2212,580,2938,"[""C""]",0.007431513656426003,0.0140791476407914,45.37224268913269
156,aqua_rat_test_155,1,1,E,E,1,96,3312,2552,758,3408,"[""E""]",0.008435313862047026,0.0162861491628615,54.33687925338745
157,aqua_rat_test_156,1,1,D,D,1,114,670,521,147,784,"[""D""]",0.002236263374821603,0.0038051750380517,10.82960319519043
158,aqua_rat_test_157,1,1,D,D,1,116,2769,2348,419,2885,"[""D""]",0.007238926528526404,0.0138508371385083,45.12704610824585
159,aqua_rat_test_158,1,1,B,B,1,134,1190,989,199,1324,"[""B""]",0.0035686215873234465,0.0063926940639269,19.213902950286865
160,aqua_rat_test_159,1,1,C,B,0,111,9249,8094,1153,9360,"[""B""]",0.022626401744209917,0.0445966514459664,155.65677690505981
161,aqua_rat_test_160,1,1,D,D,1,140,2034,1493,539,2174,"[""D""]",0.005604807796588573,0.0104261796042618,33.097434282302856
162,aqua_rat_test_161,1,1,B,B,1,130,1246,862,382,1376,"[""B""]",0.0036828723792504867,0.00662100456621,20.148046493530273
163,aqua_rat_test_162,1,1,A,A,1,110,4161,3812,347,4271,"[""A""]",0.010521043843076802,0.0203957382039573,68.05503129959106
164,aqua_rat_test_163,1,1,D,D,1,140,731,494,235,871,"[""D""]",0.002504761667124076,0.004261796042618,11.781402826309204
165,aqua_rat_test_164,1,1,C,C,1,110,2148,1818,328,2258,"[""C""]",0.005733366480321056,0.0108066971080669,34.81281805038452
166,aqua_rat_test_165,1,1,B,E,0,114,8978,8129,847,9092,"[""E""]",0.02199616626178142,0.0433789954337899,150.59820437431335
167,aqua_rat_test_166,1,1,C,C,1,113,542,346,194,655,"[""C""]",0.001926834122399045,0.0031963470319634,8.834773302078247
168,aqua_rat_test_167,1,1,A,A,1,142,771,478,291,913,"[""A""]",0.002609403711327157,0.00441400304414,12.596693754196167
169,aqua_rat_test_168,1,1,A,A,1,145,882,675,205,1027,"[""A""]",0.002887968407135585,0.0050228310502282,14.267634630203247
170,aqua_rat_test_169,1,1,A,A,1,129,4249,3468,779,4378,"[""A""]",0.010820700152206953,0.0209284627092846,70.17226195335388
171,aqua_rat_test_170,1,1,E,E,1,122,1086,866,218,1208,"[""E""]",0.0032641890671404605,0.0058599695585996,320.8925817012787
172,aqua_rat_test_171,1,1,E,E,1,148,1154,848,304,1302,"[""E""]",0.003549454097399253,0.0063165905631659,18.541812419891357
173,aqua_rat_test_172,1,1,E,D,0,175,17720,16525,1193,17895,"[""D""]",0.043076866124747516,0.0852359208523592,367.2857403755188
174,aqua_rat_test_173,1,1,C,C,1,163,3956,3645,309,4119,"[""C""]",0.010285473713039174,0.0197108066971081,66.15003037452698
175,aqua_rat_test_174,1,1,D,D,1,127,622,416,204,749,"[""D""]",0.002183669630183357,0.0036529680365297,10.055804014205933
176,aqua_rat_test_175,1,1,B,B,1,117,1385,1070,313,1502,"[""B""]",0.0039517813490415775,0.0072298325722983,22.527021408081055
177,aqua_rat_test_176,1,1,D,D,1,126,7884,7219,663,8010,"[""D""]",0.019451427435287844,0.0382039573820395,132.70551896095276
178,aqua_rat_test_177,1,1,D,D,1,109,1059,728,329,1168,"[""D""]",0.0031381924700611213,0.0056316590563165,17.12667179107666
179,aqua_rat_test_178,1,1,C,C,1,117,1170,845,323,1287,"[""C""]",0.003440320167622623,0.0062404870624048,19.007135152816772
180,aqua_rat_test_179,1,1,B,B,1,139,1018,770,246,1157,"[""B""]",0.0031830531917912287,0.0056316590563165,16.552858591079712
181,aqua_rat_test_180,1,1,D,D,1,127,1021,755,264,1148,"[""D""]",0.0031333494178305095,0.0055555555555555,16.54216957092285
182,aqua_rat_test_181,1,1,A,A,1,151,1084,792,290,1235,"[""A""]",0.003397021792956342,0.0060121765601217,17.610877752304077
183,aqua_rat_test_182,1,1,A,A,1,123,1916,1456,458,2039,"[""A""]",0.005243360495573881,0.0098173515981735,31.4663348197937
184,aqua_rat_test_183,1,1,D,D,1,94,692,453,237,786,"[""D""]",0.0021936037917772624,0.0038051750380517,11.229345560073853
185,aqua_rat_test_184,1,1,D,E,0,130,8770,8381,387,8900,"[""E""]",0.021577576720849256,0.0424657534246575,147.5393738746643
186,aqua_rat_test_185,1,1,D,D,1,116,1657,1194,461,1773,"[""D""]",0.004594071821875531,0.0085235920852358,26.984440565109253
187,aqua_rat_test_186,1,1,D,D,1,120,2324,1804,518,2444,"[""D""]",0.006199538469092109,0.0117199391171993,37.87291741371155
188,aqua_rat_test_187,1,1,A,E,0,144,8749,8125,622,8893,"[""E""]",0.021594216133942117,0.0423896499238964,147.2969343662262
189,aqua_rat_test_188,1,1,D,D,1,119,2802,2597,203,2921,"[""D""]",0.007331674966645278,0.0140030441400303,45.981427907943726
190,aqua_rat_test_189,1,1,B,B,1,115,520,386,132,635,"[""B""]",0.0018838903057870286,0.0031202435312024,8.41024923324585
191,aqua_rat_test_190,1,1,E,E,1,132,1876,1402,472,2008,"[""E""]",0.005191012894211625,0.0096651445966514,30.706134796142578
192,aqua_rat_test_191,1,1,B,B,1,165,1828,1425,401,1993,"[""B""]",0.005233624016250898,0.0095890410958904,29.801215648651123
193,aqua_rat_test_192,1,1,B,B,1,113,904,586,316,1017,"[""B""]",0.0027885836339631405,0.0049467275494672,14.702054738998413
194,aqua_rat_test_193,1,1,D,E,0,163,5284,4180,1102,5447,"[""E""]",0.013443867008232378,0.0260273972602739,87.72809648513794
195,aqua_rat_test_194,1,1,B,B,1,121,1135,715,418,1256,"[""B""]",0.0033760209659784695,0.0060882800608828,18.442795515060425
196,aqua_rat_test_195,1,1,A,A,1,110,1124,779,343,1234,"[""A""]",0.0032975477760865393,0.0059360730593607,18.3070285320282
197,aqua_rat_test_196,1,1,B,B,1,122,1444,1234,208,1566,"[""B""]",0.004115856388217344,0.0075342465753425,23.529786825180054
