iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,0,0.95,fixed,33,33,1,189,203788,203977,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",68,0.3598628230995226,0.7181126331811263,119.19112467765808
2,index_1,64,64,0,0.95,fixed,23,23,1,221,479332,479553,"[""23"", ""23"", ""23"", ""19"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""5"", ""23"", ""23"", ""23"", ""23"", ""5"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",100,0.5122427189879274,1.0,600.2486174106598
3,index_2,64,64,0,0.95,fixed,116,116,1,167,166922,167089,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",73,0.2970996762874245,0.5844748858447488,94.03342199325562
4,index_3,64,41,0,0.95,fixed,809,809,1,140,252673,252813,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""404"", ""809"", ""809"", ""809"", ""404"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",93,0.2958458508913368,0.9678082191780822,205.27270221710205
5,index_4,64,45,0,0.95,fixed,197,197,1,136,687090,687226,"[""273"", ""197"", ""36"", ""35"", ""254"", ""1029"", ""8603"", ""287"", ""2025"", ""287"", ""275"", ""197"", ""9827"", ""1501"", ""2929"", ""518"", ""287"", ""197"", ""19"", ""273"", ""197"", ""144"", ""290"", ""197"", ""2929"", ""2025"", ""197"", ""197"", ""273"", ""2929"", ""8603"", ""273"", ""287"", ""197"", ""144"", ""36"", ""19"", ""144"", ""254"", ""2025"", ""144"", ""8603"", ""273"", ""287"", ""139""]",100,0.6532428270081176,1.0,964.1005380153656
6,index_5,64,49,0,0.95,fixed,385,16,0,123,697463,697586,"[""16"", ""24"", ""24"", ""16"", ""12"", ""16"", ""16"", ""16"", ""48"", ""16"", ""16"", ""16"", ""24"", ""16"", ""12"", ""64"", ""12"", ""16"", ""12"", ""16"", ""16"", ""24"", ""24"", ""16"", ""8"", ""24"", ""32"", ""16"", ""24"", ""16"", ""16"", ""12"", ""12"", ""24"", ""16"", ""16"", ""16"", ""12"", ""12"", ""16"", ""16"", ""16"", ""76"", ""12"", ""16"", ""16"", ""24"", ""16"", ""16""]",100,0.763181656751056,1.0,837.8876032829285
7,index_6,64,45,0,0.95,fixed,371,69,0,118,800216,800334,"[""35"", ""131"", ""17"", ""69"", ""69"", ""71"", ""131"", ""277"", ""131"", ""131"", ""17"", ""17"", ""9"", ""311"", ""17"", ""143"", ""67"", ""41"", ""69"", ""135"", ""139"", ""69"", ""283"", ""133"", ""35"", ""357"", ""17"", ""9"", ""279"", ""337"", ""277"", ""69"", ""35"", ""307"", ""69"", ""71"", ""139"", ""383"", ""361"", ""349"", ""163"", ""263"", ""293"", ""143"", ""71""]",100,0.8465292795149738,1.0,1131.501588344574
8,index_7,64,54,0,0.95,fixed,601,601,1,114,838667,838781,"[""601"", ""13"", ""13"", ""601"", ""607"", ""601"", ""401"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""401"", ""401"", ""55"", ""601"", ""7"", ""205"", ""13"", ""601"", ""203"", ""601"", ""601"", ""601"", ""1"", ""13"", ""201"", ""601"", ""604"", ""601"", ""601"", ""7"", ""601"", ""601"", ""601"", ""7"", ""13"", ""206"", ""601"", ""601"", ""403"", ""601"", ""84"", ""601"", ""601"", ""601"", ""597"", ""401"", ""601"", ""1""]",100,0.714643675531932,1.0,1397.7985730171204
9,index_8,64,46,0,0.95,fixed,25,25,1,92,364247,364339,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",100,0.5011878990427432,1.0,317.35082626342773
10,index_9,64,46,0,0.95,fixed,55,55,1,103,214593,214696,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",87,0.2642852590149305,0.6799847792998478,167.1560742855072
11,index_10,64,60,0,0.95,fixed,540,540,1,91,256647,256738,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",93,0.1426859076593526,0.680289193302892,646.969804763794
