iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,aqua_rat_test_0,A,A,1,2,5897,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
2,aqua_rat_test_1,E,E,1,2,5758,2,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True,45.4888115614418,2.071143259076471
3,aqua_rat_test_2,A,A,1,2,3697,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
4,aqua_rat_test_3,B,B,1,2,2680,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
5,aqua_rat_test_4,B,B,1,2,1113,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
6,aqua_rat_test_5,D,D,1,2,2855,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
7,aqua_rat_test_6,D,D,1,2,4138,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
8,aqua_rat_test_7,C,C,1,2,1869,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
9,aqua_rat_test_8,E,E,1,2,4264,2,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True,45.4888115614418,2.071143259076471
10,aqua_rat_test_9,D,D,1,2,1737,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
11,aqua_rat_test_10,B,C,0,2,7617,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",False,45.4888115614418,2.071143259076471
12,aqua_rat_test_11,A,A,1,2,2355,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
13,aqua_rat_test_12,C,C,1,2,3376,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
14,aqua_rat_test_13,D,D,1,2,733,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
15,aqua_rat_test_14,C,C,1,2,1120,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
16,aqua_rat_test_15,A,A,1,2,1391,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
17,aqua_rat_test_16,A,A,1,4,19938,2,"['A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'A']",True,90.9776231228836,2.071143259076471
18,aqua_rat_test_17,D,D,1,2,1879,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
19,aqua_rat_test_18,D,D,1,2,1915,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
20,aqua_rat_test_19,C,C,1,2,2243,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
21,aqua_rat_test_20,C,E,0,2,17125,2,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",False,45.4888115614418,2.071143259076471
22,aqua_rat_test_21,A,A,1,2,7105,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
23,aqua_rat_test_22,E,E,1,2,6106,2,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True,45.4888115614418,2.071143259076471
24,aqua_rat_test_23,A,A,1,2,3712,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
25,aqua_rat_test_24,D,D,1,2,1353,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
26,aqua_rat_test_25,D,D,1,2,1444,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
27,aqua_rat_test_26,C,C,1,2,1518,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
28,aqua_rat_test_27,A,A,1,2,2383,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
29,aqua_rat_test_28,B,B,1,2,1380,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
30,aqua_rat_test_29,A,A,1,2,1333,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
31,aqua_rat_test_30,B,B,1,2,1736,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
32,aqua_rat_test_31,A,A,1,2,1605,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
33,aqua_rat_test_32,B,E,0,6,68298,2,"['B', 'D', 'D', 'E', 'E', 'E', 'C', 'B', 'D', 'A', 'D', 'C', 'C', 'B', 'E']",True,136.4664346843254,2.071143259076471
34,aqua_rat_test_33,B,B,1,2,1898,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
35,aqua_rat_test_34,B,B,1,2,2026,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
36,aqua_rat_test_35,A,A,1,2,1599,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
37,aqua_rat_test_36,D,D,1,2,1984,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
38,aqua_rat_test_37,A,A,1,2,3349,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
39,aqua_rat_test_38,D,D,1,2,1739,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,45.4888115614418,2.071143259076471
40,aqua_rat_test_39,A,A,1,2,4036,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
41,aqua_rat_test_40,A,A,1,2,5746,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
42,aqua_rat_test_41,A,A,1,2,8383,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
43,aqua_rat_test_42,C,C,1,2,1574,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
44,aqua_rat_test_43,A,A,1,2,2487,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
45,aqua_rat_test_44,B,B,1,2,1566,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
46,aqua_rat_test_45,B,B,1,2,2954,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
47,aqua_rat_test_46,E,E,1,2,1417,2,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",True,45.4888115614418,2.071143259076471
48,aqua_rat_test_47,A,A,1,2,1616,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
49,aqua_rat_test_48,D,D,1,4,18480,2,"['C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'D']",True,90.9776231228836,2.071143259076471
50,aqua_rat_test_49,B,B,1,2,1493,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
51,aqua_rat_test_50,C,C,1,2,2249,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
52,aqua_rat_test_51,C,C,1,2,1696,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,45.4888115614418,2.071143259076471
53,aqua_rat_test_52,B,B,1,2,1764,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,45.4888115614418,2.071143259076471
54,aqua_rat_test_53,A,A,1,2,1500,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,45.4888115614418,2.071143259076471
55,aqua_rat_test_54,D,D,1,6,49544,2,"['C', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'D', 'E', 'D']",True,136.4664346843254,2.071143259076471
