iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,0,0.98,fixed,A,A,1,173,20204,20377,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",15,0.04214714680829187,0.0775494672754947,55.21226644515991
2,aqua_rat_test_1,8,8,0,0.98,fixed,E,E,1,153,17984,18137,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",21,0.03331876865563858,0.0659056316590562,54.59545946121216
3,aqua_rat_test_2,8,8,0,0.98,fixed,A,A,1,95,15830,15925,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",17,0.030852166689127224,0.0585235920852359,45.9952974319458
4,aqua_rat_test_3,8,8,0,0.98,fixed,B,B,1,141,14092,14233,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",11,0.031839428217577494,0.0550228310502283,34.84831714630127
5,aqua_rat_test_4,8,8,0,0.98,fixed,B,B,1,106,5430,5536,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",10,0.009703160279022066,0.0197108066971081,17.928504467010498
6,aqua_rat_test_5,8,8,0,0.98,fixed,D,D,1,164,11473,11637,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",9,0.02479772728299209,0.0477168949771689,29.7079176902771
7,aqua_rat_test_6,8,8,0,0.98,fixed,D,D,1,122,14809,14931,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",19,0.02702797020678157,0.0517503805175038,45.969640254974365
8,aqua_rat_test_7,8,8,0,0.98,fixed,C,C,1,137,7646,7783,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.01711971602679278,0.030593607305936,19.36033868789673
9,aqua_rat_test_8,8,8,0,0.98,fixed,E,E,1,128,17223,17351,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",21,0.03139840836050292,0.0636986301369862,56.393370151519775
10,aqua_rat_test_9,8,8,0,0.98,fixed,D,D,1,115,6908,7023,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.015415238280292162,0.0280060882800609,17.24205756187439
11,aqua_rat_test_10,8,8,0,0.98,fixed,B,C,0,158,30123,30281,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",25,0.06430160270287114,0.1018264840182648,81.01779818534851
12,aqua_rat_test_11,8,8,0,0.98,fixed,A,A,1,146,8474,8620,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",11,0.016927979267176763,0.0342465753424657,23.932487964630127
13,aqua_rat_test_12,8,8,0,0.98,fixed,C,C,1,118,14550,14668,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",19,0.023480805556794986,0.0501522070015221,52.94839382171631
14,aqua_rat_test_13,8,8,0,0.98,fixed,D,D,1,81,4079,4160,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",9,0.008215543288125545,0.0162861491628615,11.47342562675476
15,aqua_rat_test_14,8,8,0,0.98,fixed,C,C,1,99,5244,5343,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",10,0.009818920742519045,0.0169710806697107,16.704407215118408
16,aqua_rat_test_15,8,8,0,0.98,fixed,A,A,1,109,5649,5758,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.011738078629840096,0.0212328767123287,15.95247745513916
17,aqua_rat_test_16,8,8,0,0.98,fixed,A,A,1,143,40089,40232,"[""A"", ""A"", ""A"", ""A"", ""E"", ""A"", ""A"", ""A""]",46,0.06437788672225983,0.1093607305936072,158.05219745635986
18,aqua_rat_test_17,8,8,0,0.98,fixed,D,D,1,151,7386,7537,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.01719849495804966,0.0312024353120243,18.174675464630127
19,aqua_rat_test_18,8,8,0,0.98,fixed,D,D,1,183,6190,6373,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",5,0.013420167746126312,0.0264840182648401,16.84252643585205
20,aqua_rat_test_19,8,8,0,0.98,fixed,C,C,1,106,8564,8670,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",8,0.01822731288211993,0.0309741248097412,23.134711265563965
21,aqua_rat_test_20,8,3,0,0.98,fixed,C,E,0,122,62893,63015,"[""E"", ""E"", ""E""]",60,0.13705592928201582,0.2831050228310502,170.11010074615479
22,aqua_rat_test_21,8,8,0,0.98,fixed,A,A,1,141,31688,31829,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",36,0.05357637801826334,0.1013698630136986,113.20719003677368
23,aqua_rat_test_22,8,8,0,0.98,fixed,E,E,1,142,18571,18713,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",18,0.035363231274129756,0.0597412480974124,56.90424966812134
24,aqua_rat_test_23,8,8,0,0.98,fixed,A,A,1,144,13753,13897,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",16,0.02280623809754025,0.0573059360730593,47.37924885749817
25,aqua_rat_test_24,8,8,0,0.98,fixed,D,D,1,137,6654,6791,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.014413942282861929,0.0292998477929984,17.522011041641235
26,aqua_rat_test_25,8,8,0,0.98,fixed,D,D,1,123,6673,6796,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.015170921761772073,0.0277777777777777,16.802780628204346
27,aqua_rat_test_26,8,8,0,0.98,fixed,C,C,1,109,4794,4903,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.010534424910521303,0.0212328767123287,12.845348358154297
28,aqua_rat_test_27,8,8,0,0.98,fixed,A,A,1,136,10251,10387,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",14,0.01653201114536647,0.0408675799086758,37.20455861091614
29,aqua_rat_test_28,8,8,0,0.98,fixed,B,B,1,127,7414,7541,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",9,0.014610439609633766,0.0292237442922373,22.3370144367218
30,aqua_rat_test_29,8,8,0,0.98,fixed,A,A,1,112,5545,5657,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.011037599370437846,0.0202435312024352,16.828307390213013
31,aqua_rat_test_30,8,8,0,0.98,fixed,B,B,1,121,6050,6171,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",11,0.01051973918853067,0.0225266362252664,20.74860191345215
32,aqua_rat_test_31,8,8,0,0.98,fixed,A,A,1,141,6051,6192,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.012707242634296316,0.024124809741248,16.89371132850647
33,aqua_rat_test_32,8,1,0,0.98,fixed,B,D,0,131,75420,75551,"[""D""]",78,0.15373530464749083,0.3154490106544901,223.02065134048462
34,aqua_rat_test_33,8,8,0,0.98,fixed,B,B,1,133,5525,5658,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",8,0.010954259677529702,0.0226027397260274,16.2403085231781
35,aqua_rat_test_34,8,8,0,0.98,fixed,B,B,1,143,6978,7121,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",8,0.015577568843094136,0.0274733637747336,18.28995966911316
36,aqua_rat_test_35,8,8,0,0.98,fixed,A,A,1,118,5667,5785,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",7,0.012256079084586056,0.0219178082191781,15.299908876419067
37,aqua_rat_test_36,8,8,0,0.98,fixed,D,D,1,144,8747,8891,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",12,0.017853343444611133,0.034779299847793,24.97407817840576
38,aqua_rat_test_37,8,8,0,0.98,fixed,A,A,1,127,9941,10068,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.02161764812687856,0.0407914764079148,26.176105260849
39,aqua_rat_test_38,8,8,0,0.98,fixed,D,D,1,132,6646,6778,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",6,0.01529278092207554,0.0284627092846271,16.45276713371277
40,aqua_rat_test_39,8,8,0,0.98,fixed,A,A,1,126,15376,15502,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",11,0.03423995764674738,0.0581430745814307,39.56614303588867
41,aqua_rat_test_40,8,8,0,0.98,fixed,A,A,1,130,20238,20368,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",22,0.03600725135952588,0.0704718417047184,65.60860633850098
42,aqua_rat_test_41,8,8,0,0.98,fixed,A,A,1,145,22816,22961,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",28,0.03775308763695081,0.0678843226788432,84.7307014465332
43,aqua_rat_test_42,8,8,0,0.98,fixed,C,C,1,89,5192,5281,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.011928146807960673,0.0211567732115677,13.027313232421875
44,aqua_rat_test_43,8,8,0,0.98,fixed,A,A,1,127,9942,10069,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",8,0.02302013901424236,0.0420091324200913,24.407708644866943
45,aqua_rat_test_44,8,8,0,0.98,fixed,B,B,1,129,6770,6899,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",8,0.014255701930871157,0.026255707762557,18.39340853691101
46,aqua_rat_test_45,8,8,0,0.98,fixed,B,B,1,123,9177,9300,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",13,0.01493601375793151,0.0344748858447488,33.005531311035156
47,aqua_rat_test_46,8,8,0,0.98,fixed,E,E,1,132,5037,5169,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",6,0.01130982011713585,0.0207762557077625,13.057720422744751
48,aqua_rat_test_47,8,8,0,0.98,fixed,A,A,1,148,7691,7839,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.014037592542288051,0.0287671232876712,24.408189296722412
49,aqua_rat_test_48,8,8,0,0.98,fixed,D,D,1,109,32178,32287,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",37,0.060442386597711846,0.0973363774733637,110.50926542282104
50,aqua_rat_test_49,8,8,0,0.98,fixed,B,B,1,115,7984,8099,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",9,0.017622539814320593,0.0302891933028919,20.51454210281372
51,aqua_rat_test_50,8,8,0,0.98,fixed,C,C,1,121,9263,9384,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.020157173406233003,0.0340943683409437,24.48003101348877
52,aqua_rat_test_51,8,8,0,0.98,fixed,C,C,1,127,7001,7128,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",9,0.015254107933051918,0.0298325722983257,18.717550039291382
53,aqua_rat_test_52,8,8,0,0.98,fixed,B,B,1,103,7011,7114,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",7,0.015257238690399678,0.0291476407914763,18.191758394241333
54,aqua_rat_test_53,8,8,0,0.98,fixed,A,A,1,102,5570,5672,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",5,0.01178515814957011,0.0220700152207001,15.276829957962036
55,aqua_rat_test_54,8,8,0,0.98,fixed,D,D,1,144,67926,68070,"[""C"", ""B"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B""]",75,0.12645528668426173,0.2143835616438356,241.08758544921875
56,aqua_rat_test_55,8,8,0,0.98,fixed,A,A,1,117,5371,5488,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",11,0.010913776977051563,0.0219178082191781,15.364826679229736
57,aqua_rat_test_56,8,8,0,0.98,fixed,A,A,1,128,23566,23694,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",26,0.046370057034069934,0.0777777777777777,69.98758935928345
58,aqua_rat_test_57,8,8,0,0.98,fixed,D,D,1,119,7048,7167,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",11,0.015205984404192513,0.0299086757990867,18.658287048339844
59,aqua_rat_test_58,8,8,0,0.98,fixed,D,D,1,130,18461,18591,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",19,0.029588886115556545,0.0728310502283104,65.45565986633301
60,aqua_rat_test_59,8,8,0,0.98,fixed,C,C,1,107,92916,93023,"[""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C""]",89,0.19199770434584726,0.3686453576864535,278.91973853111267
61,aqua_rat_test_60,8,8,0,0.98,fixed,E,E,1,138,11712,11850,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",14,0.02212976071523254,0.0372146118721461,36.27716016769409
62,aqua_rat_test_61,8,8,0,0.98,fixed,D,D,1,117,12950,13067,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",13,0.02572145977001717,0.0395738203957382,38.076542139053345
63,aqua_rat_test_62,8,8,0,0.98,fixed,B,B,1,131,6494,6625,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",10,0.013924533283633047,0.0280821917808219,17.16390872001648
64,aqua_rat_test_63,8,8,0,0.98,fixed,C,C,1,119,8447,8566,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",10,0.0169765565456833,0.034703196347032,23.939944744110107
65,aqua_rat_test_64,8,8,0,0.98,fixed,D,B,0,162,7296,7458,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",5,0.01605385939256469,0.0297564687975646,18.959522008895874
66,aqua_rat_test_65,8,8,0,0.98,fixed,C,C,1,112,9209,9321,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",6,0.02034991672444152,0.0356925418569253,23.764593601226807
67,aqua_rat_test_66,8,8,0,0.98,fixed,C,C,1,150,11754,11904,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",15,0.022454165711115442,0.0464231354642313,35.99887800216675
