iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,index_0,8,2,2,True,33,33,1,194,11927,12121,,,0.022975439560719693,0.0451172809956916,125.75627541542053,"[""33"", ""33""]"
2,index_1,8,2,2,True,23,23,1,226,40269,40495,,,0.06541641688374895,0.1234442316898037,696.8807322978973,"[""23""]"
3,index_2,8,2,2,True,116,116,1,172,9639,9811,,,0.01757799764467732,0.0339277166108186,106.4696638584137,"[""116"", ""116""]"
4,index_3,8,2,2,True,809,809,1,145,14266,14411,,,0.026122200818900747,0.0513403542364767,155.79053449630737,"[""809"", ""809""]"
5,index_4,8,2,8,True,197,541,0,141,210639,210780,,,0.09364525781980299,0.1958472953566299,2472.2753033638,"[""541"", ""505"", ""273"", ""4427"", ""273"", ""254"", ""541"", ""541""]"
6,index_5,8,2,2,True,385,24,0,128,36994,37122,,,0.06770697745487594,0.1345141215892771,410.63726258277893,"[""24"", ""24""]"
7,index_6,8,2,8,False,371,411,0,123,210251,210374,,,0.09349271831565806,0.1906414552417424,2470.5800790786743,"[""359"", ""411"", ""373"", ""617"", ""513"", ""503"", ""419"", ""479""]"
8,index_7,8,2,2,True,601,601,1,119,39666,39785,,,0.07319533875851364,0.1456438487314504,438.66779470443726,"[""601"", ""601""]"
9,index_8,8,2,2,True,25,25,1,97,18494,18591,,,0.0330959904900556,0.0651627573001436,206.79692578315735,"[""25"", ""25""]"
10,index_9,8,2,2,True,55,55,1,108,11055,11163,,,0.01811800310761054,0.0317735758736237,140.2359652519226,"[""55"", ""55""]"
11,index_10,8,2,2,True,540,540,1,96,11929,12025,,,0.02264248227365203,0.0447582575394925,125.47604966163635,"[""540"", ""540""]"
12,index_11,8,2,2,True,45,45,1,186,19906,20092,,,0.034222907669709146,0.0652225945428435,237.01145315170288,"[""45"", ""45""]"
13,index_12,8,2,2,True,204,204,1,181,5984,6165,,,0.011814036872338767,0.0228578267113451,62.52626633644104,"[""204"", ""204""]"
14,index_13,8,2,2,True,699,699,1,118,25771,25889,,,0.044725426448703115,0.0871230253709909,301.11752462387085,"[""699"", ""699""]"
15,index_14,8,2,2,True,294,294,1,101,15185,15286,,,0.028215916205287624,0.055828147438966,162.57602953910828,"[""294"", ""294""]"
16,index_15,8,2,2,True,110,134,0,112,24474,24586,,,0.04285213556453286,0.083712302537099,283.20740962028503,"[""134"", ""134""]"
17,index_16,8,2,2,True,721,721,1,145,21049,21194,,,0.035934937245078485,0.0686931546194351,251.6271255016327,"[""721"", ""721""]"
18,index_17,8,2,2,True,315,15,0,100,53110,53210,,,0.09098874413123574,0.1771182383915749,645.228565454483,"[""15"", ""15""]"
19,index_18,8,2,4,True,468,468,1,100,30777,30877,,,0.02787843881929947,0.0552297750119674,340.08505964279175,"[""429"", ""468"", ""468"", ""468""]"
20,index_19,8,2,4,True,902,1022,0,147,75195,75342,,,0.06495632744683699,0.127094303494495,903.4165179729462,"[""2"", ""1024"", ""1022"", ""1022""]"
21,index_20,8,2,2,True,211,211,1,170,54789,54959,,,0.0996684857996973,0.1980014360938248,629.392796754837,"[""211"", ""211""]"
22,index_21,8,2,2,True,80,80,1,109,43991,44100,,,0.07322567462613365,0.1386428913355673,553.2641863822937,"[""80"", ""80""]"
23,index_22,8,2,2,True,480,480,1,131,16636,16767,,,0.029252046416628322,0.0569052178075634,190.74178528785706,"[""480"", ""480""]"
24,index_23,8,2,2,True,236,236,1,118,17765,17883,,,0.030508828175175664,0.0585806606031593,209.6626000404358,"[""236"", ""236""]"
25,index_24,8,2,2,True,73,73,1,159,10032,10191,,,0.01698169220875169,0.0307563427477262,122.91987895965576,"[""73"", ""73""]"
26,index_25,8,2,4,True,113,113,1,402,57281,57683,,,0.04978898531833777,0.095380564863571,692.6443448066711,"[""113"", ""3268"", ""113"", ""113""]"
27,index_26,8,2,8,False,127,127,1,208,195101,195309,,,0.08190356419904095,0.2084131163235998,2538.1374859809875,"[""47"", ""317"", ""31"", ""127"", ""127"", ""55"", ""127"", ""31""]"
28,index_27,8,2,2,True,104,104,1,199,19486,19685,,,0.03146857439763203,0.0525969363331737,261.1422486305237,"[""104"", ""104""]"
29,index_28,8,2,4,True,104,104,1,124,67218,67342,,,0.05961965123735191,0.1150071804691239,935.0080757141113,"[""107"", ""104"", ""104"", ""104""]"
30,index_29,8,2,2,True,321,321,1,109,16981,17090,,,0.030102818145816147,0.0589396840593585,192.91703987121582,"[""321"", ""321""]"
