token,frequency,mean_entropy,std_dev_entropy
 presumably,2,3.1865859243408208,0.09310789089205596
 Where,1,3.1593806066220176,0.0
 Cle,1,3.131773514748663,0.0
 conf,1,3.126271371736331,0.0
Real,1,3.1225096420933562,0.0
 fat,1,3.112390712218011,0.0
 incorrectly,2,3.0835454321257387,0.07704724170878752
 independent,1,3.08165472683011,0.0
 parent,1,3.0802024058165065,0.0
 splice,1,3.0747089433325265,0.0
 prism,1,3.069344446260301,0.0
           ,1,3.067165590577938,0.0
 substances,1,3.064667680193803,0.0
 Some,1,3.0559485157831716,0.0
 Without,1,3.048890429169367,0.0
Ster,1,3.0484392147322277,0.0
without,1,3.0268936979106558,0.0
 integrating,1,3.0007412862931084,0.0
 torn,1,2.9981636532419325,0.0
These,1,2.9883904001885293,0.0
 partially,2,2.985500680161916,0.0030513783977594855
Paths,1,2.978226587712911,0.0
 Ring,1,2.9681659708631423,0.0
 override,1,2.9649178146471877,0.0
 instructions,1,2.963479988267991,0.0
Multip,1,2.952102040802501,0.0
 triplet,1,2.9496945943695887,0.0
 environment,1,2.9450433213454206,0.0
perhaps,1,2.943821049468811,0.0
 claim,1,2.9424784588437953,0.0
 multiplying,3,2.9365495052426174,0.11413734768881627
 traced,1,2.93389062338511,0.0
 trust,1,2.927533096982416,0.0
 clearly,1,2.9226762321481323,0.0
 answers,1,2.9218703451782186,0.0
 Usually,1,2.9128347462774347,0.0
     ,1,2.905111058946508,0.0
 misplaced,1,2.901541546484596,0.0
 Pl,1,2.900660673088991,0.0
 correction,1,2.8988902985524407,0.0
 mistakenly,2,2.893322997556413,0.053458649294242155
 Baker,1,2.8895260677521755,0.0
 intervening,1,2.888064231661658,0.0
 According,1,2.8874438474012964,0.0
 needing,1,2.8830214274303585,0.0
 tet,1,2.8807985363931925,0.0
 par,2,2.8766342915174024,0.14270558311246262
 push,1,2.871869031918064,0.0
 bonded,1,2.8669711074496487,0.0
 proportion,1,2.8669345025242325,0.0
*n,1,2.862160704934028,0.0
 drawn,1,2.854443682612526,0.0
 metaphor,1,2.8513351753452563,0.0
 React,2,2.850102442938783,0.12498125652475855
 recognize,2,2.8474709905903675,0.2168808005924283
 realize,1,2.8462614211766413,0.0
Possible,1,2.8366858546348332,0.0
*d,1,2.8349446460124943,0.0
 closely,1,2.8341884605296848,0.0
 acceptable,1,2.8310265091999427,0.0
 represent,2,2.8263768834124328,0.13868276497444443
 Ple,1,2.8249535386939932,0.0
 There,2,2.82027454619821,0.21395868925341865
 raised,1,2.8202383657327,0.0
 sorry,2,2.8202295459014595,0.11736105748126513
 led,1,2.8197496566669806,0.0
 On,1,2.8193967615421496,0.0
 once,1,2.8153816475742306,0.0
 dehydration,1,2.8132164692324118,0.0
 Instead,1,2.8087729472562333,0.0
 derive,1,2.7989305000966995,0.0
Moment,1,2.7958752919762335,0.0
"...""<newline><newline>",1,2.7944443798893794,0.0
 insert,1,2.793753693781177,0.0
 cent,2,2.7933641844664185,0.0638995746534532
 Well,3,2.792938610644569,0.27228386179949243
 conversation,1,2.7846941918073114,0.0
))<newline><newline>,5,2.7845742278660515,0.07656723622709304
etc,1,2.7812134040753227,0.0
 App,1,2.780966400027889,0.0
 interpretation,2,2.7785139691512306,0.06140541881832973
 Previously,1,2.778024685814756,0.0
Taking,2,2.7726693496036723,0.3467000338760289
 warmer,1,2.7714277944586607,0.0
location,1,2.7698201585869056,0.0
background,1,2.7685225819876695,0.0
 phosphate,1,2.765798101599966,0.0
 suffix,2,2.7633412310918732,0.09033685544400494
 calculus,1,2.763202503926567,0.0
 concerned,1,2.7619058492344615,0.0
 catal,1,2.760700333826076,0.0
 normally,1,2.75817548639062,0.0
 redo,4,2.757772760429382,0.4237391476596653
duplicate,1,2.7572149072726067,0.0
 occurred,1,2.754559404069602,0.0
 presentation,1,2.7476662324979935,0.0
 properties,2,2.7472918513333675,0.330162851916866
 inserting,1,2.744677342121255,0.0
 Based,1,2.7427810701267705,0.0
Take,3,2.7353774829447803,0.11480367342735416
