token,frequency,mean_entropy,std_dev_entropy
alyze,1,2.358559748167503e-08,0.0
�,1,1.5487769004323106e-07,0.0
creasing,1,1.6134520884748313e-07,0.0
warz,1,1.7086588136719742e-07,0.0
�,1,1.7087813200745223e-07,0.0
airs,5,2.023085557896542e-07,3.068493670696735e-07
vable,1,2.5923918801468083e-07,0.0
putation,1,3.1458734062930334e-07,0.0
�,1,3.264323044425604e-07,0.0
etermine,1,3.835614508254335e-07,0.0
eres,1,4.472461571316886e-07,0.0
�,1,4.4816496605341736e-07,0.0
iam,1,4.5742545259978795e-07,0.0
�,2,6.46743067995294e-07,3.8778151255969446e-07
�,55,1.1084585398961972e-06,4.611297121193961e-06
ies,8,1.1654835989688754e-06,2.500505607026461e-06
ences,1,1.3191294053762262e-06,0.0
onic,1,1.5253311237400958e-06,0.0
ly,2,2.2908948871448466e-06,8.965683238418474e-07
{n,3,2.4870879385661136e-06,1.037565629600086e-06
 respect,1,2.609262399714115e-06,0.0
eler,14,3.119433072384422e-06,4.597834250965171e-06
loor,8,3.153788891811682e-06,4.0161454658823665e-06
Ex,1,3.2023876725168546e-06,0.0
 moved,1,3.7892868236776455e-06,0.0
 air,1,3.932056152271522e-06,0.0
aisy,1,4.061496379229966e-06,0.0
pm,2,4.841405406532089e-06,1.5012232835210125e-06
�,10,4.882481722901924e-06,8.105990875933394e-06
ots,4,4.960515064607769e-06,5.955583521577247e-06
�,2,5.10666030343818e-06,1.0516614878264536e-06
angled,4,5.300871059308157e-06,3.7709031568847646e-06
�,2,5.463206962138256e-06,5.140003158470331e-06
 undefined,1,5.912082369862578e-06,0.0
�,4,6.7434057559301365e-06,6.1442062439087455e-06
lic,8,6.873315692832905e-06,1.2600204798688107e-05
ausible,1,7.076140828786897e-06,0.0
_b,1,7.286570512054549e-06,0.0
 Pair,2,7.32732044167556e-06,3.0371859824068237e-06
om,4,7.62495215583745e-06,6.234857308369813e-06
 resistance,1,8.069168715354167e-06,0.0
^\,4,9.035421921803008e-06,8.290946232238565e-06
integer,4,9.63544724495128e-06,1.1066958116020872e-05
�,1,1.0619548546048421e-05,0.0
clusion,15,1.0810867193958293e-05,1.1052369035046286e-05
_c,1,1.0994946226973421e-05,0.0
 rolled,1,1.125847246417097e-05,0.0
]{,8,1.1858822859174513e-05,1.0370957821041769e-05
cm,1,1.1909846204727834e-05,0.0
ving,16,1.1964777743708443e-05,2.8317342887590466e-05
ft,8,1.2036650341733335e-05,1.6489185609133915e-05
atically,3,1.3608112903446955e-05,1.8097161246821386e-05
est,2,1.402901570433529e-05,1.0725651502568804e-05
inator,3,1.4899772618888234e-05,2.69506532299266e-06
ids,3,1.500443301114321e-05,1.6149999075994475e-05
.g,7,1.510549394760776e-05,2.9178438226598344e-05
ana,1,1.809167522127845e-05,0.0
value,1,1.856033613025123e-05,0.0
peed,1,1.8897261382780988e-05,0.0
增,1,1.9199508029183866e-05,0.0
�,217,1.968615924323651e-05,0.00012191996952691158
-sided,1,2.0785730906367658e-05,0.0
use,3,2.4061277061886795e-05,1.78197189666359e-05
ic,35,2.4087951039103164e-05,0.0001189277704173805
�,7,2.4112677393930542e-05,2.8976109343337975e-05
oring,2,2.4422641640804834e-05,1.8671703672270305e-05
ened,1,2.588203478216103e-05,0.0
antine,1,2.6740209378287404e-05,0.0
parable,1,2.7189672325823812e-05,0.0
ner,1,2.8028978529643795e-05,0.0
 versa,1,2.8532209550017692e-05,0.0
ators,4,2.8572277528939063e-05,2.5383254305827682e-05
id,5,2.9640869897588425e-05,2.160147655821418e-05
thag,2,3.174364114203438e-05,1.5718507073437e-05
circ,4,3.4862576518922526e-05,2.183244132655567e-05
orem,7,3.601891366077076e-05,6.107239959765855e-05
worth,2,3.6612930856292723e-05,3.397994625291052e-05
enerate,6,3.726875088525131e-05,4.8720980301790936e-05
�,4,3.82422163893774e-05,2.8982989448030698e-05
oph,1,3.829509270881695e-05,0.0
�,17,3.904897726323774e-05,5.8857865948831524e-05
rema,2,4.0348439018025954e-05,3.0174963743344826e-05
it,2,4.067058008835792e-05,3.39869024084927e-05
uch,1,4.447925512548187e-05,0.0
�,22,4.698060698959388e-05,0.00010148975737264667
slash,1,4.873666464057445e-05,0.0
�,7,4.908268882208268e-05,8.359023081526782e-05
iny,6,5.0525013879744354e-05,6.45697905277904e-05
([,3,5.0911854910434106e-05,2.7136543900419585e-05
lapping,9,5.160204811221644e-05,0.00013290292466215688
arrow,3,5.182334870417585e-05,9.014998384925185e-06
points,1,5.19464549448141e-05,0.0
 coinc,1,5.298922494365698e-05,0.0
ient,1,5.5267974544239806e-05,0.0
 Side,1,5.556146603313715e-05,0.0
eline,1,5.849388886272114e-05,0.0
ce,1,5.8880089804304305e-05,0.0
BR,1,6.100612936465105e-05,0.0
line,1,6.115961858738786e-05,0.0
据,1,6.130996950290864e-05,0.0
