iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,32,1,0,0.75,A,C,0,262,22369,22631,"[""C""]",16,0.03014643554710975,0.0896659941717104,49.561827182769775
11,index_10,32,2,0,0.75,A,A,1,399,26740,27139,"[""A"", ""A""]",15,0.04104929700151627,0.1375625793917656,53.10304617881775
12,index_11,32,3,0,0.75,D,D,1,174,36921,37095,"[""D"", ""D"", ""D""]",27,0.04276957917820919,0.0972876036763057,94.53810286521912
13,index_12,32,1,0,0.75,A,A,1,340,24544,24884,"[""A""]",17,0.027235024780218393,0.1204513188373309,129.71754145622253
15,index_14,32,1,0,0.75,C,C,1,302,18856,19158,"[""C""]",11,0.024956051524144564,0.1062542030934767,50.70417547225952
17,index_16,32,2,0,0.75,C,C,1,158,22436,22594,"[""C"", ""C""]",16,0.02849184659483844,0.0941492938802959,45.59986472129822
18,index_17,32,1,0,0.75,B,A,0,245,31603,31848,"[""A""]",20,0.03219667137145546,0.1076739146678622,183.89203119277954
19,index_18,32,1,0,0.75,A,B,0,543,30033,30576,"[""B""]",16,0.03432020883276641,0.1527310767391466,156.4547519683838
26,index_25,32,1,0,0.75,D,A,0,372,26346,26718,"[""A""]",13,0.029493215335203198,0.1247851752222969,162.9420075416565
28,index_27,32,1,0,0.75,A,C,0,327,35276,35603,"[""C""]",19,0.035411427859573456,0.1420458791003511,194.214852809906
32,index_31,32,1,0,0.75,C,C,1,156,26328,26484,"[""C""]",14,0.024249349972210007,0.0941492938802959,119.9004533290863
34,index_33,32,1,0,0.75,A,C,0,472,25770,26242,"[""C""]",11,0.0295077362897858,0.1372636927445266,127.90718936920166
39,index_38,32,3,0,0.75,B,B,1,243,20373,20616,"[""B"", ""B"", ""B""]",15,0.03425704297086055,0.0836882612269297,41.36692667007446
41,index_40,32,1,0,0.75,A,A,1,147,17824,17971,"[""A""]",10,0.01756390439343847,0.0741986101770902,65.041752576828
46,index_45,32,1,0,0.75,C,A,0,98,24481,24579,"[""A""]",13,0.02605172081491683,0.0717327953373683,171.47395658493042
53,index_52,32,1,0,0.75,D,D,1,231,34761,34992,"[""D""]",19,0.034822851119271844,0.1190316072629454,220.87511372566223
57,index_56,32,1,0,0.75,D,D,1,191,31428,31619,"[""D""]",14,0.033630500857663274,0.1019203467085108,234.18021655082703
70,index_69,32,1,0,0.75,D,D,1,165,31561,31726,"[""D""]",18,0.0291288607473062,0.1052080998281401,143.33563590049744
73,index_72,32,7,0,0.75,C,C,1,187,28389,28576,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",15,0.04409622604667773,0.1019203467085108,47.50986051559448
75,index_74,32,3,0,0.75,B,B,1,639,38955,39594,"[""B"", ""C"", ""B""]",22,0.04383818688639394,0.1800792049615183,191.15185594558716
76,index_75,32,1,0,0.75,D,C,0,221,32883,33104,"[""C""]",17,0.0305529414335553,0.1291190316072629,102.48695850372314
79,index_78,32,1,0,0.75,A,B,0,387,34116,34503,"[""B""]",26,0.03659094387967921,0.1274004333856384,185.282160282135
83,index_82,32,3,0,0.75,A,A,1,193,43894,44087,"[""A"", ""A"", ""A""]",35,0.047724683509940954,0.1205260404991407,123.33486127853394
84,index_83,32,13,0,0.75,D,D,1,128,28869,28997,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",22,0.05035542250506928,0.112680266009116,31.90889620780945
86,index_85,32,1,0,0.75,A,D,0,335,23137,23472,"[""D""]",15,0.026168099331573793,0.1274004333856384,97.76542711257935
89,index_88,32,1,0,0.75,B,A,0,257,26539,26796,"[""A""]",14,0.027421820200201133,0.1171635657177015,138.2299726009369
94,index_93,32,1,0,0.75,D,C,0,198,33734,33932,"[""C""]",21,0.03086588972525104,0.1109616677874916,145.05058908462524
102,index_101,32,1,0,0.75,D,D,1,439,35265,35704,"[""D""]",28,0.04885838843205231,0.1444369722782634,79.01726150512695
107,index_106,32,26,0,0.75,A,B,0,280,31153,31433,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",20,0.06992117718897822,0.1488455503250392,32.230313777923584
111,index_110,32,1,0,0.75,D,C,0,344,27825,28169,"[""C""]",16,0.0296619221737307,0.1267279384293507,140.37648820877075
112,index_111,32,2,0,0.75,A,A,1,248,31333,31581,"[""A"", ""A""]",30,0.0370344669706451,0.1093177912276769,100.68440747261047
116,index_115,32,1,0,0.75,B,A,0,268,28256,28524,"[""A""]",15,0.03116864592218468,0.1177613390121796,193.2460618019104
117,index_116,32,1,0,0.75,D,D,1,226,30477,30703,"[""D""]",13,0.0322627432129397,0.1123813793618769,210.22379612922668
120,index_119,32,1,0,0.75,A,A,1,122,24981,25103,"[""A""]",22,0.026379043177324518,0.0836882612269297,62.717830419540405
133,index_132,32,1,0,0.75,A,A,1,250,29176,29426,"[""A""]",14,0.028145718782592845,0.1107375028020623,136.36059260368347
134,index_133,32,1,0,0.75,A,A,1,141,32743,32884,"[""A""]",23,0.02860809798435887,0.1009489651049839,106.50016522407532
141,index_140,32,1,0,0.75,D,C,0,100,23419,23519,"[""C""]",16,0.021436931972133273,0.071807516999178,98.8601884841919
146,index_145,32,1,0,0.75,C,A,0,307,21004,21311,"[""A""]",7,0.022663721630400098,0.1195546588956137,84.24213337898254
150,index_149,32,1,0,0.75,B,D,0,253,35099,35352,"[""D""]",23,0.03389091526433172,0.112680266009116,173.90611910820007
152,index_151,32,6,0,0.75,B,B,1,195,38387,38582,"[""D"", ""B"", ""B"", ""B"", ""B"", ""B""]",24,0.04503519947986716,0.1485466636778002,66.09373354911804
155,index_154,32,2,0,0.75,B,B,1,430,24934,25364,"[""B"", ""B""]",18,0.03995952767995441,0.1274004333856384,54.73383021354675
161,index_160,32,1,0,0.75,C,C,1,299,26592,26891,"[""C""]",13,0.026812280360756603,0.1287454232982141,111.41209030151367
168,index_167,32,8,0,0.75,A,B,0,134,39248,39382,"[""B"", ""B"", ""B"", ""B"", ""C"", ""B"", ""B"", ""B""]",21,0.056973089144282806,0.147351117088844,49.708946228027344
172,index_171,32,3,0,0.75,D,D,1,244,22466,22710,"[""D"", ""D"", ""D""]",15,0.04108441712190325,0.1054322648135694,36.61633014678955
178,index_177,32,1,0,0.75,C,C,1,237,29065,29302,"[""C""]",18,0.039459307243501336,0.117014122394082,52.11946630477905
179,index_178,32,1,0,0.75,B,B,1,305,40916,41221,"[""B""]",27,0.04621268209819179,0.13001569154898,98.1667263507843
184,index_183,32,1,0,0.75,C,D,0,439,29951,30390,"[""D""]",18,0.033828164571025415,0.1307629081670775,192.50888967514038
189,index_188,32,2,0,0.75,B,B,1,87,22114,22201,"[""A"", ""B""]",13,0.04509634619029912,0.0857057460957931,21.242368936538696
196,index_195,32,1,0,0.75,D,D,1,224,25093,25317,"[""D""]",15,0.025461860353920077,0.1075991930060524,82.3740062713623
197,index_196,32,1,0,0.75,D,C,0,270,36118,36388,"[""C""]",20,0.03667649166372683,0.114847194201599,229.81979894638062
