token,frequency,mean_entropy,std_dev_entropy
 word,1,3.1755389306574315,0.0
 indices,1,3.1352520638322376,0.0
 framework,1,3.099953070144933,0.0
 redefine,1,3.0861364313112842,0.0
 presence,1,3.081357467884636,0.0
thus,1,3.079757727967261,0.0
 contributing,1,3.0720893519368606,0.0
 redo,1,3.069409106010819,0.0
?)<newline><newline>,1,3.066855558738939,0.0
 treat,1,3.0653655418163264,0.0
must,1,3.0624873449576384,0.0
 explore,1,3.051227445143124,0.0
 comm,1,3.0360664023370885,0.0
 Imagine,1,3.0248891828736677,0.0
 jot,1,2.9984366654534496,0.0
Combined,1,2.9936583152544474,0.0
 captured,1,2.98730220207825,0.0
Fix,1,2.983943753536553,0.0
 Moreover,2,2.9748916939375745,0.0021763505108134407
of,1,2.9680976514287263,0.0
Standard,1,2.9608649217174037,0.0
 discussed,1,2.960287207335377,0.0
 accounting,1,2.958058901826449,0.0
 contributed,1,2.9434265218316074,0.0
Interesting,1,2.94294478930379,0.0
 alternatively,1,2.9402881928885907,0.0
 checking,2,2.9347777438917335,0.07341719828084137
consistent,1,2.9310129567192553,0.0
Poss,1,2.930206316775679,0.0
 plot,1,2.9223334210226164,0.0
 ???,1,2.91985524306607,0.0
It,4,2.912414878284271,0.21750790932473132
 sorry,2,2.908865319897801,0.19789606385710679
 fill,1,2.8979717670427085,0.0
 referencing,1,2.8898667793642536,0.0
 return,2,2.8876487677877805,0.024152259053315417
 stands,1,2.8594584827882628,0.0
 Direction,1,2.8594291810251793,0.0
 thinks,1,2.8421553251664946,0.0
Is,1,2.838186655108119,0.0
 What,4,2.8302775779865907,0.28954178084714366
 Like,2,2.827794103959617,0.04016392081131026
 yields,1,2.827502163496389,0.0
 enforced,1,2.826565052910225,0.0
 consideration,1,2.8174830733132694,0.0
 immediately,1,2.8155606441734133,0.0
Back,2,2.8126511191657935,0.18501373503409146
 recap,3,2.8079961739380397,0.21985373979658288
rectangle,1,2.8045483130437714,0.0
 neglect,1,2.799817592545162,0.0
 provided,1,2.796604255216698,0.0
 Indeed,1,2.7915958235697707,0.0
 ?,2,2.791437929900083,0.03381175631943556
 constrain,1,2.7906706315655705,0.0
 referring,2,2.7903655051463856,0.22476254482660685
 continuous,3,2.7892835135333143,0.18441650891144684
Specific,2,2.7886895211877203,0.2561146212892338
 Yep,1,2.7861546490442715,0.0
 correspondence,1,2.77174585018748,0.0
 clearly,4,2.7713667251843273,0.1875286046969377
 translated,1,2.767926488741282,0.0
Three,3,2.7629465364157837,0.24943555064257503
 varied,1,2.7606345180648826,0.0
 cause,1,2.7578927374723725,0.0
 exiting,1,2.7570481337106014,0.0
Division,1,2.753397229459636,0.0
last,1,2.7495637525325183,0.0
Internal,1,2.747403249675869,0.0
 transform,1,2.7468557778290608,0.0
 dual,1,2.7424732188618184,0.0
 situated,1,2.734917357145729,0.0
 returning,2,2.734191450692806,0.39789754874075567
 wonder,1,2.7339001038477955,0.0
What,1,2.7326837642127164,0.0
 conflicts,1,2.730001799338344,0.0
 Oops,2,2.7252921849311997,0.013550289690123618
Because,4,2.7145985095673684,0.24452812113979833
Con,1,2.711319926948766,0.0
 literature,1,2.703898487136161,0.0
 Actually,3,2.70383201170945,0.2979582133024462
 notice,9,2.7007823348835136,0.3571678528019183
 ded,1,2.699723185865227,0.0
 computation,1,2.6977061096523207,0.0
 Multip,1,2.6889470595035783,0.0
 rights,1,2.6856421748006114,0.0
 essentially,3,2.683743237610002,0.375765499255857
 seeing,1,2.6836780924575083,0.0
 proceeding,2,2.682457342601531,0.22254568244523032
lob,1,2.681912341053458,0.0
forming,1,2.6805054329583893,0.0
By,1,2.678852479535127,0.0
ups,1,2.6765704457425272,0.0
 isolate,2,2.674009230027472,0.09245692319164434
 Are,3,2.6678701354600505,0.11170181113261113
 Earlier,6,2.660283547667919,0.1841235186802713
 compatible,1,2.659554271639221,0.0
 Did,3,2.653028852435568,0.10386410450559744
Indeed,4,2.6421423578021805,0.06298731725229242
 hazard,1,2.638917007385523,0.0
 extremely,1,2.6324503937205774,0.0
