iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,1,0,0.8,fixed,33,33,1,194,11732,11926,"[""33""]",15,0.013436421668501147,0.0252892273705017,86.531090259552
2,index_1,8,1,0,0.8,fixed,23,23,1,226,24940,25166,"[""23""]",15,0.03439082000818589,0.0657519911633044,465.330130815506
3,index_2,8,1,0,0.8,fixed,116,116,1,172,11915,12087,"[""116""]",15,0.013565500607701779,0.0265100866228708,82.26063871383667
4,index_3,8,1,0,0.8,fixed,809,809,1,145,11290,11435,"[""809""]",12,0.014011942013596032,0.0248822742863786,133.1520972251892
5,index_4,8,1,0,0.8,fixed,197,65,0,141,30296,30437,"[""65""]",9,0.04826652387230015,0.0954595663042846,717.3643462657928
6,index_5,8,1,0,0.8,fixed,385,24,0,128,29876,30004,"[""24""]",14,0.044076970874336395,0.0865065984535783,642.6926190853119
7,index_6,8,1,0,0.8,fixed,371,503,0,123,28614,28737,"[""503""]",9,0.04539744858541678,0.0898203592814371,669.9785687923431
8,index_7,8,1,0,0.8,fixed,601,601,1,119,28141,28260,"[""601""]",25,0.0363897414482185,0.0688913435265391,493.92027521133423
9,index_8,8,1,0,0.8,fixed,25,25,1,97,12260,12357,"[""25""]",14,0.014462951812941514,0.02563804429975,138.50849175453186
10,index_9,8,1,0,0.8,fixed,55,55,1,108,11638,11746,"[""55""]",15,0.012541301741028202,0.02563804429975,97.0880663394928
11,index_10,8,1,0,0.8,fixed,540,540,1,96,17041,17137,"[""540""]",27,0.019736843073999404,0.0394744491599325,88.69425797462463
12,index_11,8,1,0,0.8,fixed,45,45,1,186,15945,16131,"[""45""]",21,0.01734019361951728,0.031160979012848,130.6801359653473
13,index_12,8,1,0,0.8,fixed,204,204,1,181,9343,9524,"[""204""]",19,0.013024633635477062,0.0216266496133945,57.073214292526245
14,index_13,8,1,0,0.8,fixed,699,699,1,118,28106,28224,"[""699""]",29,0.031963091965921,0.0562176617638509,387.2024438381195
15,index_14,8,1,0,0.8,fixed,294,294,1,101,11646,11747,"[""294""]",13,0.013354241722057191,0.0227893727108888,122.28962850570679
16,index_15,8,1,0,0.8,fixed,110,110,1,112,20410,20522,"[""110""]",19,0.02535316989986683,0.0470902854485204,308.0135085582733
17,index_16,8,1,0,0.8,fixed,721,721,1,145,12930,13075,"[""721""]",15,0.015206738033685854,0.0258705889192488,138.92602944374084
18,index_17,8,1,0,0.8,fixed,315,9,0,100,35387,35487,"[""9""]",10,0.056105248815475565,0.1112726004302075,854.4825880527496
19,index_18,8,1,0,0.8,fixed,468,468,1,100,19703,19803,"[""468""]",11,0.028470163020581717,0.0555200279053543,378.5994453430176
20,index_19,8,1,0,0.8,fixed,902,1022,0,147,26025,26172,"[""1022""]",9,0.04040072925620479,0.0795302598686122,582.5765767097473
21,index_20,8,1,0,0.8,fixed,211,211,1,170,35531,35701,"[""211""]",15,0.05212268529810857,0.102145224114877,775.9326219558716
22,index_21,8,1,0,0.8,fixed,80,80,1,109,16851,16960,"[""80""]",9,0.0240605070691578,0.0466833323643973,303.7592821121216
23,index_22,8,1,0,0.8,fixed,480,480,1,131,17267,17398,"[""480""]",15,0.02246608762745455,0.0421487122841695,265.7740435600281
24,index_23,8,1,0,0.8,fixed,236,236,1,118,11422,11540,"[""236""]",11,0.014057402061742177,0.0253473635253764,135.6054573059082
25,index_24,8,1,0,0.8,fixed,73,73,1,159,10498,10657,"[""73""]",11,0.012657507108795563,0.0215685134585198,114.82372879981995
26,index_25,8,1,0,0.8,fixed,113,113,1,402,19928,20330,"[""113""]",13,0.029974406953091733,0.0566246148479739,383.9740855693817
27,index_26,8,1,0,0.8,fixed,127,127,1,208,25582,25790,"[""127""]",14,0.03762653868196783,0.0730771466775187,526.5958414077759
28,index_27,8,1,0,0.8,fixed,104,104,1,199,13497,13696,"[""104""]",12,0.016923997291980353,0.0300563920702284,161.701158285141
29,index_28,8,1,0,0.8,fixed,104,104,1,124,11976,12100,"[""104""]",11,0.015163785249061762,0.0277890820301145,150.0018494129181
30,index_29,8,1,0,0.8,fixed,321,321,1,109,13554,13663,"[""321""]",13,0.017004760561261153,0.0313935236323469,175.72266364097595
