iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,0,0,0.95,fixed,33,,0,194,47622,47816,[],18,0.07525798334065388,0.1488285564792745,1104.250888824463
2,index_1,8,1,0,0.95,fixed,23,131,0,226,15796,16022,"[""131""]",17,0.02106708353700719,0.0386605429916865,228.8677499294281
3,index_2,8,1,0,0.95,fixed,116,116,1,172,10114,10286,"[""116""]",19,0.012071821146166058,0.0202313818964013,69.14821267127991
4,index_3,8,1,0,0.95,fixed,809,809,1,145,10909,11054,"[""809""]",16,0.01272000602629316,0.0204639265159002,107.74796557426453
5,index_4,8,0,0,0.95,fixed,197,,0,141,46236,46377,[],16,0.07498750756289844,0.1488285564792745,1122.633173942566
6,index_5,8,1,0,0.95,fixed,385,24,0,128,30296,30424,"[""24""]",17,0.04448455063657259,0.0872042323120748,620.2666478157043
7,index_6,8,1,0,0.95,fixed,371,617,0,123,33836,33959,"[""617""]",16,0.0525456998886427,0.1038311726062438,754.3416295051575
8,index_7,8,1,0,0.95,fixed,601,601,1,119,23862,23981,"[""601""]",16,0.03464515008808924,0.0676123481192954,463.3884823322296
9,index_8,8,1,0,0.95,fixed,25,25,1,97,10380,10477,"[""25""]",16,0.011689698124406601,0.0188361141794082,99.6748378276825
10,index_9,8,1,0,0.95,fixed,55,55,1,108,9716,9824,"[""55""]",19,0.011024072062586491,0.015987442590547,77.42961692810059
11,index_10,8,1,0,0.95,fixed,540,540,1,96,13446,13542,"[""540""]",20,0.015008935213486401,0.0245334573571304,131.12449312210083
12,index_11,8,1,0,0.95,fixed,45,45,1,186,16238,16424,"[""45""]",18,0.021195870326936036,0.0388930876111853,231.0965313911438
13,index_12,8,1,0,0.95,fixed,204,204,1,181,9083,9264,"[""204""]",17,0.011123647873892478,0.0197662926574035,64.21264171600342
14,index_13,8,1,0,0.95,fixed,699,699,1,118,25252,25370,"[""699""]",25,0.029312412331882986,0.0525550840067438,344.091814994812
15,index_14,8,1,0,0.95,fixed,294,294,1,101,10536,10637,"[""294""]",15,0.01301354681871896,0.0231381896401372,123.55531311035156
16,index_15,8,1,0,0.95,fixed,110,155,0,112,12632,12744,"[""155""]",16,0.01527367559371721,0.0272077204813673,145.6084747314453
17,index_16,8,1,0,0.95,fixed,721,721,1,145,13601,13746,"[""721""]",18,0.01667213124043073,0.0293587582117318,156.31840920448303
18,index_17,8,1,0,0.95,fixed,315,66,0,100,37373,37473,"[""66""]",16,0.05887504131752107,0.1166792628335562,862.1304938793182
19,index_18,8,1,0,0.95,fixed,468,468,1,100,17197,17297,"[""468""]",16,0.022656526910600203,0.0429626184524155,265.872193813324
20,index_19,8,1,0,0.95,fixed,902,1024,0,147,27685,27832,"[""1024""]",16,0.041603830214403885,0.0815650252892273,576.3243744373322
21,index_20,8,1,0,0.95,fixed,211,211,1,170,39162,39332,"[""211""]",26,0.05867069416881947,0.1149933143421894,845.6578812599182
22,index_21,8,1,0,0.95,fixed,80,160,0,109,30757,30866,"[""160""]",15,0.048788076083016135,0.0965641532469042,695.1109066009521
23,index_22,8,1,0,0.95,fixed,480,480,1,131,15518,15649,"[""480""]",15,0.021632801368270373,0.0412766699610487,251.67666387557983
24,index_23,8,1,0,0.95,fixed,236,236,1,118,13592,13710,"[""236""]",16,0.016799551169428058,0.0304052089994767,164.42807745933533
25,index_24,8,1,0,0.95,fixed,73,73,1,159,10290,10449,"[""73""]",15,0.012953816999131822,0.0223824196267659,117.99488377571106
26,index_25,8,1,0,0.95,fixed,113,113,1,402,22222,22624,"[""113""]",16,0.033070732521046024,0.0626126388000697,417.59033203125
27,index_26,8,1,0,0.95,fixed,127,127,1,208,33939,34147,"[""127""]",17,0.05145231797297823,0.1008662287076332,728.3662750720978
28,index_27,8,1,0,0.95,fixed,104,104,1,199,12816,13015,"[""104""]",16,0.017198191207285673,0.0312191151677228,168.9951295852661
29,index_28,8,1,0,0.95,fixed,104,291,0,124,31342,31466,"[""291""]",16,0.048058566343599195,0.094761932445788,680.7460944652557
30,index_29,8,1,0,0.95,fixed,321,321,1,109,13166,13275,"[""321""]",16,0.01605974924769466,0.0288936689727341,154.67656993865967
