token,frequency,mean_entropy,std_dev_entropy
 composed,1,3.188810662653713,0.0
 inherently,1,3.143212643164725,0.0
 plotting,1,3.1333858195518256,0.0
Both,1,3.087915101136306,0.0
 truncated,1,3.0844466820724765,0.0
 equivalence,1,3.0818217439040354,0.0
 noticed,1,3.0739454645564215,0.0
 truly,1,3.0648580872966056,0.0
 describe,1,3.0482527911534296,0.0
 referencing,1,3.0335823656730474,0.0
Going,1,3.0221821840006005,0.0
 nine,1,3.0010382026983082,0.0
 behaviors,1,2.9927464959734866,0.0
Like,1,2.986974192534752,0.0
Two,1,2.9836571825309277,0.0
 Set,1,2.983060399064117,0.0
 Moreover,1,2.980047909696974,0.0
 substituted,1,2.972068218157848,0.0
meaning,1,2.970792749797457,0.0
 Conversely,1,2.9627216920621966,0.0
 swapping,2,2.9563724757284673,0.21835958372320974
these,1,2.9537654213019096,0.0
Single,1,2.948723515627875,0.0
 easiest,1,2.946909640463664,0.0
 violates,1,2.9220939932241583,0.0
 skipped,1,2.9203071134204497,0.0
 perm,1,2.9186361408935935,0.0
 evaluate,1,2.9013271760861215,0.0
 constrain,1,2.8981385645708997,0.0
 Did,1,2.897899290439256,0.0
Furthermore,1,2.8727589302291365,0.0
 positioning,1,2.8705817924981387,0.0
 trial,1,2.8689544843666326,0.0
 Got,1,2.8431591575897888,0.0
 Indeed,2,2.841159574019776,0.26048770162815216
 autom,1,2.8314602390513923,0.0
 conflic,1,2.824263327632739,0.0
Breaking,1,2.816668033447268,0.0
 grouping,2,2.810272266025791,0.3323608442932946
 pe,1,2.807685848344186,0.0
 effects,1,2.8076654971876196,0.0
 established,1,2.7960508593398608,0.0
 conclusion,1,2.79493485523927,0.0
 correcting,1,2.78918398612026,0.0
Within,2,2.7776234835963804,0.13929497555345804
 coming,1,2.7770725023042706,0.0
 travers,2,2.764908388510209,0.15111852725412445
 breaks,1,2.763110975539015,0.0
setting,1,2.76019527148394,0.0
 testing,1,2.759203306526238,0.0
 telesc,1,2.7573247164831445,0.0
Moreover,4,2.755749440167052,0.09431139065688929
 numerous,1,2.7549265775329492,0.0
 constructed,1,2.744824176534293,0.0
Maybe,5,2.741722468803242,0.3350701969131948
has,1,2.7374610961839383,0.0
 sandwich,1,2.735818451697294,0.0
 handled,1,2.7145010063072617,0.0
 notice,9,2.713169655459392,0.31908226218235974
 impr,1,2.710121603255479,0.0
note,1,2.705075218822848,0.0
 Absolute,1,2.7017296243453366,0.0
 Divide,1,2.7009216042105315,0.0
 bounded,1,2.7001143037350603,0.0
 clearly,1,2.6998040300677233,0.0
 characterize,1,2.6962392039983083,0.0
 substitutions,2,2.6915321419926714,0.20643587731719149
 word,1,2.6885752514898704,0.0
 implicitly,1,2.6857979909067886,0.0
dis,2,2.683493891506352,0.2694152294400376
 online,1,2.6804336791669843,0.0
 clever,1,2.6795255783388026,0.0
 remind,1,2.6772469753429955,0.0
perhaps,1,2.6761206731529663,0.0
due,3,2.6746273890130468,0.12909554854101277
 decreased,1,2.669381349725953,0.0
It,1,2.667848174093699,0.0
 sl,1,2.6674829859626854,0.0
 recount,1,2.6630834122365923,0.0
 Mode,1,2.6623479911750314,0.0
 thus,1,2.6618943105845037,0.0
 accept,2,2.6572674242769256,0.15042282532923923
 Oops,1,2.6572554481938035,0.0
 effectively,1,2.657129639293848,0.0
 ensured,1,2.6532965828954396,0.0
 traces,1,2.650711521336068,0.0
 revisit,1,2.6467234704343254,0.0
"?,",1,2.646124030981312,0.0
 spread,2,2.640033688988498,0.31859217735035394
 projects,1,2.626129376910325,0.0
Unique,1,2.622919414705596,0.0
 Others,1,2.616598310699331,0.0
 familiar,1,2.6136031027410356,0.0
⇒,1,2.6109776639181232,0.0
 hazard,1,2.609249768440415,0.0
 hidden,1,2.6055195279346157,0.0
 select,1,2.6026562760016416,0.0
One,1,2.6022531549876935,0.0
single,1,2.598896691261886,0.0
di,1,2.59570187765554,0.0
