iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,0,0.98,fixed,33,33,1,189,210368,210557,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""89"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""53"", ""33"", ""33"", ""33"", ""33"", ""37"", ""33"", ""33"", ""33"", ""33""]",60,0.3209471288955367,0.7582754240454308,141.55754685401917
2,index_1,64,27,0,0.98,fixed,23,23,1,221,340263,340484,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",100,0.2892906813186309,0.9999252783381902,465.3911597728729
3,index_2,64,64,0,0.98,fixed,116,116,1,167,167590,167757,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",65,0.3296110737502801,0.6318463722633192,92.83639574050903
4,index_3,64,64,0,0.98,fixed,809,809,1,140,280016,280156,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""404"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""404"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",93,0.424027746609952,0.9999252783381902,197.5875165462494
5,index_4,64,3,0,0.98,fixed,197,197,1,136,262820,262956,"[""144"", ""197"", ""197""]",71,0.1942943027771937,0.9997758350145708,414.8464677333832
6,index_5,64,64,0,0.98,fixed,385,16,0,123,769532,769655,"[""24"", ""4"", ""12"", ""24"", ""16"", ""16"", ""12"", ""16"", ""16"", ""64"", ""24"", ""16"", ""16"", ""16"", ""16"", ""16"", ""16"", ""4"", ""24"", ""64"", ""12"", ""24"", ""24"", ""12"", ""36"", ""24"", ""36"", ""64"", ""16"", ""24"", ""16"", ""32"", ""16"", ""12"", ""48"", ""36"", ""25"", ""16"", ""16"", ""16"", ""36"", ""24"", ""16"", ""36"", ""12"", ""16"", ""7"", ""24"", ""72"", ""16"", ""16"", ""36"", ""16"", ""36"", ""16"", ""12"", ""12"", ""16"", ""16"", ""24"", ""48"", ""12"", ""48"", ""16""]",100,0.7976425781876947,1.0,965.7819430828094
7,index_6,64,1,0,0.98,fixed,371,8,0,118,242735,242853,"[""8""]",63,0.171168663827625,0.9651797055966524,387.1771421432495
8,index_7,64,8,0,0.98,fixed,601,601,1,114,413650,413764,"[""601"", ""401"", ""601"", ""401"", ""403"", ""601"", ""601"", ""601""]",100,0.2955358414300912,0.9999252783381902,736.0537602901459
9,index_8,64,51,0,0.98,fixed,25,25,1,92,349246,349338,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",100,0.5018185841456172,0.9435851453336322,300.0492465496063
10,index_9,64,49,0,0.98,fixed,55,55,1,103,203356,203459,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",77,0.3799162585142775,0.7561832175147576,114.433611869812
11,index_10,64,64,0,0.98,fixed,540,540,1,91,216253,216344,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",80,0.2674797899033278,0.647388477919749,170.79938960075378
