iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,51,0,0.92,fixed,C,C,1,148,190239,190387,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",58,0.32762089251650867,0.7375028020623179,114.72312307357788
2,index_1,64,1,0,0.92,fixed,D,B,0,155,218331,218486,"[""B""]",39,0.24384312315035717,0.9890906373757752,189.7729413509369
4,index_3,64,27,0,0.92,fixed,B,B,1,153,147811,147964,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B""]",46,0.2922273350666405,0.5850706119704102,80.18001127243042
5,index_4,64,22,0,0.92,fixed,C,C,1,385,217217,217602,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",54,0.3639923296480529,0.9743704699992528,153.0087766647339
7,index_6,64,8,0,0.92,fixed,C,C,1,191,199270,199461,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C""]",73,0.13090825795679636,0.7566315474856161,370.4104027748108
14,index_13,64,12,0,0.92,fixed,D,D,1,35166,169999,205165,"[""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""A"", ""A"", ""A"", ""D"", ""D"", ""A""]",45,0.29864750484229813,0.6921467533437944,101.8354606628418
26,index_25,64,2,0,0.92,fixed,D,D,1,17111,204602,221713,"[""D"", ""A""]",47,0.20836229989612368,0.951655084809086,225.431636095047
29,index_28,64,18,0,0.92,fixed,A,A,1,403,199047,199450,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",48,0.20282415189468142,0.9095120675483824,220.697340965271
30,index_29,64,2,0,0.92,fixed,A,B,0,12110,197357,209467,"[""C"", ""B""]",38,0.2212851121552306,0.8614660390047075,161.02520084381104
33,index_32,64,2,0,0.92,fixed,C,C,1,12384,205651,218035,"[""A"", ""C""]",50,0.2872116461619778,0.9373085257416124,163.35382223129272
