iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains
1,index_0,103,103,1,2,12562,2,"['103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103', '103']",True
2,index_1,3375,3375,1,2,5138,2,"['3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375', '3375']",True
3,index_2,\frac{1}{576},576,0,11,215613,2,"['\\dfrac{1}{576}', '576', '576', '15552', '\\dfrac{1}{576}', '576', '576', '6^8', '2^{\\sqrt{11 + 10 \\log_2 3}}', '2^{\\sqrt{22 + 20 \\log_2 3}}', '576']",False
4,index_3,-984,-984,1,4,66286,2,"['-984', '-983', '-984', '-984', '-984', '-984', '-984', '-984', '-984', '-985', '-985', '-984', '-983', '-984', '-984', '-984']",True
5,index_4,890,890,1,2,13890,2,"['890', '890', '890', '890', '890', '890', '890', '890', '890', '890', '890', '890', '890', '890', '890', '890']",True
6,index_5,\frac{1311}{2017},\dfrac{1311}{2017},1,2,23184,2,"['\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{706}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}', '\\dfrac{1311}{2017}']",False
7,index_6,\frac{9 \sqrt{23}}{23},\dfrac{9\sqrt{23}}{23},1,7,157770,2,"['2', '\\dfrac{\\sqrt{14}}{2}', '\\dfrac{9\\sqrt{23}}{23}', '\\dfrac{15}{8}', '\\dfrac{9\\sqrt{23}}{23}', '2', '\\dfrac{9\\sqrt{23}}{23}']",False
8,index_7,1-\frac{2}{\pi},\dfrac{1}{e},0,14,265797,2,"['\\dfrac{1}{3}', '1 - \\dfrac{2}{\\pi}', '\\dfrac{4}{11}', '1 - \\dfrac{2}{\\pi}', '1 - \\dfrac{2}{\\pi}', '\\dfrac{1}{e}', '1 - \\dfrac{2}{\\pi}', '\\dfrac{4}{11}', '1 - \\dfrac{2}{\\pi}', '1 - \\dfrac{4}{\\pi}', '1 - \\dfrac{2}{\\pi}', '\\dfrac{4}{11}', '\\dfrac{1}{e}', '\\dfrac{1}{e}', '\\dfrac{4}{11}']",False
9,index_8,1037,1037,1,2,21453,2,"['1037', '1037', '1037', '1037', '1037', '0', '1037', '1037', '1037', '1037', '1037', '0', '1037', '1037', '1037', '990']",True
10,index_9,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",\dfrac{-1 - \sqrt{17}}{2},0,4,87524,2,"['\\frac{-1 - \\sqrt{17}}{2}', '\\dfrac{-1 - \\sqrt{17}}{2}', '\\dfrac{-1 - \\sqrt{17}}{2}', '\\dfrac{-1 - \\sqrt{17}}{2}', '-9', '1 + \\sqrt{26}', '9', '9, -6', '-7', '-6', '6', '-6', '-6', '\\dfrac{3 - \\sqrt{105}}{2}', '6', '6']",False
11,index_10,56,56,1,4,68085,2,"['56', '8', '56', '56', '56', '56', '56', '56', '56', '56', '56', '56', '56', '56', '56', '56']",True
12,index_11,29,20,0,16,311695,2,"['20', '32', '29', '20', '16', '23', '29', '20', '31', '20', '26', '32', '20', '30', '29', '19']",True
13,index_12,105,266,0,16,360570,2,"['631', '2', '14', '266', '13', '105', '16', '106', '1', '262', '266', '9', '2', '266', '16', '1']",True
14,index_13,2304,20,0,16,286984,2,"['76', '70', '384', '20', '20', '12', '22', '20', '76', '20', '20', '70', '100', '200', '70', '76']",False
15,index_14,200,202,0,2,14799,2,"['202', '202', '202', '202', '120', '202', '120', '120', '202', '120', '120', '202', '202', '202', '120', '120']",False
16,index_15,6300,6300,1,8,110155,2,"['450', '6525', '6300', '3150', '225', '3375', '6300', '6300', '6300', '6525', '450', '6525', '6525', '450', '450', '6525']",True
17,index_16,2^{25} \cdot 26!,26!,0,4,34791,2,"['(26!)^3', '26!', '26!', '26!', '26!', '26!', '26!', '26!', '2 \\times 26!', '26!', '26!', '26!', '2 \\times 26!', '26!', '26!', '4 \\times 26!']",False
18,index_17,\frac{2025}{101},\dfrac{675}{67},0,12,190799,2,"['2025 \\left(1 - \\frac{1}{e}\\right)', '\\dfrac{675}{67}', '\\dfrac{675}{67}', '2025 \\left(1 - \\frac{1}{e}\\right)', '1825', '\\dfrac{2025}{101}', '2025\\left(1 - \\frac{1}{e}\\right)', '\\dfrac{675}{67}', '\\dfrac{2025}{101}', '1825', '\\dfrac{675}{67}', '\\dfrac{675}{67}', '\\dfrac{675}{67}', '\\dfrac{2025}{101}', '\\dfrac{675}{67}', '2025 \\left(1 - \\frac{1}{e}\\right)']",False
19,index_18,\frac{4}{9},\dfrac{1}{2},0,4,77185,2,"['\\dfrac{1}{2}', '\\dfrac{2}{3}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{3}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{2}', '\\dfrac{1}{3}', '\\dfrac{1}{3}', '\\dfrac{2}{3}', '\\dfrac{2}{3}', '\\dfrac{1}{2}']",False
20,index_19,\frac{448}{3},135,0,16,435306,2,"['630', '126', '63', '\\dfrac{2025}{4}', '135', '615', '\\dfrac{1195757}{8580}', '\\dfrac{1071}{2}', '630', '60', '225', '41', '30', '882', '\\dfrac{135}{2}', '135']",False
21,index_20,26,26,1,2,5854,2,"['26', '26', '26', '26', '26', '26', '26', '26', '26', '26', '26', '26', '26', '26', '26', '26']",True
22,index_21,63,63,1,2,18464,2,"['63', '63', '63', '63', '63', '63', '61', '63', '63', '63', '63', '63', '63', '63', '63', '63']",True
23,index_22,8\sqrt{10},8\sqrt{10},1,2,16698,2,"['8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}', '8\\sqrt{10}']",True
24,index_23,20,100,0,16,359955,2,"['28', '25', '100', '55', '25', '55', '100', '20', '20', '20\\sqrt{2}', '50', '10', '25', '28', '28', '100']",True
25,index_24,\sqrt{23}-2 \sqrt{3},\sqrt{11},0,2,52398,2,"['\\sqrt{11}', '\\sqrt{11}', '\\sqrt{23}', '\\sqrt{23}', '\\dfrac{4}{3}', '\\sqrt{23}', '5\\sqrt{3}', '2', '\\dfrac{13}{10}', '1', '\\sqrt{11}', '\\sqrt{11}', '\\sqrt{11}', '1', '\\sqrt{23}']",False
26,index_25,9\sqrt{15},9\sqrt{15},1,2,21052,2,"['9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}', '9\\sqrt{15}']",True
