iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,index_0,C,C,1,2,6937,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
2,index_1,D,D,1,10,126097,2,"['A', 'D', 'C', 'D', 'B', 'D', 'B', 'C', 'D', 'D', 'C', 'D', 'D', 'D', 'C', 'D']",True,1004.4934957497048,4.950146779110207
3,index_2,C,C,1,2,6072,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
4,index_3,B,D,0,6,40699,2,"['B', 'D', 'B', 'D', 'D', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'D', 'D', 'D', 'D']",True,602.6960974498229,4.950146779110207
5,index_4,C,C,1,2,10108,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
6,index_5,C,C,1,2,18798,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
7,index_6,C,C,1,2,6283,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
8,index_7,D,D,1,2,9517,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
9,index_8,A,B,0,2,13902,2,"['B', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'D', 'D', 'A', 'A', 'B', 'B']",False,200.89869914994097,4.950146779110207
10,index_9,C,C,1,2,7562,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D']",True,200.89869914994097,4.950146779110207
11,index_10,A,A,1,2,9720,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
12,index_11,D,D,1,2,11992,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
13,index_12,A,B,0,2,21409,2,"['B', 'B', 'B', 'B', 'A', 'B', 'A', 'D', 'D', 'B', 'A', 'B', 'B', 'A', 'B', 'B']",False,200.89869914994097,4.950146779110207
14,index_13,D,A,0,2,9096,2,"['A', 'A', 'A', 'D', 'A', 'A', 'D', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A']",False,200.89869914994097,4.950146779110207
15,index_14,C,C,1,2,5308,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
16,index_15,B,D,0,4,43899,2,"['A', 'B', 'D', 'D', 'A', 'D', 'A', 'B', 'B', 'D', 'D', 'B', 'B', 'B', 'B', 'A']",True,401.79739829988193,4.950146779110207
17,index_16,C,C,1,2,4175,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
18,index_17,B,A,0,2,10844,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",False,200.89869914994097,4.950146779110207
19,index_18,A,B,0,2,17464,2,"['B', 'B', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",False,200.89869914994097,4.950146779110207
20,index_19,A,A,1,2,2061,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
21,index_20,B,B,1,2,11775,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B']",True,200.89869914994097,4.950146779110207
22,index_21,D,D,1,14,30833,2,"['D', 'C', 'D', 'C', 'C', 'D', 'D', 'C', 'D', 'C', 'D', 'C', 'D', 'D', 'C', 'D']",True,1406.2908940495868,4.950146779110207
23,index_22,C,B,0,2,23281,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'D', 'B', 'D', 'B', 'D', 'D', 'B']",False,200.89869914994097,4.950146779110207
24,index_23,B,A,0,2,27256,2,"['A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'B', 'A', 'A', 'B', 'D']",False,200.89869914994097,4.950146779110207
25,index_24,B,B,1,6,56570,2,"['B', 'C', 'B', 'C', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'B', 'A', 'B', 'B', 'B']",True,602.6960974498229,4.950146779110207
26,index_25,D,D,1,2,23548,2,"['D', 'D', 'D', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'B', 'A', 'A']",True,200.89869914994097,4.950146779110207
27,index_26,A,A,1,2,3612,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
28,index_27,A,A,1,4,40541,2,"['A', 'B', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'D', 'A', 'A', 'B', 'A', 'A', 'A']",True,401.79739829988193,4.950146779110207
29,index_28,A,A,1,4,44829,2,"['B', 'D', 'A', 'A', 'A', 'A', 'A', 'B', 'D', 'A', 'B', 'D', 'D', 'A', 'D', 'D']",True,401.79739829988193,4.950146779110207
30,index_29,A,C,0,2,11297,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",False,200.89869914994097,4.950146779110207
31,index_30,C,A,0,2,19898,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'B']",False,200.89869914994097,4.950146779110207
32,index_31,C,C,1,2,28890,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
33,index_32,C,A,0,2,7866,2,"['A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",False,200.89869914994097,4.950146779110207
34,index_33,A,C,0,8,102341,2,"['C', 'A', 'A', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'A', 'A']",True,803.5947965997639,4.950146779110207
35,index_34,C,C,1,2,6549,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
36,index_35,B,B,1,2,18754,2,"['B', 'B', 'C', 'C', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'C', 'B', 'D', 'A', 'B']",True,200.89869914994097,4.950146779110207
37,index_36,D,C,0,2,30033,2,"['C', 'C', 'B', 'B', 'C', 'C', 'B', 'B', 'C', 'C', 'C', 'C', 'B', 'A', 'A', 'C']",False,200.89869914994097,4.950146779110207
38,index_37,C,C,1,2,9095,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
39,index_38,B,B,1,2,3283,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,200.89869914994097,4.950146779110207
40,index_39,A,A,1,2,7827,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
41,index_40,A,A,1,2,7032,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
42,index_41,D,D,1,2,8614,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
43,index_42,A,A,1,2,23343,2,"['A', 'A', 'A', 'D', 'D', 'D', 'C', 'C', 'D', 'A', 'A', 'A', 'C', 'B', 'A', 'D']",True,200.89869914994097,4.950146779110207
44,index_43,A,A,1,2,2242,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
45,index_44,D,D,1,2,11490,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
46,index_45,C,C,1,8,102540,2,"['C', 'A', 'C', 'A', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'D', 'A', 'A', 'A']",True,803.5947965997639,4.950146779110207
47,index_46,D,D,1,2,22044,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
48,index_47,A,B,0,2,30572,2,"['B', 'B', 'B', 'D', 'D', 'B', 'B', 'D', 'A', 'C', 'D', 'D', 'A', 'B', 'D', 'D']",False,200.89869914994097,4.950146779110207
49,index_48,B,C,0,14,174269,2,"['D', 'C', 'B', 'D', 'D', 'C', 'D', 'C', 'B', 'D', 'B', 'D', 'C', 'C', 'D', 'D']",True,1406.2908940495868,4.950146779110207
50,index_49,D,D,1,2,3800,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
51,index_50,D,D,1,2,35288,2,"['D', 'D', 'D', 'D', 'D', 'D', 'B', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
52,index_51,C,C,1,2,10348,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
53,index_52,D,B,0,6,85509,2,"['D', 'B', 'B', 'D', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'D', 'B', 'D', 'B']",True,602.6960974498229,4.950146779110207
54,index_53,A,C,0,4,48356,2,"['A', 'C', 'C', 'C', 'A', 'C', 'A', 'A', 'A', 'C', 'C', 'C', 'B', 'A', 'B', 'A']",True,401.79739829988193,4.950146779110207
55,index_54,B,D,0,2,26397,2,"['D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'B', 'B', 'D', 'C']",False,200.89869914994097,4.950146779110207
56,index_55,A,A,1,4,51208,2,"['A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'A', 'D', 'A', 'A', 'A']",True,401.79739829988193,4.950146779110207
57,index_56,D,D,1,2,22439,2,"['D', 'D', 'C', 'D', 'B', 'D', 'B', 'B', 'D', 'D', 'D', 'D', 'B', 'D', 'B', 'B']",True,200.89869914994097,4.950146779110207
58,index_57,A,A,1,14,45507,2,"['D', 'A', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'D', 'D', 'A', 'A', 'A', 'D', 'D']",True,1406.2908940495868,4.950146779110207
59,index_58,A,A,1,2,6189,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
60,index_59,C,C,1,2,21032,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
61,index_60,C,C,1,2,9336,2,"['C', 'C', 'C', 'C', 'D', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
62,index_61,C,C,1,2,20486,2,"['C', 'C', 'C', 'B', 'C', 'C', 'B', 'C', 'C', 'B', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
63,index_62,D,D,1,2,19936,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
64,index_63,C,A,0,4,65258,2,"['A', 'D', 'A', 'A', 'D', 'D', 'D', 'A', 'B', 'D', 'D', 'D', 'A', 'D', 'C', 'A']",False,401.79739829988193,4.950146779110207
65,index_64,A,A,1,2,18400,2,"['A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'A', 'A']",True,200.89869914994097,4.950146779110207
66,index_65,C,C,1,2,1774,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
67,index_66,D,D,1,2,5699,2,"['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D']",True,200.89869914994097,4.950146779110207
68,index_67,B,B,1,2,10906,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,200.89869914994097,4.950146779110207
69,index_68,A,A,1,2,29375,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
70,index_69,D,C,0,2,18929,2,"['C', 'C', 'D', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'C', 'D', 'D']",False,200.89869914994097,4.950146779110207
71,index_70,C,C,1,2,6565,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
72,index_71,B,B,1,2,16151,2,"['B', 'B', 'B', 'B', 'B', 'D', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'B']",True,200.89869914994097,4.950146779110207
73,index_72,C,C,1,2,3546,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
74,index_73,A,A,1,2,9357,2,"['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A']",True,200.89869914994097,4.950146779110207
75,index_74,B,B,1,2,3786,2,"['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B']",True,200.89869914994097,4.950146779110207
76,index_75,D,D,1,12,57173,2,"['C', 'D', 'D', 'B', 'D', 'B', 'B', 'D', 'D', 'C', 'D', 'D', 'D', 'C', 'D', 'C']",True,1205.3921948996458,4.950146779110207
77,index_76,A,C,0,2,18668,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",False,200.89869914994097,4.950146779110207
78,index_77,C,C,1,2,8712,2,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']",True,200.89869914994097,4.950146779110207
79,index_78,A,A,1,4,45162,2,"['C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A']",True,401.79739829988193,4.950146779110207
80,index_79,A,C,0,16,226776,2,"['A', 'C', 'D', 'C', 'B', 'A', 'A', 'C', 'C', 'A', 'D', 'A', 'C', 'A', 'B', 'C']",True,1607.1895931995277,4.950146779110207
81,index_80,D,B,0,6,73205,2,"['D', 'B', 'B', 'D', 'B', 'B', 'D', 'D', 'D', 'D', 'B', 'C', 'D', 'D', 'D', 'B']",True,602.6960974498229,4.950146779110207
