iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,1,0,0.92,fixed,A,A,1,178,8850,9028,"[""A""]",16,0.01058866079176496,0.0174408464624149,67.93340802192688
2,aqua_rat_test_1,8,1,0,0.92,fixed,E,E,1,158,10517,10675,"[""E""]",16,0.012660815477821368,0.0205801988256496,107.84818768501282
3,aqua_rat_test_2,8,3,0,0.92,fixed,A,A,1,100,5212,5312,"[""A"", ""A"", ""A""]",13,0.007510439938690984,0.0130806348468112,26.311211585998535
4,aqua_rat_test_3,8,1,0,0.92,fixed,B,B,1,146,6106,6252,"[""B""]",15,0.008652987892723006,0.0142433579443055,35.384345293045044
5,aqua_rat_test_4,8,5,0,0.92,fixed,B,B,1,111,4249,4360,"[""B"", ""B"", ""B"", ""B"", ""B""]",8,0.008147366847442375,0.0130806348468112,16.107292413711548
6,aqua_rat_test_5,8,1,0,0.92,fixed,D,D,1,169,5962,6131,"[""D""]",15,0.008806633251015859,0.0142433579443055,34.25165820121765
7,aqua_rat_test_6,8,1,0,0.92,fixed,D,D,1,127,6038,6165,"[""D""]",15,0.00866811473436968,0.0139526771699319,32.7688729763031
8,aqua_rat_test_7,8,2,0,0.92,fixed,C,C,1,142,5902,6044,"[""C"", ""C""]",14,0.00971469107202736,0.0139526771699319,28.001513481140137
9,aqua_rat_test_8,8,1,0,0.92,fixed,E,E,1,133,7498,7631,"[""E""]",15,0.008928733791805369,0.0139526771699319,62.188260078430176
10,aqua_rat_test_9,8,3,0,0.92,fixed,D,D,1,120,5145,5265,"[""D"", ""D"", ""D""]",13,0.008497126409345563,0.0136619963955584,23.040001392364502
11,aqua_rat_test_10,8,1,0,0.92,fixed,B,C,0,163,9173,9336,"[""C""]",17,0.01106312887779777,0.0197662926574035,63.66109323501587
12,aqua_rat_test_11,8,4,0,0.92,fixed,A,A,1,151,7958,8109,"[""A"", ""A"", ""A"", ""A""]",13,0.01417978516607391,0.0202313818964013,29.282272815704346
13,aqua_rat_test_12,8,2,0,0.92,fixed,C,C,1,123,6838,6961,"[""C"", ""C""]",14,0.008306784373603007,0.0139526771699319,48.87884759902954
14,aqua_rat_test_13,8,6,0,0.92,fixed,D,D,1,86,2511,2597,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",8,0.005122184440478377,0.0089529678507063,9.475549697875977
15,aqua_rat_test_14,8,5,0,0.92,fixed,C,C,1,104,3876,3980,"[""C"", ""C"", ""C"", ""C"", ""C""]",10,0.00831714851490829,0.0125574094529388,12.839980125427246
16,aqua_rat_test_15,8,5,0,0.92,fixed,A,A,1,114,3467,3581,"[""A"", ""A"", ""A"", ""A"", ""A""]",7,0.007570102513419706,0.0125574094529388,12.015864133834839
17,aqua_rat_test_16,8,1,0,0.92,fixed,A,A,1,148,8174,8322,"[""A""]",15,0.009807938926681716,0.0144759025638043,75.3167188167572
18,aqua_rat_test_17,8,3,0,0.92,fixed,D,D,1,156,6527,6683,"[""D"", ""D"", ""D""]",13,0.012830501577066328,0.0171501656880413,23.52717399597168
19,aqua_rat_test_18,8,7,0,0.92,fixed,D,D,1,188,5780,5968,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",11,0.008866620319785457,0.0187198418696586,28.87960147857666
20,aqua_rat_test_19,8,2,0,0.92,fixed,C,C,1,111,5983,6094,"[""C"", ""C""]",15,0.009463319653160798,0.0130806348468112,28.129897594451904
21,aqua_rat_test_20,8,1,0,0.92,fixed,C,E,0,127,13241,13368,"[""E""]",15,0.017578055644156404,0.0327306551944653,181.75018620491028
22,aqua_rat_test_21,8,1,0,0.92,fixed,A,A,1,146,8960,9106,"[""A""]",16,0.010392443268802152,0.0168594849136678,69.42210078239441
23,aqua_rat_test_22,8,1,0,0.92,fixed,E,E,1,147,7626,7773,"[""E""]",15,0.009186363502664453,0.0142433579443055,64.16858315467834
24,aqua_rat_test_23,8,1,0,0.92,fixed,A,A,1,149,5847,5996,"[""A""]",15,0.008984544723925082,0.0142433579443055,30.29600167274475
25,aqua_rat_test_24,8,2,0,0.92,fixed,D,D,1,142,6219,6361,"[""D"", ""D""]",15,0.009040155444164664,0.0139526771699319,34.344284534454346
26,aqua_rat_test_25,8,4,0,0.92,fixed,D,D,1,128,4754,4882,"[""D"", ""D"", ""D"", ""D""]",12,0.007914343083809925,0.0136619963955584,21.653454303741455
27,aqua_rat_test_26,8,6,0,0.92,fixed,C,C,1,114,5004,5118,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.010441414701174618,0.0160455787454217,15.865577697753906
28,aqua_rat_test_27,8,4,0,0.92,fixed,A,A,1,141,5712,5853,"[""A"", ""A"", ""A"", ""A""]",11,0.010817886686792674,0.0167432126039184,20.796116590499878
29,aqua_rat_test_28,8,2,0,0.92,fixed,B,B,1,132,4660,4792,"[""B"", ""B""]",12,0.00726038214832466,0.0127318179175629,23.938570976257324
30,aqua_rat_test_29,8,3,0,0.92,fixed,A,A,1,117,4179,4296,"[""A"", ""A"", ""A""]",11,0.008740064890045708,0.0136619963955584,14.764318466186523
31,aqua_rat_test_30,8,4,0,0.92,fixed,B,B,1,126,5462,5588,"[""B"", ""B"", ""B"", ""B""]",10,0.010871649104467989,0.0160455787454217,18.510568141937256
32,aqua_rat_test_31,8,4,0,0.92,fixed,A,A,1,146,3995,4141,"[""A"", ""A"", ""A"", ""A""]",10,0.008467115699253316,0.0132550433114353,15.175012588500977
33,aqua_rat_test_32,8,1,0,0.92,fixed,B,C,0,136,21116,21252,"[""C""]",15,0.031518670686110466,0.0615080518574501,412.42617893218994
34,aqua_rat_test_33,8,3,0,0.92,fixed,B,B,1,138,5769,5907,"[""B"", ""B"", ""B""]",13,0.010906276339491225,0.0165688041392941,20.99648094177246
35,aqua_rat_test_34,8,3,0,0.92,fixed,B,B,1,148,5889,6037,"[""B"", ""B"", ""B""]",12,0.009861507457520903,0.0142433579443055,27.550986766815186
36,aqua_rat_test_35,8,3,0,0.92,fixed,A,A,1,123,4533,4656,"[""A"", ""A"", ""A""]",11,0.006868371440198607,0.012906226382187,23.17397713661194
37,aqua_rat_test_36,8,1,0,0.92,fixed,D,D,1,149,6162,6311,"[""D""]",15,0.008515053955675948,0.0139526771699319,37.36215043067932
38,aqua_rat_test_37,8,1,0,0.92,fixed,A,A,1,132,8040,8172,"[""A""]",16,0.009649975115415097,0.0165688041392941,58.40157628059387
39,aqua_rat_test_38,8,4,0,0.92,fixed,D,D,1,137,5689,5826,"[""D"", ""D"", ""D"", ""D""]",12,0.011535276666256537,0.0167432126039184,19.479337453842163
40,aqua_rat_test_39,8,1,0,0.92,fixed,A,A,1,131,9069,9200,"[""A""]",17,0.010787668053974575,0.0195337480379047,63.23414349555969
41,aqua_rat_test_40,8,1,0,0.92,fixed,A,A,1,135,7656,7791,"[""A""]",16,0.00986407849893894,0.0168594849136678,44.015573501586914
42,aqua_rat_test_41,8,1,0,0.92,fixed,A,A,1,150,14030,14180,"[""A""]",18,0.015541166571994836,0.0242427765827568,127.45938372612
43,aqua_rat_test_42,8,4,0,0.92,fixed,C,C,1,94,5009,5103,"[""C"", ""C"", ""C"", ""C""]",11,0.008317025875211314,0.0146503110284286,19.451085567474365
44,aqua_rat_test_43,8,3,0,0.92,fixed,A,A,1,132,6476,6608,"[""A"", ""A"", ""A""]",14,0.011350786692039006,0.0164525318295447,25.254562377929688
45,aqua_rat_test_44,8,3,0,0.92,fixed,B,B,1,134,5275,5409,"[""B"", ""B"", ""B""]",12,0.009184307575803621,0.0136619963955584,23.020023584365845
46,aqua_rat_test_45,8,2,0,0.92,fixed,B,B,1,128,5740,5868,"[""B"", ""B""]",14,0.008286133864138847,0.0136619963955584,30.834537029266357
47,aqua_rat_test_46,8,3,0,0.92,fixed,E,E,1,137,5207,5344,"[""E"", ""E"", ""E""]",13,0.009716380175516551,0.0142433579443055,21.175686597824097
48,aqua_rat_test_47,8,3,0,0.92,fixed,A,A,1,153,7047,7200,"[""A"", ""A"", ""A""]",14,0.013867427301975216,0.0205801988256496,23.399527311325073
49,aqua_rat_test_48,8,1,0,0.92,fixed,D,D,1,114,5773,5887,"[""D""]",15,0.00897780594984991,0.0136619963955584,27.556846857070923
50,aqua_rat_test_49,8,4,0,0.92,fixed,B,B,1,120,5176,5296,"[""B"", ""B"", ""B"", ""B""]",11,0.01038232693040829,0.0160455787454217,17.34820795059204
51,aqua_rat_test_50,8,3,0,0.92,fixed,C,C,1,126,6119,6245,"[""C"", ""C"", ""C""]",12,0.010170983233430322,0.01639439567467,24.73794984817505
52,aqua_rat_test_51,8,3,0,0.92,fixed,C,C,1,132,4799,4931,"[""C"", ""C"", ""C""]",11,0.00997169010375289,0.0136619963955584,17.341248989105225
53,aqua_rat_test_52,8,4,0,0.92,fixed,B,B,1,108,4885,4993,"[""B"", ""B"", ""B"", ""B""]",10,0.01028359880084388,0.0156967618161735,15.797709465026855
54,aqua_rat_test_53,8,5,0,0.92,fixed,A,A,1,107,3914,4021,"[""A"", ""A"", ""A"", ""A"", ""A""]",8,0.008089122049421091,0.0125574094529388,13.786884069442749
55,aqua_rat_test_54,8,1,0,0.92,fixed,D,D,1,149,9326,9475,"[""D""]",15,0.01137852314966967,0.0186617057147839,97.64181733131409
56,aqua_rat_test_55,8,4,0,0.92,fixed,A,A,1,122,4073,4195,"[""A"", ""A"", ""A"", ""A""]",10,0.00785987716900059,0.012906226382187,15.876166343688965
57,aqua_rat_test_56,8,1,0,0.92,fixed,A,A,1,133,11087,11220,"[""A""]",15,0.01409572113631677,0.0252310912156269,133.55784964561462
58,aqua_rat_test_57,8,1,0,0.92,fixed,D,D,1,124,6066,6190,"[""D""]",15,0.008592840922170396,0.0139526771699319,33.31922912597656
59,aqua_rat_test_58,8,1,0,0.92,fixed,D,D,1,135,6413,6548,"[""D""]",15,0.008420001633202018,0.0139526771699319,40.53121280670166
60,aqua_rat_test_59,8,1,0,0.92,fixed,C,C,1,112,19550,19662,"[""C""]",16,0.026739237338951977,0.0513342247543747,330.54728507995605
61,aqua_rat_test_60,8,1,0,0.92,fixed,E,E,1,143,5948,6091,"[""E""]",15,0.008752989421812274,0.0139526771699319,32.34072232246399
62,aqua_rat_test_61,8,2,0,0.92,fixed,D,D,1,122,5792,5914,"[""D"", ""D""]",13,0.007836046937181066,0.0136619963955584,33.79919719696045
63,aqua_rat_test_62,8,3,0,0.92,fixed,B,B,1,136,5336,5472,"[""B"", ""B"", ""B""]",12,0.010230865313570944,0.0139526771699319,21.120064735412598
64,aqua_rat_test_63,8,3,0,0.92,fixed,C,C,1,124,4813,4937,"[""C"", ""C"", ""C""]",12,0.009200186408761782,0.0133713156211847,18.657766103744507
65,aqua_rat_test_64,8,5,0,0.92,fixed,D,B,0,167,6482,6649,"[""B"", ""B"", ""B"", ""B"", ""B""]",11,0.013315182294736829,0.0203476542061508,21.580925226211548
66,aqua_rat_test_65,8,4,0,0.92,fixed,C,C,1,117,7203,7320,"[""C"", ""C"", ""C"", ""C""]",11,0.013037772944429826,0.0193012034184059,24.759973287582397
67,aqua_rat_test_66,8,3,0,0.92,fixed,C,C,1,155,5618,5773,"[""C"", ""C"", ""C""]",11,0.010529174529450626,0.0142433579443055,23.491395473480225
68,aqua_rat_test_67,8,1,0,0.92,fixed,B,B,1,132,7696,7828,"[""B""]",16,0.009724613699295781,0.0165688041392941,45.575475454330444
69,aqua_rat_test_68,8,1,0,0.92,fixed,A,A,1,133,7740,7873,"[""A""]",15,0.00919013052310784,0.0139526771699319,66.56987881660461
70,aqua_rat_test_69,8,1,0,0.92,fixed,C,C,1,136,22724,22860,"[""C""]",16,0.03265172973868516,0.0634265449683157,426.5866689682007
71,aqua_rat_test_70,8,4,0,0.92,fixed,C,C,1,127,5150,5277,"[""C"", ""C"", ""C"", ""C""]",10,0.009287278009601252,0.0134875879309342,21.201804161071777
72,aqua_rat_test_71,8,1,0,0.92,fixed,A,A,1,149,5481,5630,"[""A""]",15,0.010305653384085126,0.0142433579443055,22.55584192276001
73,aqua_rat_test_72,8,3,0,0.92,fixed,B,B,1,105,4118,4223,"[""B"", ""B"", ""B""]",11,0.00747714407482953,0.0125574094529388,16.363200187683105
74,aqua_rat_test_73,8,2,0,0.92,fixed,B,B,1,111,5098,5209,"[""B"", ""B""]",13,0.008673467106116325,0.0131969071565606,21.726119995117188
75,aqua_rat_test_74,8,2,0,0.92,fixed,E,E,1,152,5854,6006,"[""E"", ""E""]",14,0.010279437461402483,0.0139526771699319,26.2521333694458
76,aqua_rat_test_75,8,1,0,0.92,fixed,C,C,1,122,4649,4771,"[""C""]",13,0.006373962013033075,0.012906226382187,28.020665168762207
77,aqua_rat_test_76,8,2,0,0.92,fixed,E,E,1,209,6883,7092,"[""E"", ""E""]",15,0.010580844818832473,0.0181384803209115,35.5681893825531
78,aqua_rat_test_77,8,1,0,0.92,fixed,B,B,1,168,8639,8807,"[""B""]",15,0.010539750887798231,0.0161618510551712,83.21929287910461
79,aqua_rat_test_78,8,1,0,0.92,fixed,A,A,1,149,7261,7410,"[""A""]",16,0.010449426269994896,0.0170920295331666,36.76919937133789
80,aqua_rat_test_79,8,1,0,0.92,fixed,D,D,1,145,6716,6861,"[""D""]",16,0.00871970990415376,0.0139526771699319,44.74957251548767
81,aqua_rat_test_80,8,1,0,0.92,fixed,B,B,1,174,6154,6328,"[""B""]",15,0.008650192840200183,0.0142433579443055,38.39540195465088
82,aqua_rat_test_81,8,3,0,0.92,fixed,A,A,1,129,4196,4325,"[""A"", ""A"", ""A""]",12,0.008403172134493856,0.0132550433114353,15.980661869049072
83,aqua_rat_test_82,8,1,0,0.92,fixed,A,A,1,126,14361,14487,"[""A""]",16,0.018076251712274186,0.0330794721237137,185.27146458625793
84,aqua_rat_test_83,8,1,0,0.92,fixed,A,A,1,140,6252,6392,"[""A""]",15,0.008437031882213827,0.0139526771699319,38.344624519348145
85,aqua_rat_test_84,8,3,0,0.92,fixed,A,A,1,106,4336,4442,"[""A"", ""A"", ""A""]",11,0.007648112548484821,0.0125574094529388,17.836984395980835
86,aqua_rat_test_85,8,1,0,0.92,fixed,A,A,1,125,10561,10686,"[""A""]",17,0.011684917224870948,0.0195337480379047,81.02053141593933
87,aqua_rat_test_86,8,1,0,0.92,fixed,E,E,1,129,7326,7455,"[""E""]",15,0.008734995618313236,0.0136619963955584,59.70181393623352
88,aqua_rat_test_87,8,3,0,0.92,fixed,B,B,1,108,4843,4951,"[""B"", ""B"", ""B""]",12,0.008893049509265656,0.0130806348468112,18.965375185012817
89,aqua_rat_test_88,8,1,0,0.92,fixed,B,B,1,133,6833,6966,"[""B""]",15,0.008411763868248146,0.0139526771699319,49.60636878013611
90,aqua_rat_test_89,8,2,0,0.92,fixed,B,B,1,126,5547,5673,"[""B"", ""B""]",14,0.009113216689787196,0.0136619963955584,25.46951937675476
91,aqua_rat_test_90,8,3,0,0.92,fixed,B,B,1,116,5207,5323,"[""B"", ""B"", ""B""]",13,0.00830445232768141,0.0136619963955584,24.103743076324463
92,aqua_rat_test_91,8,4,0,0.92,fixed,B,B,1,184,6168,6352,"[""B"", ""B"", ""B"", ""B""]",10,0.012607284974547068,0.0174408464624149,22.418793439865112
93,aqua_rat_test_92,8,1,0,0.92,fixed,A,A,1,160,5540,5700,"[""A""]",15,0.010280151239411332,0.0145340387186791,23.884323358535767
94,aqua_rat_test_93,8,1,0,0.92,fixed,D,D,1,118,6006,6124,"[""D""]",15,0.008442239989528479,0.0136619963955584,32.99349617958069
95,aqua_rat_test_94,8,1,0,0.92,fixed,A,A,1,137,9077,9214,"[""A""]",16,0.010868395138087312,0.0171501656880413,89.62355303764343
96,aqua_rat_test_95,8,1,0,0.92,fixed,A,A,1,138,8213,8351,"[""A""]",16,0.009781009242436984,0.0165688041392941,56.71519422531128
97,aqua_rat_test_96,8,4,0,0.92,fixed,C,C,1,112,4167,4279,"[""C"", ""C"", ""C"", ""C""]",11,0.008918713714475777,0.0146503110284286,13.423368692398071
98,aqua_rat_test_97,8,2,0,0.92,fixed,E,E,1,145,6760,6905,"[""E"", ""E""]",15,0.011598790266083696,0.0168594849136678,27.666645288467407
99,aqua_rat_test_98,8,3,0,0.92,fixed,D,D,1,149,4390,4539,"[""D"", ""D"", ""D""]",12,0.009168450772578895,0.0139526771699319,16.570468187332153
100,aqua_rat_test_99,8,2,0,0.92,fixed,E,E,1,131,5461,5592,"[""E"", ""E""]",13,0.009871397027060424,0.0139526771699319,22.663838386535645
101,aqua_rat_test_100,8,4,0,0.92,fixed,A,A,1,119,4158,4277,"[""A"", ""A"", ""A"", ""A""]",9,0.008463303222593763,0.0130806348468112,15.134816408157349
102,aqua_rat_test_101,8,1,0,0.92,fixed,C,C,1,135,7187,7322,"[""C""]",16,0.00968217876232751,0.0165688041392941,41.06829285621643
103,aqua_rat_test_102,8,3,0,0.92,fixed,D,D,1,124,7568,7692,"[""D"", ""D"", ""D""]",14,0.013527933548189361,0.0198825649671531,26.578992128372192
104,aqua_rat_test_103,8,1,0,0.92,fixed,E,E,1,134,7711,7845,"[""E""]",16,0.009834228113240289,0.0168594849136678,45.34375333786011
105,aqua_rat_test_104,8,1,0,0.92,fixed,A,E,0,167,5758,5925,"[""E""]",15,0.009322623808993201,0.0142433579443055,29.095593214035034
