iteration,question_id,num_detected_t0.10,num_same_answer_t0.10,same_answer_perc_t0.10,num_detected_t0.20,num_same_answer_t0.20,same_answer_perc_t0.20,num_detected_t0.30,num_same_answer_t0.30,same_answer_perc_t0.30,num_detected_t0.40,num_same_answer_t0.40,same_answer_perc_t0.40,num_detected_t0.50,num_same_answer_t0.50,same_answer_perc_t0.50,num_detected_t0.60,num_same_answer_t0.60,same_answer_perc_t0.60,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90
1,index_0,86,86,100.00,86,86,100.00,86,86,100.00,86,86,100.00,86,86,100.00,86,86,100.00,86,86,100.00,85,85,100.00,47,47,100.00
2,index_1,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,120,43,35.83,109,36,33.03
3,index_2,57,57,100.00,57,57,100.00,56,56,100.00,56,56,100.00,56,56,100.00,56,56,100.00,55,55,100.00,53,53,100.00,21,21,100.00
4,index_3,89,55,61.80,89,55,61.80,89,55,61.80,89,55,61.80,89,55,61.80,89,55,61.80,89,55,61.80,88,54,61.36,62,40,64.52
5,index_4,85,85,100.00,85,85,100.00,85,85,100.00,85,85,100.00,85,85,100.00,83,83,100.00,82,82,100.00,69,69,100.00,25,25,100.00
6,index_5,51,51,100.00,51,51,100.00,51,51,100.00,51,51,100.00,51,51,100.00,51,51,100.00,51,51,100.00,48,48,100.00,38,38,100.00
7,index_6,79,79,100.00,79,79,100.00,79,79,100.00,79,79,100.00,79,79,100.00,79,79,100.00,76,76,100.00,71,71,100.00,28,28,100.00
8,index_7,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,104,104,100.00,103,103,100.00,74,74,100.00
9,index_8,102,39,38.24,102,39,38.24,102,39,38.24,102,39,38.24,102,39,38.24,102,39,38.24,102,39,38.24,99,39,39.39,59,20,33.90
10,index_9,103,88,85.44,103,88,85.44,103,88,85.44,103,88,85.44,103,88,85.44,103,88,85.44,103,88,85.44,99,85,85.86,81,67,82.72
11,index_10,64,64,100.00,64,64,100.00,64,64,100.00,64,64,100.00,64,64,100.00,64,64,100.00,64,64,100.00,60,60,100.00,37,37,100.00
12,index_11,77,77,100.00,77,77,100.00,77,77,100.00,77,77,100.00,77,77,100.00,76,76,100.00,74,74,100.00,67,67,100.00,34,34,100.00
13,index_12,119,52,43.70,119,52,43.70,119,52,43.70,119,52,43.70,119,52,43.70,119,52,43.70,119,52,43.70,119,52,43.70,98,44,44.90
14,index_13,105,69,65.71,105,69,65.71,105,69,65.71,105,69,65.71,105,69,65.71,104,68,65.38,104,68,65.38,101,66,65.35,56,32,57.14
