iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
9,index_8,8,4,0,0.8,A,C,0,262,19311,19573,"[""C"", ""C"", ""D"", ""C""]",4,0.06027681445796091,0.0998281401778375,77.59780836105347
11,index_10,8,1,0,0.8,A,A,1,399,7648,8047,"[""A""]",12,0.023149444177868465,0.0375102742284988,25.328850746154785
12,index_11,8,1,0,0.8,D,D,1,174,12298,12472,"[""D""]",20,0.019243230930289477,0.0268250765897033,93.03018164634705
13,index_12,8,1,0,0.8,A,A,1,340,11443,11783,"[""A""]",11,0.02058756728456121,0.0357916760068743,122.33901619911194
15,index_14,8,1,0,0.8,C,C,1,302,5809,6111,"[""C""]",7,0.012000734628519518,0.0322797579018157,30.815688133239746
17,index_16,8,2,0,0.8,C,C,1,158,7373,7531,"[""C"", ""C""]",10,0.014677835232266444,0.026302024957035,28.994754552841187
18,index_17,8,1,0,0.8,B,A,0,245,6792,7037,"[""A""]",8,0.011465202568194624,0.0227153851901665,49.8791024684906
19,index_18,8,1,0,0.8,A,B,0,543,14027,14570,"[""B""]",11,0.025746787111924862,0.04333856384966,155.64714336395264
26,index_25,8,1,0,0.8,D,A,0,372,14796,15168,"[""A""]",13,0.0273795731338719,0.0497646267652992,194.60109400749207
28,index_27,8,1,0,0.8,A,A,1,327,16351,16678,"[""A""]",17,0.025362915445741457,0.0394530374355526,136.787677526474
32,index_31,8,1,0,0.8,C,C,1,156,16385,16541,"[""C""]",11,0.02808198396912641,0.0528282148994994,214.40527772903442
34,index_33,8,1,0,0.8,A,C,0,472,13619,14091,"[""C""]",11,0.024567305280978995,0.041769408951655,149.03056693077087
39,index_38,8,2,0,0.8,B,B,1,243,6324,6567,"[""B"", ""B""]",10,0.013780941058823189,0.0233131584846446,32.536356687545776
41,index_40,8,1,0,0.8,A,A,1,147,5209,5356,"[""A""]",6,0.008420931253877188,0.0197265187177763,38.28015661239624
46,index_45,8,1,0,0.8,C,D,0,98,10548,10646,"[""D""]",6,0.018535938797186312,0.0351191810505865,123.302814245224
53,index_52,8,1,0,0.8,D,A,0,231,14321,14552,"[""A""]",12,0.024114993688963964,0.04333856384966,161.05790615081787
57,index_56,8,1,0,0.8,D,D,1,191,22095,22286,"[""D""]",14,0.04086577037766121,0.0786071882238661,353.7513210773468
70,index_69,8,1,0,0.8,D,C,0,165,16590,16755,"[""C""]",16,0.024258387060545134,0.0399013674064111,144.34825134277344
73,index_72,8,3,0,0.8,C,C,1,187,9043,9230,"[""C"", ""C"", ""C""]",10,0.01910731712306688,0.0274975715459911,36.593984842300415
75,index_74,8,2,0,0.8,B,B,1,639,14732,15371,"[""B"", ""B""]",17,0.030130488674820627,0.0573862362698947,73.90071821212769
76,index_75,8,1,0,0.8,D,B,0,221,10251,10472,"[""B""]",14,0.01780321319727561,0.035268624374206,48.95392179489136
79,index_78,8,1,0,0.8,A,B,0,387,19988,20375,"[""B""]",17,0.03225837664347943,0.054472091459314,222.12025117874146
83,index_82,8,1,0,0.8,A,A,1,193,12871,13064,"[""A""]",21,0.020264194868504965,0.0280206231786595,81.33361482620239
84,index_83,8,5,0,0.8,D,D,1,128,8349,8477,"[""D"", ""D"", ""D"", ""D"", ""D""]",11,0.018138072600543856,0.0322797579018157,25.011375427246094
86,index_85,8,1,0,0.8,A,D,0,335,12102,12437,"[""D""]",11,0.020820314890706394,0.0351191810505865,120.83028554916382
89,index_88,8,1,0,0.8,B,B,1,257,13035,13292,"[""B""]",13,0.02050474680969896,0.0311589329746693,146.71525073051453
94,index_93,8,1,0,0.8,D,A,0,198,15584,15782,"[""A""]",21,0.02433563530694358,0.0411716356571769,163.19561171531677
102,index_101,8,2,0,0.8,D,D,1,439,14569,15008,"[""D"", ""D""]",16,0.024078587337356273,0.0424419039079428,110.01204371452332
107,index_106,8,8,0,0.8,A,B,0,280,7075,7355,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",6,0.024015334339367336,0.0412463573189867,17.541184902191162
111,index_110,8,1,0,0.8,D,B,0,344,14781,15125,"[""B""]",13,0.02542859239613542,0.0444593887768064,165.8018856048584
112,index_111,8,1,0,0.8,A,A,1,248,12306,12554,"[""A""]",23,0.021098169962654158,0.0324292012254352,72.03030729293823
116,index_115,8,1,0,0.8,B,A,0,268,16716,16984,"[""A""]",10,0.029832876067781736,0.0555181947246506,228.40717363357544
117,index_116,8,1,0,0.8,D,A,0,226,17989,18215,"[""A""]",9,0.032442790657359645,0.0614959276694313,281.861004114151
120,index_119,8,6,0,0.8,A,A,1,122,17818,17940,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",5,0.03514476415997058,0.0621684226257192,70.53876686096191
133,index_132,8,1,0,0.8,A,A,1,250,20136,20386,"[""A""]",14,0.03516933631605411,0.0656803407307778,284.87555027008057
134,index_133,8,1,0,0.8,A,A,1,141,14012,14153,"[""A""]",14,0.021010067095004428,0.0360905626541134,127.80780386924744
141,index_140,8,1,0,0.8,D,B,0,100,11055,11155,"[""B""]",14,0.01739900679462467,0.0298139430620937,105.10303688049316
146,index_145,8,1,0,0.8,C,A,0,307,10109,10416,"[""A""]",13,0.016865303019165983,0.0317567062691473,82.55058455467224
150,index_149,8,1,0,0.8,B,D,0,253,18409,18662,"[""D""]",18,0.02870142706053668,0.0487932451617724,192.84984612464905
152,index_151,8,6,0,0.8,B,B,1,195,10582,10777,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",13,0.022291785971749113,0.0472240902637675,34.517943143844604
155,index_154,8,2,0,0.8,B,B,1,430,10133,10563,"[""B"", ""B""]",9,0.022715806869973636,0.0496151834416797,46.277878284454346
161,index_160,8,1,0,0.8,C,A,0,299,11634,11933,"[""A""]",9,0.020068588324006653,0.0348202944033475,120.98089456558228
168,index_167,8,4,0,0.8,A,B,0,134,11483,11617,"[""B"", ""B"", ""B"", ""B""]",12,0.02195985125962338,0.0448329970858552,38.05251860618591
172,index_171,8,1,0,0.8,D,D,1,244,7382,7626,"[""D""]",10,0.012529709111115062,0.0298886647239035,45.903388023376465
178,index_177,8,2,0,0.8,C,C,1,237,12573,12810,"[""C"", ""C""]",15,0.020026870850392172,0.03713666591945,69.7669734954834
179,index_178,8,1,0,0.8,B,A,0,305,11338,11643,"[""A""]",15,0.01850011656152663,0.0392288724501233,70.66428685188293
184,index_183,8,1,0,0.8,C,D,0,439,12419,12858,"[""D""]",12,0.022948089794088404,0.0393783157737428,136.881694316864
189,index_188,8,2,0,0.8,B,A,0,87,7011,7098,"[""A"", ""A""]",10,0.010451519556919052,0.0239109317791227,37.166344165802
196,index_195,8,2,0,0.8,D,D,1,224,21790,22014,"[""D"", ""D""]",15,0.03723317924766178,0.0686692072031681,303.94864416122437
197,index_196,8,1,0,0.8,D,C,0,270,16701,16971,"[""C""]",13,0.026298714554641573,0.0446088321004258,169.01933932304382
