iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,33,33,1,197,37827,30799,7012,38024,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",0.06271690418118514,0.1172024882274286,121.82830452919006
2,index_1,8,8,23,23,1,229,69996,64240,5740,70225,"[""23"", ""23"", ""23"", ""23"", ""121"", ""23"", ""23"", ""23""]",0.10548524360876667,0.2085925236904831,288.90058302879333
3,index_2,8,8,116,116,1,175,30132,26260,3856,30307,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",0.05151963370815653,0.0872623684669495,96.70108652114868
4,index_3,8,8,809,809,1,148,47657,44512,3129,47805,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",0.08448406083287165,0.1562699843032381,142.60938358306885
5,index_4,8,8,197,541,0,144,196962,192403,4543,197106,"[""8603"", ""541"", ""273"", ""541"", ""253"", ""273"", ""541"", ""197""]",0.3380717889565916,0.6697285041567351,813.134886264801
6,index_5,8,8,385,24,0,131,144961,139644,5301,145092,"[""24"", ""24"", ""12"", ""24"", ""24"", ""16"", ""24"", ""24""]",0.22196070619399855,0.429742456833905,656.0745320320129
7,index_6,8,8,371,371,1,126,205879,201592,4271,206005,"[""351"", ""369"", ""503"", ""405"", ""371"", ""31"", ""371"", ""403""]",0.30003773679248213,0.6063600953432939,1031.7031672000885
8,index_7,8,8,601,601,1,122,125637,120734,4887,125759,"[""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601""]",0.17695814949964164,0.3437009476193244,623.1182260513306
9,index_8,8,8,25,25,1,100,51153,47712,3425,51253,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",0.06993925231268866,0.1273763153305041,223.42018675804138
10,index_9,8,8,55,55,1,111,40849,37581,3252,40960,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",0.06019723991420767,0.1274344514853788,146.17718648910522
11,index_10,8,8,540,540,1,99,41395,36137,5242,41494,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",0.06563164479598312,0.1172024882274286,138.2096574306488
12,index_11,8,8,45,45,1,189,67439,62803,4620,67628,"[""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45""]",0.08431042398207392,0.1570838904714842,383.57883644104004
13,index_12,8,8,204,204,1,184,22550,17474,5060,22734,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",0.03576118624248365,0.0688332073716644,80.99939370155334
14,index_13,8,8,699,699,1,121,140810,136180,4614,140931,"[""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""629"", ""699""]",0.15920474362817552,0.3341084820649962,982.2274231910706
15,index_14,8,8,294,294,1,104,49139,45180,3943,49243,"[""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294""]",0.07929837542979468,0.1595256089762223,159.30948090553284
16,index_15,8,8,110,110,1,115,79194,74842,4336,79309,"[""110"", ""110"", ""179"", ""155"", ""155"", ""155"", ""134"", ""110""]",0.1081208881611693,0.2064996221149933,396.15209460258484
17,index_16,8,8,721,721,1,148,75148,70035,5097,75296,"[""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721""]",0.09844009377102116,0.1962676588570432,405.69014620780945
18,index_17,8,8,315,9,0,103,196454,193836,2602,196557,"[""72"", ""30"", ""9"", ""9"", ""15"", ""15"", ""3"", ""183""]",0.31260535063033734,0.5786872856229289,912.6860535144806
19,index_18,8,8,468,468,1,103,87140,80260,6864,87243,"[""429"", ""468"", ""468"", ""468"", ""468"", ""429"", ""468"", ""468""]",0.09805561863453263,0.2023138189640136,583.3691976070404
20,index_19,8,8,902,1022,0,150,166660,163365,3279,166810,"[""1022"", ""1022"", ""122"", ""1024"", ""1022"", ""1022"", ""1022"", ""1024""]",0.265865657659363,0.5581070867972793,728.6996052265167
21,index_20,8,8,211,211,1,173,205394,200799,4579,205567,"[""211"", ""211"", ""211"", ""211"", ""101"", ""211"", ""211"", ""211""]",0.2829017912460854,0.5739201209232021,1113.6984841823578
22,index_21,8,8,80,80,1,112,143435,139607,3812,143547,"[""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80""]",0.20319313127820365,0.3827684436951339,726.1513707637787
23,index_22,8,8,480,480,1,134,83634,78517,5101,83768,"[""480"", ""480"", ""480"", ""480"", ""480"", ""480"", ""80"", ""480""]",0.12300635695679586,0.2078948898319865,374.95208406448364
24,index_23,8,8,236,236,1,121,85995,83292,2687,86116,"[""236"", ""212"", ""236"", ""216"", ""236"", ""236"", ""236"", ""236""]",0.09471488452526171,0.1924888087901866,624.2611382007599
25,index_24,8,8,73,73,1,162,42970,37489,5465,43132,"[""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73"", ""73""]",0.06879795336507728,0.1465031102842857,143.09468126296997
26,index_25,8,8,113,113,1,405,150280,145581,4683,150685,"[""113"", ""113"", ""113"", ""3268"", ""113"", ""3268"", ""113"", ""113""]",0.18967197876072098,0.3864891576071159,906.7343091964722
27,index_26,8,8,127,55,0,211,215539,210649,4874,215750,"[""17"", ""127"", ""106"", ""55"", ""37"", ""47"", ""67"", ""23""]",0.3481149046197141,0.548514621242951,1001.1148445606232
28,index_27,8,8,104,104,1,202,89922,84392,5514,90124,"[""104"", ""104"", ""104"", ""47"", ""104"", ""104"", ""104"", ""104""]",0.10958243318751523,0.2120225568280913,535.2343878746033
29,index_28,8,8,104,104,1,127,105060,100447,4597,105187,"[""104"", ""107"", ""104"", ""104"", ""104"", ""104"", ""104"", ""104""]",0.1182490320112466,0.2331841172024882,738.1227276325226
