iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,A,A,1,178,28220,23292,4912,28398,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.040627491978809514,0.0892771661081857,102.33891248703003
2,aqua_rat_test_1,8,8,E,E,1,158,34282,31661,2605,34440,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.05480910073021656,0.0835327908089995,117.11897945404053
3,aqua_rat_test_2,8,8,A,A,1,100,10116,8016,2078,10216,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.013796169673961233,0.0208831977022498,45.26028823852539
4,aqua_rat_test_3,8,8,B,B,1,146,15463,13310,2137,15609,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.025306991518064374,0.0451172809956916,49.147669076919556
5,aqua_rat_test_4,8,8,B,B,1,111,5799,4097,1686,5910,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.010334958570303839,0.0205241742460507,17.666107416152954
6,aqua_rat_test_5,8,8,D,D,1,169,13479,11812,1651,13648,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.021547774850506338,0.0418262326471996,43.99712109565735
7,aqua_rat_test_6,8,8,D,D,1,127,12353,10789,1548,12480,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.020236481835370804,0.0359023456199137,39.797698736190796
8,aqua_rat_test_7,8,8,C,C,1,142,7227,5306,1905,7369,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.01224461206989157,0.0230373384394446,23.31071448326111
9,aqua_rat_test_8,8,8,E,E,1,133,20590,18656,1918,20723,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",0.032803654442690955,0.0656414552417424,66.35114645957947
10,aqua_rat_test_9,8,8,D,D,1,120,8428,6577,1833,8548,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.012640308868817625,0.0248922929631402,30.20950984954834
11,aqua_rat_test_10,8,8,B,C,0,163,28046,24732,3298,28209,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.04318286568566245,0.0764719961704164,96.9663896560669
