iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.9,annealing,C,C,1,153,13248,13401,"[""C""]",8,0.013116463764215299,0.0340096506017092,117.11795926094055
2,index_1,16,1,0,0.9,annealing,D,D,1,160,20861,21021,"[""D""]",10,0.026878776646605866,0.0515667693738736,333.38559889793396
3,index_2,16,1,0,0.9,annealing,C,C,1,184,17377,17561,"[""C""]",17,0.018041243114149196,0.0472065577582698,65.39682412147522
4,index_3,16,1,0,0.9,annealing,B,D,0,158,15233,15391,"[""D""]",10,0.013680049201545762,0.0446485669437823,97.84943318367004
5,index_4,16,1,0,0.9,annealing,C,C,1,390,20840,21230,"[""C""]",23,0.03252349186545618,0.0680193012034183,56.35496473312378
6,index_5,16,1,0,0.9,annealing,C,C,1,204,16378,16582,"[""C""]",15,0.01608329896247098,0.0381373175978141,133.0586588382721
7,index_6,16,1,0,0.9,annealing,C,C,1,196,13301,13497,"[""C""]",12,0.012808937031339602,0.0385442706819371,85.1762113571167
8,index_7,16,1,0,0.9,annealing,D,D,1,476,20332,20808,"[""D""]",18,0.022575006008548122,0.0723795128190221,98.704354763031
9,index_8,16,1,0,0.9,annealing,A,A,1,267,18204,18471,"[""A""]",13,0.020295352504095008,0.0392419045404337,201.85748314857483
10,index_9,16,1,0,0.9,annealing,C,C,1,153,12247,12400,"[""C""]",10,0.01186897145827739,0.0348816929248299,94.62081503868103
11,index_10,16,1,0,0.9,annealing,A,A,1,404,12867,13271,"[""A""]",13,0.0197674315433533,0.0483692808557641,44.452110290527344
12,index_11,16,1,0,0.9,annealing,D,D,1,179,20749,20928,"[""D""]",18,0.018173112485168844,0.0505784547410034,115.02184009552002
13,index_12,16,1,0,0.9,annealing,A,B,0,345,18522,18867,"[""B""]",12,0.02156754151559618,0.0465089238997732,217.29651379585266
14,index_13,16,1,0,0.9,annealing,D,A,0,153,10929,11082,"[""A""]",12,0.010768635411308805,0.0372071391198186,51.861005544662476
15,index_14,16,1,0,0.9,annealing,C,C,1,307,16792,17099,"[""C""]",20,0.019325468199394808,0.0454624731120283,68.77396893501282
16,index_15,16,1,0,0.9,annealing,B,D,0,226,21366,21592,"[""D""]",9,0.025969115847173027,0.0485436893203883,307.27644062042236
17,index_16,16,1,0,0.9,annealing,C,C,1,163,12231,12394,"[""C""]",11,0.011831196943201313,0.0362769606418231,60.199474811553955
18,index_17,16,1,0,0.9,annealing,B,A,0,250,17209,17459,"[""A""]",14,0.017152883163479935,0.0540666240334863,78.15619778633118
19,index_18,16,1,0,0.9,annealing,A,B,0,548,20274,20822,"[""B""]",12,0.023138171042518828,0.0660426719376779,201.76058149337769
20,index_19,16,13,0,0.9,annealing,A,A,1,203,15826,16029,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",13,0.020670842410635583,0.0549386663566071,42.668129682540894
21,index_20,16,1,0,0.9,annealing,B,B,1,282,14305,14587,"[""B""]",9,0.014866958884769774,0.0430788907621649,113.04156017303467
22,index_21,16,1,0,0.9,annealing,D,C,0,142,11818,11960,"[""C""]",9,0.011580033481892803,0.0398814022440555,53.07356834411621
23,index_22,16,1,0,0.9,annealing,C,B,0,280,20368,20648,"[""B""]",11,0.023359085312914862,0.0427882099877914,253.5065324306488
24,index_23,16,1,0,0.9,annealing,B,A,0,230,23366,23596,"[""A""]",17,0.02389682456132076,0.0453462008022789,248.5849380493164
25,index_24,16,1,0,0.9,annealing,B,B,1,368,18866,19234,"[""B""]",16,0.0208272449109431,0.050462182431254,186.97366547584534
26,index_25,16,1,0,0.9,annealing,D,A,0,377,16929,17306,"[""A""]",11,0.018522453083540995,0.050462182431254,149.76973128318787
27,index_26,16,1,0,0.9,annealing,A,A,1,169,12827,12996,"[""A""]",11,0.012158590216493254,0.0370327306551944,66.1980767250061
28,index_27,16,1,0,0.9,annealing,A,A,1,332,15269,15601,"[""A""]",11,0.015833131976338535,0.0514504970641241,111.17386937141418
29,index_28,16,1,0,0.9,annealing,A,A,1,408,15856,16264,"[""A""]",11,0.017477001005350115,0.052089994767746,131.93073725700378
30,index_29,16,1,0,0.9,annealing,A,C,0,106,14907,15013,"[""C""]",12,0.015435051404844852,0.0305214813092261,148.0144076347351
31,index_30,16,1,0,0.9,annealing,C,A,0,140,18464,18604,"[""A""]",9,0.020142486578416666,0.0368583221905702,217.12668228149414
32,index_31,16,1,0,0.9,annealing,C,D,0,161,24552,24713,"[""D""]",14,0.029267223051657347,0.0554037555956049,367.2856249809265
33,index_32,16,1,0,0.9,annealing,C,A,0,327,14412,14739,"[""A""]",10,0.01640277491941907,0.0425556653682925,139.6548366546631
34,index_33,16,1,0,0.9,annealing,A,A,1,477,21796,22273,"[""A""]",11,0.02750798169573134,0.0584268356490901,311.9246759414673
35,index_34,16,1,0,0.9,annealing,C,C,1,323,15623,15946,"[""C""]",13,0.015919345346715113,0.0505784547410034,111.58278942108154
36,index_35,16,1,0,0.9,annealing,B,B,1,159,21184,21343,"[""B""]",21,0.01930908036160088,0.0497645485727573,155.17236232757568
37,index_36,16,1,0,0.9,annealing,D,C,0,167,17886,18053,"[""C""]",11,0.02145602471489699,0.0400558107086796,241.2950084209442
38,index_37,16,1,0,0.9,annealing,C,C,1,308,14132,14440,"[""C""]",9,0.014532677909029065,0.0463926515900238,97.15889811515808
39,index_38,16,3,0,0.9,annealing,B,B,1,248,17968,18216,"[""B"", ""B"", ""B""]",17,0.028557351736236636,0.0531945817103657,42.93887639045715
40,index_39,16,1,0,0.9,annealing,A,A,1,178,14078,14256,"[""A""]",14,0.013224975421521628,0.0404627637928027,78.3005998134613
41,index_40,16,1,0,0.9,annealing,A,A,1,152,10542,10694,"[""A""]",13,0.010548273474506913,0.0340096506017092,51.973005294799805
42,index_41,16,1,0,0.9,annealing,D,D,1,239,13375,13614,"[""D""]",14,0.013654941195148946,0.0431370269170396,70.59440326690674
43,index_42,16,1,0,0.9,annealing,A,D,0,275,11303,11578,"[""D""]",9,0.01276801550917356,0.0418580315097959,55.80259299278259
44,index_43,16,7,0,0.9,annealing,A,A,1,318,11597,11915,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.02512404837727334,0.0437183884657869,25.468942642211914
45,index_44,16,1,0,0.9,annealing,D,D,1,185,22739,22924,"[""D""]",11,0.026930094828668923,0.0505784547410034,325.47214674949646
46,index_45,16,1,0,0.9,annealing,C,A,0,103,17897,18000,"[""A""]",8,0.021601395313285497,0.0411603976512993,250.3732454776764
47,index_46,16,1,0,0.9,annealing,D,D,1,222,19549,19771,"[""D""]",17,0.020503585527020217,0.0351142375443288,199.94668316841125
48,index_47,16,1,0,0.9,annealing,A,B,0,159,22014,22173,"[""B""]",11,0.025636731117078603,0.0480786000813906,306.3007369041443
49,index_48,16,1,0,0.9,annealing,B,C,0,432,24546,24978,"[""C""]",7,0.0328124903444114,0.0612755072379512,406.22599720954895
50,index_49,16,1,0,0.9,annealing,D,D,1,206,12062,12268,"[""D""]",15,0.013310155836505692,0.0381373175978141,50.67093515396118
51,index_50,16,1,0,0.9,annealing,D,D,1,173,22722,22895,"[""D""]",12,0.02652931339618567,0.0497645485727573,317.7861018180847
52,index_51,16,1,0,0.9,annealing,C,C,1,257,16809,17066,"[""C""]",15,0.016246037107795295,0.0470902854485204,102.93763756752014
53,index_52,16,1,0,0.9,annealing,D,B,0,236,21350,21586,"[""B""]",11,0.023969313245198347,0.0462182431253996,265.42906188964844
54,index_53,16,1,0,0.9,annealing,A,C,0,190,13673,13863,"[""C""]",11,0.01332314963448994,0.0436021161560374,66.25036287307739
55,index_54,16,1,0,0.9,annealing,B,D,0,208,18952,19160,"[""D""]",7,0.02105659342665843,0.0462182431253996,234.06808710098267
56,index_55,16,1,0,0.9,annealing,A,A,1,264,28566,28830,"[""A""]",13,0.030901241490005994,0.0576710656357188,366.4843258857727
57,index_56,16,1,0,0.9,annealing,D,C,0,196,33620,33816,"[""C""]",15,0.046734905549808546,0.091273763153305,657.8417158126831
58,index_57,16,1,0,0.9,annealing,A,D,0,92,16053,16145,"[""D""]",16,0.013815145717560295,0.0374978198941922,107.26701426506042
59,index_58,16,1,0,0.9,annealing,A,A,1,141,15260,15401,"[""A""]",16,0.01403129253531599,0.0401139468635544,69.05193901062012
60,index_59,16,1,0,0.9,annealing,C,C,1,209,16546,16755,"[""C""]",10,0.017538232773691112,0.0390674960758095,160.7747483253479
61,index_60,16,1,0,0.9,annealing,C,C,1,231,12720,12951,"[""C""]",11,0.01344881264694058,0.0366839137259461,106.81711888313293
62,index_61,16,1,0,0.9,annealing,C,C,1,257,20091,20348,"[""C""]",12,0.02180612105465765,0.0447648392535318,223.2726583480835
63,index_62,16,1,0,0.9,annealing,D,D,1,252,27362,27614,"[""D""]",16,0.03405691722983211,0.0644148596011859,436.10232305526733
64,index_63,16,1,0,0.9,annealing,C,A,0,246,29839,30085,"[""A""]",12,0.03590454788567362,0.0678448927387942,464.14683771133423
65,index_64,16,1,0,0.9,annealing,A,A,1,297,18884,19181,"[""A""]",9,0.021555807258955076,0.0438346607755363,221.4104130268097
66,index_65,16,6,0,0.9,annealing,C,C,1,129,11299,11428,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",10,0.020785674154961242,0.0393000406953084,21.011751413345337
67,index_66,16,1,0,0.9,annealing,D,D,1,247,15838,16085,"[""D""]",11,0.015243418001095747,0.0427882099877914,108.82409381866455
68,index_67,16,1,0,0.9,annealing,B,B,1,165,16895,17060,"[""B""]",15,0.015010103045737994,0.0418580315097959,101.29602670669556
69,index_68,16,1,0,0.9,annealing,A,A,1,207,27249,27456,"[""A""]",12,0.030081465045595397,0.055578164060229,365.97024631500244
70,index_69,16,1,0,0.9,annealing,D,C,0,170,20731,20901,"[""C""]",10,0.026003153696301518,0.0495320039532585,316.24493193626404
71,index_70,16,1,0,0.9,annealing,C,C,1,176,13694,13870,"[""C""]",18,0.01375011913589354,0.0362769606418231,64.13002157211304
72,index_71,16,1,0,0.9,annealing,B,B,1,204,17966,18170,"[""B""]",11,0.01860983350204777,0.0453462008022789,175.11377120018005
73,index_72,16,1,0,0.9,annealing,C,C,1,192,9369,9561,"[""C""]",11,0.01129098322955902,0.0288355328178594,39.5214524269104
74,index_73,16,1,0,0.9,annealing,A,A,1,174,15095,15269,"[""A""]",13,0.01471868907360134,0.0340096506017092,123.80917000770569
75,index_74,16,1,0,0.9,annealing,B,B,1,644,15126,15770,"[""B""]",15,0.023185685295481283,0.0697633858496599,64.04585862159729
76,index_75,16,1,0,0.9,annealing,D,D,1,226,19555,19781,"[""D""]",14,0.017840657301341673,0.0523225393872449,133.81109380722046
77,index_76,16,1,0,0.9,annealing,A,C,0,576,16903,17479,"[""C""]",11,0.02084922237550461,0.0586012441137143,176.07464933395386
78,index_77,16,1,0,0.9,annealing,C,C,1,520,12998,13518,"[""C""]",9,0.015943332547985228,0.0548805302017324,94.37633037567139
79,index_78,16,1,0,0.9,annealing,A,A,1,392,19492,19884,"[""A""]",14,0.021800675882698094,0.050462182431254,205.82624578475952
80,index_79,16,1,0,0.9,annealing,A,B,0,124,27342,27466,"[""B""]",11,0.03394619335664611,0.0655775826986803,442.9851553440094
81,index_80,16,1,0,0.9,annealing,D,B,0,253,20792,21045,"[""B""]",12,0.024151171370825928,0.0439509330852857,268.59799671173096
82,index_81,16,1,0,0.9,annealing,A,B,0,809,13068,13877,"[""B""]",11,0.018690690247258397,0.0706935643276553,104.13903713226318
83,index_82,16,1,0,0.9,annealing,A,A,1,198,22388,22586,"[""A""]",19,0.020033706764362412,0.0455787454217777,151.30466771125793
84,index_83,16,14,0,0.9,annealing,D,D,1,133,13378,13511,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",14,0.02354172007426754,0.0427300738329167,24.95794939994812
85,index_84,16,1,0,0.9,annealing,C,C,1,293,15087,15380,"[""C""]",10,0.01768684443014615,0.0380210452880646,162.71781826019287
86,index_85,16,1,0,0.9,annealing,A,C,0,340,19780,20120,"[""C""]",12,0.023078896546856967,0.0465089238997732,242.10814905166626
87,index_86,16,1,0,0.9,annealing,C,C,1,314,10767,11081,"[""C""]",10,0.01203134036014879,0.0418580315097959,75.50608468055725
88,index_87,16,8,0,0.9,annealing,A,A,1,173,14485,14658,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",10,0.02696416249091392,0.0497064124178826,26.852565050125122
89,index_88,16,1,0,0.9,annealing,B,C,0,262,19266,19528,"[""C""]",9,0.022072102918692688,0.0422068484390442,234.01268434524536
90,index_89,16,1,0,0.9,annealing,B,C,0,209,18834,19043,"[""C""]",11,0.023194828491801697,0.0432532992267891,263.54977774620056
91,index_90,16,1,0,0.9,annealing,B,C,0,240,18317,18557,"[""C""]",11,0.019914872484475588,0.0431370269170396,197.52721786499023
92,index_91,16,1,0,0.9,annealing,C,C,1,209,29365,29574,"[""C""]",10,0.040999505375780024,0.0799372129527352,555.0804858207703
93,index_92,16,1,0,0.9,annealing,B,D,0,402,14978,15380,"[""D""]",15,0.017591259715824793,0.050462182431254,73.06564021110535
94,index_93,16,1,0,0.9,annealing,D,C,0,203,17853,18056,"[""C""]",12,0.01684544597211098,0.0474391023777687,136.77774381637573
95,index_94,16,1,0,0.9,annealing,C,C,1,262,23095,23357,"[""C""]",11,0.028775191731800945,0.0540666240334863,346.9670076370239
96,index_95,16,1,0,0.9,annealing,A,A,1,157,19477,19634,"[""A""]",18,0.018873000236403863,0.0362769606418231,170.84225225448608
97,index_96,16,5,0,0.9,annealing,A,A,1,277,15325,15602,"[""A"", ""A"", ""A"", ""A"", ""A""]",15,0.028647690803087936,0.0577873379454683,32.06166124343872
98,index_97,16,1,0,0.9,annealing,D,C,0,182,18056,18238,"[""C""]",15,0.020089604153893263,0.036102552177199,207.66072177886963
99,index_98,16,1,0,0.9,annealing,A,B,0,365,20895,21260,"[""B""]",12,0.02582225266028559,0.0468577408290216,290.7692964076996
100,index_99,16,1,0,0.9,annealing,B,B,1,231,17323,17554,"[""B""]",11,0.01896663233603143,0.0409278530318004,185.01648783683777
101,index_100,16,1,0,0.9,annealing,A,A,1,227,11696,11923,"[""A""]",10,0.012332738170012984,0.0349979652345794,98.76739406585693
102,index_101,16,1,0,0.9,annealing,D,D,1,444,11007,11451,"[""D""]",13,0.017702868953675926,0.0511598162897506,42.93073773384094
103,index_102,16,1,0,0.9,annealing,C,A,0,350,18187,18537,"[""A""]",15,0.019923849867110467,0.0455787454217777,177.54633808135986
104,index_103,16,1,0,0.9,annealing,A,B,0,225,30281,30506,"[""B""]",16,0.03728137021245142,0.0710423812569036,484.61254811286926
105,index_104,16,1,0,0.9,annealing,D,D,1,245,15724,15969,"[""D""]",12,0.015506065594020941,0.050462182431254,76.88855409622192
106,index_105,16,1,0,0.9,annealing,C,A,0,305,18688,18993,"[""A""]",11,0.02118790028459871,0.0437183884657869,213.24679589271545
