token,frequency,mean_entropy,std_dev_entropy
 why,6,3.2407550038293387,0.22301604724645796
 deciding,6,3.177532824020821,0.2430644909289876
 Did,7,3.1044058579920657,0.35354346579205936
 re,15,3.0610751567660333,0.406845082731927
Another,5,2.938789716046249,0.4492252239281129
Again,10,2.8885913502805045,0.6437861657798106
 according,7,2.876157875297146,0.6033955123747087
 consider,18,2.8690057390299297,0.6990076462298712
Which,8,2.8413608645407677,0.4905084529775148
 looking,21,2.840099259465466,0.2866399633998147
 denote,9,2.831837984406387,0.4044575082356437
 Yeah,6,2.7900261112309965,0.39883755719005903
 Alternatively,15,2.7341943166031863,0.5378582324007447
 maybe,79,2.704566343210832,0.49469037492958173
Yes,12,2.679684784115158,0.49333806660124935
 give,9,2.617935504491553,0.3302524002521575
 another,47,2.600648562398861,0.7212025921141603
 actually,6,2.5980149229726446,0.5927728053633243
 adding,16,2.596181766318659,0.8001225342250549
 considering,21,2.5903970977686206,0.6878298519394979
 since,22,2.5844385896739284,0.8368760495387529
Starting,10,2.5773112199076555,0.8059297115240087
 Maybe,26,2.5652378645214586,0.556104333967966
 allows,6,2.5631719966734847,0.2952217487543496
 might,10,2.539374728455423,0.6441166213754207
 mis,6,2.529305971365225,0.5164691084798786
 regardless,5,2.496873406046854,0.5241974947640529
 sometimes,8,2.4952528748384273,0.6695184337607922
 yes,13,2.471740858822044,0.5353936180764993
 whether,13,2.447359265343173,0.3977930949671657
 fit,6,2.4416234610828798,0.8368303273530509
 No,17,2.439245706684566,0.7773639609274641
 Yes,7,2.4296355668940515,1.0005840191620252
 let,80,2.4218877688463274,0.849357589035761
 considered,5,2.4216812634635096,0.8090048888674365
 try,42,2.421032316266921,0.8745863989112267
 check,37,2.4033618076387806,0.705570996357448
 model,6,2.400721744566256,0.8294728927747256
Let,74,2.398734426163783,0.66777108264281
 yeah,6,2.382058316609805,0.5867567824729887
 Wait,74,2.3697297951703606,0.6188589192029821
 Because,47,2.3603444670390816,0.7551068118121443
 Oh,42,2.3554003067126494,0.6747444211919238
 Now,8,2.3526126714091466,0.6691749716522778
 if,84,2.352111968475511,0.821062233958666
≈,6,2.34296570200905,0.663297717497935
 wait,127,2.341432114616234,0.8299898371922865
 earlier,7,2.3368054619110348,1.063944148038759
 had,5,2.32107541390886,0.3238021218456347
 already,12,2.288684805604814,0.6851533014885283
 differently,8,2.258022899062908,0.6634647666442905
 hundreds,5,2.2546565055422763,0.4415881062638992
 If,33,2.248810431881778,0.9930811864277796
 compute,32,2.247211931551793,0.7030800675256325
 For,12,2.2403918334649044,0.8447284628278949
 done,8,2.2403410274811577,1.1334577157969958
 lasts,8,2.2382195003464327,0.9464155006569136
 That,43,2.236068592847943,0.7201625074525915
 Looking,5,2.2282458677695423,0.6559682209167692
 made,63,2.212505080881808,0.6802699635103607
 setup,16,2.201766799560464,0.632845591330651
 thing,5,2.201067788696222,0.3935947304854344
 perhaps,273,2.1907079667341436,0.8520369084530862
 double,16,2.1898250941103723,0.6430492804392615
 arranged,5,2.186323398500074,1.2826123775953155
 Or,18,2.1850053629200104,0.6214201679991651
 seems,14,2.1755796721438694,0.38792756299400805
 And,6,2.1658941091926405,0.7582386098198313
Numbers,6,2.155382078022985,1.090832552740154
 did,17,2.155037286134724,0.7565935260907588
 entire,6,2.1518934892924935,0.8251694650021547
 over,16,2.1510783736319157,0.814528921790632
 some,16,2.145922139319838,0.8745055577093814
------------<newline>,5,2.1436029039145534,0.47232135513478524
 close,5,2.1346749878446394,1.1120733208996973
 once,6,2.1280567986115257,0.8723600976367225
 <newline><newline>,34,2.111934647317181,0.8107785985293638
Hmm,61,2.111873069637111,0.6849642364850285
 attending,11,2.1097236873160625,0.42766406468023926
 making,22,2.103258486088055,0.9232500869454647
 being,10,2.0964549410168187,1.1267019485830303
 subtraction,25,2.093730650253191,0.6973324760587908
 calculation,21,2.0876824134862715,0.74548902595423
But,61,2.0821293260608127,0.6683250720446626
 Correct,6,2.0790924509353936,0.7373992328827064
Then,15,2.0769888265411884,0.7833268320027336
 When,5,2.0698997684533706,1.2861514799834257
This,5,2.0691514715433614,0.555392369689133
 Since,24,2.068070055539498,0.9554565614173478
 starting,12,2.060099370775181,1.1875475363276569
 subtract,49,2.0531897611075007,1.031242194621196
 when,55,2.0503840973247875,0.9663203606171794
 break,14,2.042682890502879,0.8285255573174028
 count,8,2.0416796188964934,0.6753750070974277
...,7,2.0383763822191314,0.8038661170677722
 shape,5,2.0366459739888,0.5399324619451483
 too,8,2.032928873568731,0.8658028536109449
 my,13,2.0316251639355785,0.41053876365071945
 listed,11,2.0269741506848518,0.35324003971612095
 just,12,2.015410789321057,1.0002147278123767
