iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.76,C,C,1,148,9235,9383,"[""C""]",10,0.012953875397982607,0.0291414481058058,59.02319550514221
2,index_1,10,1,0,0.76,D,B,0,155,11107,11262,"[""B""]",8,0.016952210160011052,0.0302622730329522,110.17456984519958
3,index_2,10,1,0,0.76,C,C,1,179,10667,10846,"[""C""]",13,0.015337705606070928,0.0369872225958305,56.93897891044617
4,index_3,10,1,0,0.76,B,B,1,153,11301,11454,"[""B""]",11,0.01573124990619441,0.0313830979600986,90.93736147880554
5,index_4,10,1,0,0.76,C,C,1,385,11769,12154,"[""C""]",14,0.019025728060939894,0.0381827691847866,90.44120860099792
6,index_5,10,1,0,0.76,C,C,1,199,7669,7868,"[""C""]",7,0.012088931803313418,0.034371964432489,42.33825898170471
7,index_6,10,1,0,0.76,C,C,1,191,21366,21557,"[""C""]",15,0.03493416297376747,0.0650825674362998,274.2565405368805
8,index_7,10,1,0,0.76,D,D,1,471,21721,22192,"[""D""]",14,0.0338760413313336,0.0608981543749532,228.08231115341187
9,index_8,10,1,0,0.76,A,A,1,262,10702,10964,"[""A""]",9,0.016615219792758415,0.0319061495927669,90.87518262863159
10,index_9,10,1,0,0.76,C,C,1,148,10834,10982,"[""C""]",8,0.016526072872752328,0.0289172831203765,103.79812550544739
11,index_10,10,3,0,0.76,A,A,1,399,10782,11181,"[""A"", ""A"", ""A""]",14,0.024714861243067928,0.0457296570275722,39.375652551651
12,index_11,10,1,0,0.76,D,D,1,174,12610,12784,"[""D""]",16,0.018232952980222303,0.0325786445490547,78.13533544540405
13,index_12,10,1,0,0.76,A,A,1,340,13043,13383,"[""A""]",11,0.021803606962964298,0.0372861092430695,129.06948900222778
14,index_13,10,1,0,0.76,D,D,1,148,8382,8530,"[""D""]",12,0.013398454267602437,0.0289172831203765,36.679747343063354
15,index_14,10,1,0,0.76,C,C,1,302,9068,9370,"[""C""]",7,0.01458266941395531,0.0388552641410745,70.89754247665405
16,index_15,10,1,0,0.76,B,B,1,221,16077,16298,"[""B""]",8,0.02920968393506121,0.0555181947246506,231.05172085762024
17,index_16,10,2,0,0.76,C,C,1,158,7992,8150,"[""C"", ""C""]",11,0.013543806558348933,0.0289172831203765,37.96855568885803
18,index_17,10,1,0,0.76,B,A,0,245,12039,12284,"[""A""]",12,0.01784231899331947,0.0304864380183815,107.53591179847717
19,index_18,10,1,0,0.76,A,B,0,543,13979,14522,"[""B""]",12,0.024357495774238375,0.0443846671149966,136.52158761024475
20,index_19,10,4,0,0.76,A,A,1,198,9196,9394,"[""A"", ""A"", ""A"", ""A""]",11,0.020949680917568006,0.0363147276395426,26.982927560806274
21,index_20,10,1,0,0.76,B,B,1,277,14510,14787,"[""B""]",11,0.02356768806894949,0.0416199656280356,154.71573686599731
22,index_21,10,1,0,0.76,D,C,0,137,8231,8368,"[""C""]",11,0.013107359883242626,0.0310842113128595,35.37429714202881
23,index_22,10,1,0,0.76,C,D,0,275,14964,15239,"[""D""]",9,0.025737542363271682,0.0472240902637675,182.54525756835938
24,index_23,10,1,0,0.76,B,A,0,225,19298,19523,"[""A""]",16,0.029556459365377156,0.05260404991407,208.83869671821594
25,index_24,10,1,0,0.76,B,B,1,363,16300,16663,"[""B""]",15,0.027349638594205052,0.047672420234626,182.76107931137085
26,index_25,10,1,0,0.76,D,A,0,372,14985,15357,"[""A""]",13,0.024509203218012855,0.0410221923335575,148.70106649398804
27,index_26,10,1,0,0.76,A,A,1,164,10686,10850,"[""A""]",10,0.015781362478141204,0.0295897780766644,93.21953678131104
28,index_27,10,1,0,0.76,A,A,1,327,16127,16454,"[""A""]",13,0.024711295244605434,0.0478218635582455,147.49797677993774
29,index_28,10,1,0,0.76,A,D,0,403,15252,15655,"[""D""]",11,0.02516808871863142,0.0427407905551819,154.54079508781433
30,index_29,10,1,0,0.76,A,B,0,101,9707,9808,"[""B""]",12,0.013424544676054029,0.0216692819248299,73.63436603546143
