iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,1,0,0.9,annealing,33,33,1,194,12672,12866,"[""33""]",18,0.01442360372291408,0.0284867158886111,92.07234311103821
2,index_1,8,1,0,0.9,annealing,23,23,1,226,17509,17735,"[""23""]",13,0.02220562853284354,0.0402883553281786,242.9829182624817
3,index_2,8,1,0,0.9,annealing,116,116,1,172,9374,9546,"[""116""]",13,0.010870723363297878,0.0240102319632579,68.2973256111145
4,index_3,8,1,0,0.9,annealing,809,809,1,145,10352,10497,"[""809""]",11,0.012982485110421717,0.0228475088657635,120.22696232795715
5,index_4,8,1,0,0.9,annealing,197,541,0,141,26031,26172,"[""541""]",9,0.040369729363709556,0.0795302598686122,556.8861277103424
6,index_5,8,1,0,0.9,annealing,385,24,0,128,26343,26471,"[""24""]",12,0.03856758652359327,0.0755188651822568,524.1342945098877
7,index_6,8,1,0,0.9,annealing,371,365,0,123,26296,26419,"[""365""]",7,0.04154015634816165,0.0820882506830997,575.4000012874603
8,index_7,8,1,0,0.9,annealing,601,601,1,119,22209,22328,"[""601""]",15,0.029323168913104446,0.0560432532992267,368.51674222946167
9,index_8,8,1,0,0.9,annealing,25,25,1,97,13088,13185,"[""25""]",16,0.014103819431881548,0.0219754665426428,116.52171063423157
10,index_9,8,1,0,0.9,annealing,55,55,1,108,12076,12184,"[""55""]",11,0.013244207075730284,0.0255799081448753,114.23153972625732
11,index_10,8,1,0,0.9,annealing,540,540,1,96,13241,13337,"[""540""]",17,0.014006301729420115,0.02563804429975,95.3727023601532
12,index_11,8,1,0,0.9,annealing,45,45,1,186,17036,17222,"[""45""]",14,0.023179328672223297,0.0436602523109121,268.42716908454895
13,index_12,8,1,0,0.9,annealing,204,204,1,181,8347,8528,"[""204""]",14,0.010155551490589955,0.019068658798907,61.24781131744385
14,index_13,8,1,0,0.9,annealing,699,699,1,118,24200,24318,"[""699""]",28,0.025964374030855542,0.0422649845939189,259.1449785232544
15,index_14,8,1,0,0.9,annealing,294,294,1,101,12069,12170,"[""294""]",12,0.014623516431908061,0.0263938143131213,139.92468428611755
16,index_15,8,1,0,0.9,annealing,110,134,0,112,29798,29910,"[""134""]",15,0.040705451315918004,0.0790070344747398,549.2890899181366
17,index_16,8,1,0,0.9,annealing,721,721,1,145,33836,33981,"[""721""]",12,0.05137266391074189,0.1012150456368815,721.2716493606567
18,index_17,8,1,0,0.9,annealing,315,66,0,100,33344,33444,"[""66""]",12,0.052370231676715846,0.1037149002964944,740.4901485443115
19,index_18,8,1,0,0.9,annealing,468,108,0,100,13918,14018,"[""108""]",10,0.019025945085763208,0.0363932329515725,210.51082015037537
20,index_19,8,1,0,0.9,annealing,902,2,0,147,28465,28612,"[""2""]",9,0.044721399128526095,0.0882506830998197,615.4259490966797
21,index_20,8,0,0,0.9,annealing,211,,0,170,41730,41900,[],15,0.0610006321031693,0.1197023428870414,866.4431843757629
22,index_21,8,1,0,0.9,annealing,80,80,1,109,24068,24177,"[""80""]",9,0.03668682215111538,0.0722632405092726,493.06543231010437
23,index_22,8,1,0,0.9,annealing,480,480,1,131,13551,13682,"[""480""]",12,0.018152873313319585,0.0341840590663333,193.26540994644165
24,index_23,8,1,0,0.9,annealing,236,236,1,118,16417,16535,"[""236""]",7,0.023583939033342497,0.045753153886402,284.35937452316284
25,index_24,8,1,0,0.9,annealing,73,73,1,159,9435,9594,"[""73""]",10,0.011458665567567921,0.0192430672635312,100.4650330543518
26,index_25,8,1,0,0.9,annealing,113,3268,0,402,22452,22854,"[""3268""]",11,0.03495458369705457,0.0670891227254228,452.466365814209
27,index_26,8,1,0,0.9,annealing,127,127,1,208,31950,32158,"[""127""]",13,0.0476281374983042,0.093134120109296,657.4935526847839
28,index_27,8,1,0,0.9,annealing,104,104,1,199,15140,15339,"[""104""]",13,0.018238672417610506,0.03180047671647,173.63545036315918
29,index_28,8,1,0,0.9,annealing,104,104,1,124,21524,21648,"[""104""]",9,0.03200461733205045,0.0626707749549444,418.9319930076599
30,index_29,8,1,0,0.9,annealing,321,321,1,109,15303,15412,"[""321""]",11,0.020605733796587408,0.0393581768501831,232.96480894088745
