iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,32,32,C,C,1,153,140221,129178,10979,140374,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1525209092920858,0.3662577757107145,206.63774514198303
2,index_1,32,32,D,D,1,160,415494,407109,8321,415654,"[""D"", ""C"", ""C"", ""B"", ""B"", ""D"", ""B"", ""D"", ""D"", ""C"", ""D"", ""D"", ""B"", ""D"", ""D"", ""C"", ""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""C"", ""D"", ""B"", ""C"", ""C""]",0.5803058566631258,0.9999418638451252,594.2411396503448
3,index_2,32,32,C,C,1,184,92388,77617,14707,92572,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.131709613833225,0.2939363990465671,105.2269937992096
4,index_3,32,32,B,D,0,158,169472,157170,12233,169630,"[""D"", ""B"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""B"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D""]",0.1480895088290235,0.3370152898087321,400.8020243644714
5,index_4,32,32,C,C,1,390,166725,152085,14576,167115,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1643586234329443,0.3784663682344049,360.4737329483032
6,index_5,32,32,C,C,1,204,272674,260507,12103,272878,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.360237509416421,0.6340910412185339,572.5296220779419
7,index_6,32,32,C,C,1,196,120740,107261,13415,120936,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0754853704396344,0.302773094587524,426.3956830501557
8,index_7,32,32,D,D,1,476,190756,182196,8496,191232,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.2770437023678674,0.4883437009476193,261.9892942905426
9,index_8,32,32,A,B,0,267,183717,165244,18407,183984,"[""B"", ""A"", ""B"", ""A"", ""B"", ""B"", ""A"", ""D"", ""B"", ""A"", ""B"", ""A"", ""D"", ""D"", ""B"", ""B"", ""A"", ""B"", ""A"", ""B"", ""B"", ""A"", ""B"", ""A"", ""D"", ""A"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D""]",0.2356264000205718,0.4253822452183012,268.74936628341675
10,index_9,32,32,C,C,1,153,133238,126141,7033,133391,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1533099380814497,0.2775420033718969,192.2534613609314
11,index_10,32,32,A,A,1,404,94493,83999,10430,94897,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.1191625084676126,0.2180687169350619,149.7983682155609
12,index_11,32,32,D,D,1,179,179606,159103,20439,179785,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.2978406180318044,0.5222370792395791,188.03097939491272
13,index_12,32,32,A,B,0,345,306823,294997,11762,307168,"[""B"", ""A"", ""A"", ""A"", ""B"", ""A"", ""B"", ""A"", ""A"", ""A"", ""B"", ""A"", ""B"", ""A"", ""B"", ""B"", ""B"", ""A"", ""D"", ""A"", ""B"", ""A"", ""B"", ""B"", ""A"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""A""]",0.4725708408312541,0.9400034881692924,396.00582671165466
14,index_13,32,32,D,A,0,153,124477,113814,32579,124630,"[""A"", ""D"", ""A"", ""D"", ""D"", ""D"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""A""]",0.0795584209565807,0.2903900935992093,658.1490218639374
15,index_14,32,32,C,C,1,307,108264,96122,12078,108571,"[""C"", ""D"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0877677958336332,0.2851578396604848,257.4278202056885
16,index_15,32,32,B,B,1,226,386967,372713,14190,387193,"[""B"", ""A"", ""B"", ""D"", ""B"", ""B"", ""D"", ""B"", ""A"", ""D"", ""D"", ""B"", ""A"", ""B"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""A"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B""]",0.5667774877618105,1.0,535.7374904155731
17,index_16,32,32,C,C,1,163,72891,59669,13159,73054,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0491868283544166,0.1770827277483867,209.5277166366577
18,index_17,32,32,B,A,0,250,169809,151934,17811,170059,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.2297772932956857,0.4255566536829254,217.47174501419067
19,index_18,32,32,A,B,0,548,269883,261044,8775,270431,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.3815444349262601,0.7436776931573745,398.969788312912
20,index_19,32,32,A,A,1,203,33443,26665,6712,33646,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0696917369668953,0.1172024882274286,32.199071407318115
21,index_20,32,32,B,B,1,282,235671,225419,10178,235953,"[""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B""]",0.2611570491923395,0.6345561304575316,405.7753851413727
