iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,2,2,103,103,1,79,8730,7738,988,8809,"[""103"", ""103""]",0.0186548964411947,0.0348202944033475,84.58184146881104
2,index_1,2,2,3375,3375,1,148,4889,4091,794,5037,"[""3375"", ""3375""]",0.0123923273645104,0.0233131584846446,42.9752368927002
3,index_2,2,2,\frac{1}{576},\dfrac{1}{576},1,167,14061,12813,1244,14228,"[""\\dfrac{1}{576}"", ""\\dfrac{1}{576}""]",0.0295422746446198,0.0528282148994994,151.9319486618042
4,index_3,2,2,-984,3050,0,118,23772,22671,1097,23890,"[""-987"", ""3050""]",0.0511120785570574,0.0981842636180229,275.00183844566345
5,index_4,2,2,890,890,1,138,13604,12659,941,13742,"[""890"", ""890""]",0.0310630805026249,0.0603751027422849,125.83682775497437
6,index_5,2,2,\frac{1311}{2017},\dfrac{1311}{2017},1,108,34014,32662,1348,34122,"[""\\dfrac{1311}{2017}"", ""\\dfrac{1}{2017}""]",0.0665625132138294,0.1122319360382575,549.895200252533
7,index_6,2,2,\frac{9 \sqrt{23}}{23},\dfrac{2\sqrt{22}}{5},0,138,35536,34801,731,35674,"[""\\dfrac{2\\sqrt{22}}{5}"", ""\\dfrac{15}{8}""]",0.0786302235708441,0.1542255099753419,423.2178027629852
8,index_7,2,2,1-\frac{2}{\pi},\dfrac{93}{256},0,151,33494,32754,736,33645,"[""\\dfrac{1}{4 \\ln 2}"", ""\\dfrac{93}{256}""]",0.071431606540086,0.1365911977882388,417.4562029838562
9,index_8,2,2,1037,1037,1,238,29636,28881,751,29874,"[""1037"", ""990""]",0.061135487909033,0.1090936262422476,390.9504823684693
10,index_9,2,2,"\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}","5, -5",0,141,48023,46779,1240,48164,"[""5, -5"", ""3, -5""]",0.1084651337127674,0.2146006127176268,560.472738981247
11,index_10,2,2,56,56,1,111,21467,20683,780,21578,"[""8"", ""56""]",0.047626120190889,0.0931031906149593,225.1718299388885
12,index_11,2,2,29,20,0,142,16113,15467,642,16255,"[""29"", ""20""]",0.0341108554843732,0.0632145258910558,173.11782884597778
13,index_12,2,2,105,6,0,149,27462,26703,755,27611,"[""144"", ""6""]",0.0557338914296785,0.0980348202944033,373.5121076107025
14,index_13,2,2,2304,20,0,183,18633,18256,373,18816,"[""20"", ""12""]",0.0436955639085465,0.0857804677576029,178.2223138809204
15,index_14,2,2,200,202,0,144,7736,7295,437,7880,"[""202"", ""202""]",0.0182180616855724,0.0348202944033475,70.61385917663574
16,index_15,2,2,6300,18325,0,114,20847,19595,1248,20961,"[""6525"", ""18325""]",0.0442969281334494,0.0839871478741687,238.56956100463867
17,index_16,2,2,2^{25} \cdot 26!,26!,0,142,12028,11364,660,12170,"[""26!"", ""26!""]",0.0284567590726147,0.0554434730628409,106.3093204498291
18,index_17,2,2,\frac{2025}{101},1825,0,217,16444,16082,358,16661,"[""1825"", ""1825""]",0.0393729469755413,0.0766644250168123,151.02068400382996
19,index_18,2,2,\frac{4}{9},\dfrac{1}{3},0,90,31808,31190,614,31898,"[""\\dfrac{1}{3}"", ""\\dfrac{1}{3}""]",0.0631238020715738,0.1064036464170963,458.18053913116455
20,index_19,2,2,\frac{448}{3},\dfrac{405}{2},0,166,41092,40538,550,41258,"[""\\dfrac{405}{2}"", ""90""]",0.0916037283628714,0.1800792049615183,494.9165816307068
21,index_20,2,2,26,26,1,134,5594,4482,1108,5728,"[""26"", ""26""]",0.0138413276524327,0.0264514682806545,49.42523360252381
22,index_21,2,2,63,63,1,135,17599,17329,266,17734,"[""63"", ""63""]",0.039631377026825,0.0772621983112904,175.6558177471161
23,index_22,2,2,8\sqrt{10},8\sqrt{10},1,130,14774,13872,898,14904,"[""8\\sqrt{10}"", ""8\\sqrt{10}""]",0.032479462920785,0.0623178659493387,143.26036667823792
24,index_23,2,2,20,25,0,677,16605,15667,934,17282,"[""25"", ""100""]",0.0419817622082888,0.0778599716057685,169.26956295967102
25,index_24,2,2,\sqrt{23}-2 \sqrt{3},\sqrt{2},0,146,36810,36149,657,36956,"[""\\sqrt{2}"", ""1""]",0.0873728303342391,0.17335425539864,405.2825574874878
26,index_25,2,2,9\sqrt{15},9\sqrt{15},1,139,18345,17187,1154,18484,"[""9\\sqrt{15}"", ""9\\sqrt{15}""]",0.0395419894100144,0.0751699917806172,199.64532923698425
27,index_26,2,2,\frac{7}{18},\dfrac{7}{18},1,151,31621,30512,1105,31772,"[""\\dfrac{7}{18}"", ""\\dfrac{1}{7}""]",0.0658797240804741,0.1226929686916237,410.5801753997803
28,index_27,2,2,\sqrt{6},5,0,160,37624,36181,1439,37784,"[""\\sqrt{\\dfrac{505}{84}}"", ""5""]",0.0844102033531014,0.1661809758649032,449.229469537735
29,index_28,2,2,14+4\sqrt{37},144,0,134,43346,42558,784,43480,"[""10"", ""144""]",0.0847933613491092,0.1428678173802585,713.2925267219543
30,index_29,2,2,\sqrt{\frac{95}{24}},\dfrac{33\sqrt{10}}{2},0,115,33208,32484,720,33323,"[""60"", ""\\dfrac{33\\sqrt{10}}{2}""]",0.0696121995421644,0.1354703728610924,671.4087946414948
