iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,1,1,33,33,1,194,5599,4728.0,869.0,5793,"[""33""]",0.011275313290706373,0.0217209191000479,109.02314639091492
2,index_1,1,1,23,23,1,226,7352,6567.0,783.0,7578,"[""23""]",0.014672990323114227,0.0284226902824318,144.01361918449402
3,index_2,1,1,116,116,1,172,4060,3519.0,539.0,4232,"[""116""]",0.008315181278702231,0.0159167065581617,78.4898464679718
4,index_3,1,1,809,809,1,145,6521,6094.0,425.0,6666,"[""809""]",0.012816234598102863,0.0250119674485399,126.85116314888
5,index_4,1,1,197,,0,141,32768,,,32909,[],0.06188102536692976,0.1231450454763044,688.088901758194
6,index_5,1,1,385,24,0,128,21689,21146.0,541.0,21817,"[""24""]",0.04111562331923277,0.081677836285304,446.33148431777954
7,index_6,1,1,371,503,0,123,29734,29306.0,426.0,29857,"[""503""]",0.05614038777028579,0.1117161321206319,623.7222712039948
8,index_7,1,1,601,601,1,119,15158,14426.0,730.0,15277,"[""601""]",0.028869537395391155,0.0572044040210627,308.903936624527
9,index_8,1,1,25,25,1,97,7915,7475.0,438.0,8012,"[""25""]",0.015243454428512255,0.0300382958353279,156.8231451511383
10,index_9,1,1,55,55,1,108,5241,4846.0,393.0,5349,"[""55""]",0.010284357718314796,0.0201053135471517,102.6255714893341
11,index_10,1,1,540,540,1,96,6782,6041.0,739.0,6878,"[""540""]",0.01312108199708288,0.0257898516036381,133.54288601875305
12,index_11,1,1,45,45,1,186,7232,6619.0,611.0,7418,"[""45""]",0.014299032802490159,0.0278243178554332,142.6752631664276
13,index_12,1,1,204,204,1,181,3129,2451.0,676.0,3310,"[""204""]",0.006607828623078087,0.0124461464815701,60.809882164001465
14,index_13,1,1,699,699,1,118,14397,13597.0,798.0,14515,"[""699""]",0.02744278582120498,0.0543920536141694,293.09936237335205
15,index_14,1,1,294,294,1,101,5752,5114.0,636.0,5853,"[""294""]",0.011213736425901162,0.0219602680708472,113.00801372528076
16,index_15,1,1,110,155,0,112,8922,8389.0,531.0,9034,"[""155""]",0.017182549579678696,0.0338678793681187,177.60843896865845
17,index_16,1,1,721,721,1,145,8300,7713.0,585.0,8445,"[""721""]",0.0161428424623585,0.0316539013882239,164.5851855278015
18,index_17,1,1,315,60,0,100,28969,28543.0,424.0,29069,"[""60""]",0.054623896594635006,0.1087841072283388,606.6737287044525
19,index_18,1,1,468,468,1,100,7773,6941.0,830.0,7873,"[""468""]",0.014989121536936847,0.0294997606510292,153.62753653526306
20,index_19,1,1,902,2,0,147,22314,21958.0,354.0,22461,"[""2""]",0.04235536924150666,0.0840713259932982,465.3606147766113
21,index_20,1,1,211,211,1,170,26594,25927.0,665.0,26764,"[""211""]",0.050444615800127955,0.1001675442795596,560.7343857288361
22,index_21,1,1,80,160,0,109,23182,22536.0,644.0,23291,"[""160""]",0.043836354125965094,0.0871828626136907,479.84175539016724
23,index_22,1,1,480,480,1,131,10811,10140.0,669.0,10942,"[""480""]",0.020785870866315715,0.0409885112494016,217.61782097816467
24,index_23,1,1,236,236,1,118,10658,10217.0,439.0,10776,"[""236""]",0.020451161470128532,0.040390138822403,213.08605813980103
25,index_24,1,1,73,73,1,159,5214,4533.0,679.0,5373,"[""73""]",0.010424542655291079,0.0201651507898515,102.07957005500793
26,index_25,1,1,113,113,1,402,13946,13351.0,593.0,14348,"[""113""]",0.02766142257825327,0.053733843944471,284.2227408885956
27,index_26,1,1,127,127,1,208,20280,19524.0,754.0,20488,"[""127""]",0.038780068236584704,0.0767113451412159,417.6527111530304
28,index_27,1,1,104,104,1,199,8398,7727.0,669.0,8597,"[""104""]",0.016527981145718653,0.0322522738152225,166.6266770362854
29,index_28,1,1,104,104,1,124,7174,6640.0,532.0,7298,"[""104""]",0.013958756919853906,0.0273456199138343,141.4433479309082
30,index_29,1,1,321,321,1,109,11552,10794.0,756.0,11661,"[""321""]",0.02208921880498542,0.0436811871708952,232.25249791145325
