iteration,question_id,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.92,num_same_answer_t0.92,same_answer_perc_t0.92,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95,num_detected_t0.98,num_same_answer_t0.98,same_answer_perc_t0.98
1,index_0,284,284,100.00,275,275,100.00,174,174,100.00,118,118,100.00,22,22,100.00,3,3,100.00
2,index_1,491,182,37.07,487,180,36.96,430,156,36.28,352,131,37.22,176,70,39.77,41,16,39.02
3,index_2,146,146,100.00,130,130,100.00,75,75,100.00,53,53,100.00,23,23,100.00,4,4,100.00
4,index_3,302,163,53.97,299,162,54.18,234,133,56.84,167,100,59.88,27,17,62.96,1,0,0.00
5,index_4,227,227,100.00,202,202,100.00,87,87,100.00,54,54,100.00,8,8,100.00,0,0,
6,index_5,204,204,100.00,201,201,100.00,170,170,100.00,148,148,100.00,73,73,100.00,10,10,100.00
7,index_6,202,202,100.00,187,187,100.00,91,91,100.00,55,55,100.00,13,13,100.00,1,1,100.00
8,index_7,329,329,100.00,321,321,100.00,217,217,100.00,130,130,100.00,21,21,100.00,1,1,100.00
9,index_8,358,134,37.43,344,128,37.21,178,65,36.52,95,36,37.89,14,5,35.71,2,1,50.00
10,index_9,310,310,100.00,308,308,100.00,247,247,100.00,197,197,100.00,47,47,100.00,1,1,100.00
11,index_10,183,183,100.00,177,177,100.00,122,122,100.00,80,80,100.00,18,18,100.00,0,0,
12,index_11,202,202,100.00,192,192,100.00,123,123,100.00,86,86,100.00,22,22,100.00,3,3,100.00
13,index_12,455,206,45.27,444,202,45.50,294,136,46.26,192,92,47.92,70,36,51.43,13,9,69.23
14,index_13,311,207,66.56,302,200,66.23,168,104,61.90,81,42,51.85,9,4,44.44,0,0,
15,index_14,165,125,75.76,161,123,76.40,123,98,79.67,109,87,79.82,57,48,84.21,3,2,66.67
16,index_15,479,182,38.00,473,179,37.84,397,148,37.28,320,118,36.88,90,30,33.33,4,1,25.00
17,index_16,147,147,100.00,139,139,100.00,78,78,100.00,58,58,100.00,37,37,100.00,13,13,100.00
18,index_17,269,269,100.00,261,261,100.00,191,191,100.00,157,157,100.00,64,64,100.00,0,0,
19,index_18,422,349,82.70,410,340,82.93,281,239,85.05,187,158,84.49,54,43,79.63,6,4,66.67
20,index_19,2,2,100.00,2,2,100.00,1,1,100.00,0,0,,0,0,,0,0,
21,index_20,426,323,75.82,416,315,75.72,329,253,76.90,262,201,76.72,102,83,81.37,13,10,76.92
22,index_21,191,100,52.36,179,96,53.63,106,56,52.83,69,33,47.83,22,13,59.09,1,0,0.00
23,index_22,475,271,57.05,471,269,57.11,360,203,56.39,271,152,56.09,88,46,52.27,8,6,75.00
24,index_23,459,170,37.04,447,166,37.14,226,87,38.50,136,55,40.44,32,12,37.50,6,3,50.00
25,index_24,456,229,50.22,450,227,50.44,294,147,50.00,189,94,49.74,47,23,48.94,8,5,62.50
26,index_25,454,208,45.81,449,208,46.33,370,178,48.11,271,135,49.82,93,49,52.69,11,4,36.36
27,index_26,208,208,100.00,204,204,100.00,150,150,100.00,104,104,100.00,18,18,100.00,1,1,100.00
28,index_27,406,289,71.18,382,274,71.73,133,103,77.44,55,47,85.45,11,9,81.82,1,0,0.00
29,index_28,433,152,35.10,431,151,35.03,369,133,36.04,301,106,35.22,87,33,37.93,2,2,100.00
30,index_29,409,409,100.00,405,405,100.00,339,339,100.00,256,256,100.00,75,75,100.00,8,8,100.00
31,index_30,402,306,76.12,380,290,76.32,173,136,78.61,86,74,86.05,13,12,92.31,2,2,100.00
32,index_31,429,372,86.71,424,367,86.56,363,313,86.23,325,281,86.46,193,162,83.94,43,37,86.05
