iteration,question_id,correct_answer,final_answer,score,num_chains_generated,total_tokens_generated,window_size,individual_answers_str,correct_answer_in_chains,time_taken,max_kv_cache_usage
1,index_0,33,33,1,2,6337,2,"['33', '33']",False,242.1934922218323,7.931953473311906
2,index_1,23,23,1,2,10996,2,"['23', '23']",False,242.1934922218323,7.931953473311906
3,index_2,116,116,1,2,5246,2,"['116', '116']",False,242.1934922218323,7.931953473311906
4,index_3,809,809,1,2,16639,2,"['809', '809']",False,242.1934922218323,7.931953473311906
5,index_4,197,1029,0,2,32379,2,"['205', '1029']",False,242.1934922218323,7.931953473311906
6,index_5,385,16,0,2,24566,2,"['24', '16']",False,242.1934922218323,7.931953473311906
7,index_6,371,38,0,2,28062,2,"['39', '38']",False,242.1934922218323,7.931953473311906
8,index_7,601,401,0,2,17721,2,"['601', '401']",False,242.1934922218323,7.931953473311906
9,index_8,25,25,1,2,6510,2,"['25', '25']",False,242.1934922218323,7.931953473311906
10,index_9,55,55,1,2,5419,2,"['55', '55']",False,242.1934922218323,7.931953473311906
11,index_10,540,540,1,2,5977,2,"['540', '540']",False,242.1934922218323,7.931953473311906
12,index_11,45,45,1,2,13736,2,"['45', '45']",False,242.1934922218323,7.931953473311906
13,index_12,204,204,1,2,4367,2,"['204', '204']",False,242.1934922218323,7.931953473311906
14,index_13,699,699,1,2,19019,2,"['629', '699']",False,242.1934922218323,7.931953473311906
15,index_14,294,294,1,2,10895,2,"['294', '294']",False,242.1934922218323,7.931953473311906
16,index_15,110,134,0,2,23779,2,"['134', '134']",False,242.1934922218323,7.931953473311906
17,index_16,721,721,1,2,35421,2,"['721', '721']",False,242.1934922218323,7.931953473311906
18,index_17,315,144,0,2,30231,2,"['28', '144']",False,242.1934922218323,7.931953473311906
19,index_18,468,156,0,2,37268,2,"['468', '156']",False,242.1934922218323,7.931953473311906
20,index_19,902,25,0,2,26826,2,"['1024', '25']",False,242.1934922218323,7.931953473311906
21,index_20,211,2311,0,2,48437,2,"['121', '2311']",False,242.1934922218323,7.931953473311906
22,index_21,80,80,1,2,23342,2,"['80', '80']",False,242.1934922218323,7.931953473311906
23,index_22,480,480,1,2,20204,2,"['960', '480']",False,242.1934922218323,7.931953473311906
24,index_23,236,236,1,2,12697,2,"['236', '236']",False,242.1934922218323,7.931953473311906
25,index_24,73,73,1,2,14843,2,"['73', '73']",False,242.1934922218323,7.931953473311906
26,index_25,113,33,0,2,17837,2,"['113', '33']",False,242.1934922218323,7.931953473311906
27,index_26,127,26,0,2,37138,2,"['11', '26']",False,242.1934922218323,7.931953473311906
28,index_27,104,104,1,2,14688,2,"['47', '104']",False,242.1934922218323,7.931953473311906
29,index_28,104,104,1,2,18649,2,"['104', '104']",False,242.1934922218323,7.931953473311906
30,index_29,321,321,1,2,9181,2,"['321', '321']",False,242.1934922218323,7.931953473311906
