iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,1,0,0.6,C,C,1,148,7674,7822,"[""C""]",9,0.011433399462157927,0.0313830979600986,42.28760623931885
3,index_2,10,1,0,0.6,C,C,1,179,9592,9771,"[""C""]",11,0.01359599470467129,0.0340730777852499,59.87999129295349
4,index_3,10,1,0,0.6,B,B,1,153,9298,9451,"[""B""]",10,0.01307901651254732,0.0275722932078009,67.97970485687256
5,index_4,10,1,0,0.6,C,C,1,385,8681,9066,"[""C""]",8,0.014909524462470562,0.0369872225958305,75.44471001625061
9,index_8,10,1,0,0.6,A,A,1,262,11889,12151,"[""A""]",9,0.01855523876435672,0.0309347679892401,108.01569318771362
10,index_9,10,1,0,0.6,C,C,1,148,11480,11628,"[""C""]",6,0.01906741850578471,0.035268624374206,126.19061708450317
11,index_10,10,1,0,0.6,A,A,1,399,7835,8234,"[""A""]",10,0.014919530396602614,0.034371964432489,44.76562213897705
14,index_13,10,1,0,0.6,D,D,1,148,6563,6711,"[""D""]",6,0.009713201707456208,0.0257042516625569,39.238595962524414
15,index_14,10,1,0,0.6,C,D,0,302,9189,9491,"[""D""]",10,0.014877567016646363,0.0310842113128595,74.77512693405151
17,index_16,10,1,0,0.6,C,C,1,158,8211,8369,"[""C""]",9,0.012177667525203266,0.0239109317791227,68.29472184181213
19,index_18,10,1,0,0.6,A,B,0,543,13071,13614,"[""B""]",10,0.024414103825589152,0.0437121721587088,151.43072032928467
20,index_19,10,2,0,0.6,A,A,1,198,9087,9285,"[""A"", ""A""]",11,0.021036985984115204,0.0336247478143914,25.415650606155396
22,index_21,10,1,0,0.6,D,A,0,137,7367,7504,"[""A""]",6,0.010577961702230932,0.0231637151610252,53.44860649108887
25,index_24,10,1,0,0.6,B,B,1,363,15047,15410,"[""B""]",11,0.026169499745523354,0.0467757602929088,180.9007215499878
29,index_28,10,1,0,0.6,A,A,1,403,9070,9473,"[""A""]",9,0.016190640683127432,0.0450571620712845,52.6021888256073
32,index_31,10,1,0,0.6,C,C,1,156,13609,13765,"[""C""]",10,0.020983962453138136,0.0377344392139281,135.31662726402283
33,index_32,10,1,0,0.6,C,A,0,322,11867,12189,"[""A""]",7,0.019953571548378138,0.0373608309048792,120.8948404788971
34,index_33,10,1,0,0.6,A,C,0,472,15924,16396,"[""C""]",7,0.02986636254408796,0.0543973697975043,224.04189896583557
35,index_34,10,1,0,0.6,C,C,1,318,12691,13009,"[""C""]",11,0.019677328429142767,0.0423671822461331,108.41783094406128
37,index_36,10,1,0,0.6,D,B,0,162,11341,11503,"[""B""]",9,0.017877775472138775,0.0316819846073376,112.09911322593689
39,index_38,10,1,0,0.6,B,B,1,243,7407,7650,"[""B""]",9,0.01217831852966794,0.0278711798550399,61.92742705345154
41,index_40,10,1,0,0.6,A,A,1,147,6197,6344,"[""A""]",6,0.009260386796291174,0.0239109317791227,43.800617933273315
44,index_43,10,1,0,0.6,A,B,0,313,9257,9570,"[""B""]",9,0.014795668046922464,0.0381080475229769,60.33457565307617
47,index_46,10,1,0,0.6,D,D,1,217,19487,19704,"[""D""]",10,0.03513109961689,0.0672494956287828,298.92183899879456
48,index_47,10,1,0,0.6,A,D,0,154,16646,16800,"[""D""]",6,0.032012450254572264,0.0623178659493387,271.40316677093506
49,index_48,10,1,0,0.6,B,D,0,427,12760,13187,"[""D""]",8,0.023409693192146617,0.0413210789807965,151.08804202079773
52,index_51,10,1,0,0.6,C,C,1,252,14441,14693,"[""C""]",8,0.024417519589057798,0.0446835537622356,171.31315994262695
54,index_53,10,1,0,0.6,A,C,0,185,12044,12229,"[""C""]",9,0.01833112906696656,0.0328775311962937,113.15159225463867
58,index_57,10,1,0,0.6,A,D,0,87,7476,7563,"[""D""]",10,0.012057903017218536,0.0298886647239035,26.658511877059937
59,index_58,10,1,0,0.6,A,A,1,136,11537,11673,"[""A""]",9,0.01573533233640656,0.0316819846073376,86.85213112831116
62,index_61,10,1,0,0.6,C,C,1,252,16078,16330,"[""C""]",9,0.02730957773650237,0.0505118433833968,200.53074598312378
