iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,1,1,"\left( 3, \frac{\pi}{2} \right)","(3, \frac{\pi}{2})",1,140,803,616,185,943,"[""(3, \\frac{\\pi}{2})""]",0.002561473455338963,0.0044085780467757,13.31008505821228
2,index_1,1,1,p - q,p - q,1,203,1596,1158,436,1799,"[""p - q""]",0.004707464694014747,0.0084435477845027,26.234496116638184
3,index_2,1,1,\frac{14}{3},\dfrac{14}{3},1,139,1186,820,364,1325,"[""\\dfrac{14}{3}""]",0.003451183128680355,0.0062018979302099,19.53949236869812
4,index_3,1,1,9,9,1,106,862,649,211,968,"[""9""]",0.0025405365015317457,0.0045580213703952,14.196467638015747
5,index_4,1,1,\text{Evelyn},Evelyn,1,431,4196,3923,271,4627,"[""Evelyn""]",0.011843383396846699,0.0216692819248299,70.09930348396301
6,index_5,1,1,42,42,1,133,551,437,112,684,"[""42""]",0.0019404578200286969,0.0032130314578195,9.119462490081787
7,index_6,1,1,27,27,1,111,2001,1607,392,2112,"[""27""]",0.005223496000635963,0.009863259358888,33.12348175048828
8,index_7,1,1,90^\circ,90,1,158,1782,1688,92,1940,"[""90""]",0.0049316296794440235,0.0091160427407905,29.728883981704712
9,index_8,1,1,3\sqrt{13},3\sqrt{13},1,126,1573,1314,257,1699,"[""3\\sqrt{13}""]",0.004294144173095035,0.0079952178136442,26.153393030166626
10,index_9,1,1,4,4,1,241,7564,7205,357,7805,"[""4""]",0.018820533386219314,0.0364641709631622,127.74046206474304
11,index_10,1,1,2220,2220,1,117,6247,5798,447,6364,"[""2220""]",0.015166164911963494,0.0297392214002839,104.85362505912781
12,index_11,1,1,\frac{3}{56},\dfrac{5048}{63},0,151,6464,5877,585,6615,"[""\\dfrac{5048}{63}""]",0.015831652095942568,0.0309347679892401,109.08566737174988
13,index_12,1,1,284,284,1,163,3205,3008,195,3368,"[""284""]",0.008277784597149363,0.015766270641859,53.36460089683533
14,index_13,1,1,5,5,1,267,782,598,182,1049,"[""5""]",0.0031056310129676935,0.004931629679444,12.874471426010132
15,index_14,1,1,\sqrt{51},\sqrt{51},1,205,1897,1611,284,2102,"[""\\sqrt{51}""]",0.005419664149566802,0.009863259358888,31.354233980178833
