iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,8,8,0,0.98,fixed,33,33,1,194,41185,41379,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",39,0.06774864507114926,0.1276328386787937,131.81140279769897
2,index_1,8,8,0,0.98,fixed,23,23,1,226,85504,85730,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]",86,0.13032039042889346,0.2881163235998085,304.5989181995392
3,index_2,8,6,0,0.98,fixed,116,116,1,172,34763,34935,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116""]",35,0.06034751449435235,0.1093226424126376,104.96472501754761
4,index_3,8,8,0,0.98,fixed,809,809,1,145,55775,55920,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]",58,0.09202668851793093,0.1657491622786021,180.76360201835632
5,index_4,8,1,0,0.98,fixed,197,4427,0,141,56962,57103,"[""4427""]",56,0.0604084214942576,0.1000478697941599,564.6744196414948
6,index_5,8,8,0,0.98,fixed,385,24,0,128,171582,171710,"[""24"", ""24"", ""24"", ""24"", ""16"", ""24"", ""24"", ""24""]",183,0.2652146667566614,0.5887984681665869,644.6236147880554
7,index_6,8,8,0,0.98,fixed,371,419,0,123,215083,215206,"[""371"", ""419"", ""381"", ""361"", ""371"", ""231"", ""419"", ""419""]",259,0.33773146805717436,0.6509693633317377,835.27468085289
8,index_7,8,1,0,0.98,fixed,601,601,1,119,55794,55913,"[""601""]",56,0.056324368762823145,0.1239827668741024,405.0815372467041
9,index_8,8,8,0,0.98,fixed,25,25,1,97,58236,58333,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]",67,0.08705609065626041,0.1503111536620393,217.2521936893463
10,index_9,8,6,0,0.98,fixed,55,55,1,108,41057,41165,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55""]",48,0.059145504648138475,0.1196146481570129,151.80462265014648
11,index_10,8,8,0,0.98,fixed,540,540,1,96,42478,42574,"[""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540"", ""540""]",43,0.07064202388017093,0.1214696026807085,135.28273749351501
12,index_11,8,8,0,0.98,fixed,45,45,1,186,67431,67617,"[""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45"", ""45""]",75,0.10358798179903717,0.2213977979894686,236.75284433364868
13,index_12,8,8,0,0.98,fixed,204,204,1,181,24396,24577,"[""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204"", ""204""]",28,0.03709916532660381,0.0710866443274294,85.75263452529907
14,index_13,8,8,0,0.98,fixed,699,699,1,118,135917,136035,"[""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699"", ""699""]",174,0.18816761914562305,0.3547151747247486,580.2492446899414
15,index_14,8,8,0,0.98,fixed,294,294,1,101,54292,54393,"[""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294"", ""294""]",60,0.08483011696690744,0.1636548587841072,186.1349081993103
16,index_15,8,8,0,0.98,fixed,110,110,1,112,88546,88658,"[""110"", ""110"", ""110"", ""110"", ""110"", ""110"", ""155"", ""134""]",102,0.13977831255239864,0.2601723312589755,314.7455458641052
17,index_16,8,8,0,0.98,fixed,721,721,1,145,79922,80067,"[""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721"", ""721""]",102,0.10564354438484702,0.202070368597415,346.0849061012268
18,index_17,8,7,0,0.98,fixed,315,15,0,100,216118,216218,"[""15"", ""15"", ""6"", ""27"", ""15"", ""18"", ""6""]",275,0.3576232263744598,0.6337362374341791,852.1791002750397
19,index_18,8,8,0,0.98,fixed,468,468,1,100,84615,84715,"[""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468"", ""468""]",111,0.12199460268388199,0.1990785064624222,343.93875002861023
20,index_19,8,8,0,0.98,fixed,902,1022,0,147,163462,163609,"[""14402"", ""1800"", ""1022"", ""50"", ""1022"", ""1022"", ""902"", ""70""]",205,0.2403268149760859,0.4596696984202968,668.1849167346954
21,index_20,8,1,0,0.98,fixed,211,211,1,170,90952,91122,"[""211""]",92,0.09136719356563089,0.2342628051699378,627.397588968277
22,index_21,8,8,0,0.98,fixed,80,80,1,109,164760,164869,"[""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80"", ""80""]",196,0.25171876266667864,0.434597893729057,648.2256445884705
23,index_22,8,8,0,0.98,fixed,480,480,1,131,92974,93105,"[""480"", ""480"", ""480"", ""480"", ""480"", ""480"", ""480"", ""480""]",92,0.09452370040323366,0.2293561512685495,610.0438339710236
24,index_23,8,8,0,0.98,fixed,236,236,1,118,93045,93163,"[""236"", ""224"", ""236"", ""236"", ""236"", ""236"", ""236"", ""236""]",94,0.09989549655551785,0.2331258975586405,529.9742770195007
