iteration,question_id,n_chains_max,window_size,n_chains_generated,stopped_early,correct_answer,final_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,total_reasoning_tokens,total_non_reasoning_tokens,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec,individual_answers_str
1,index_0,64,8,8,True,33,33,1,189,26447,26636,,,0.051332885375661,0.0983257229832572,78.90597748756409,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33"", ""33""]"
2,index_1,64,8,8,True,23,23,1,221,54932,55153,,,0.0830262982995126,0.1684931506849315,237.7812738418579,"[""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23"", ""23""]"
3,index_2,64,8,8,True,116,116,1,167,22216,22383,,,0.0463039900076585,0.0872907153729071,59.80297136306763,"[""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116"", ""116""]"
4,index_3,64,8,8,True,809,809,1,140,33634,33774,,,0.0707561239026458,0.1306697108066971,90.18674445152284,"[""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809"", ""809""]"
5,index_4,64,8,64,False,197,197,1,136,871053,871189,,,0.2030070064584102,0.421689497716895,3240.1179716587067,"[""144"", ""36"", ""287"", ""511"", ""273"", ""197"", ""197"", ""1189"", ""135"", ""197"", ""290"", ""2025"", ""254"", ""69"", ""1029"", ""2025"", ""36"", ""254"", ""5892"", ""41"", ""201"", ""197"", ""35"", ""273"", ""5007"", ""36"", ""389"", ""273"", ""197"", ""197"", ""803"", ""8603"", ""8739"", ""197"", ""35"", ""2929"", ""287"", ""2025"", ""197"", ""254"", ""389"", ""35"", ""273"", ""117"", ""273"", ""2026"", ""197"", ""3"", ""144"", ""541"", ""2025"", ""254"", ""287"", ""35"", ""273"", ""273"", ""197"", ""19"", ""197"", ""35"", ""144"", ""18"", ""18""]"
6,index_5,64,8,64,False,385,16,0,123,785100,785223,,,0.1873526729558785,0.3774733637747336,2563.663979291916,"[""16"", ""12"", ""16"", ""16"", ""24"", ""9"", ""7"", ""16"", ""16"", ""16"", ""12"", ""24"", ""16"", ""12"", ""16"", ""16"", ""16"", ""24"", ""16"", ""16"", ""24"", ""72"", ""16"", ""8"", ""16"", ""16"", ""16"", ""16"", ""36"", ""72"", ""16"", ""16"", ""24"", ""12"", ""8"", ""36"", ""16"", ""76"", ""24"", ""8"", ""24"", ""12"", ""24"", ""16"", ""24"", ""16"", ""16"", ""76"", ""12"", ""16"", ""24"", ""16"", ""24"", ""24"", ""16"", ""12"", ""36"", ""12"", ""16"", ""24"", ""24"", ""36"", ""24"", ""64""]"
7,index_6,64,8,64,False,371,17,0,118,953964,954082,,,0.2291936623878956,0.4657534246575342,3308.3067910671234,"[""9"", ""35"", ""71"", ""277"", ""35"", ""9"", ""46"", ""35"", ""419"", ""17"", ""179"", ""289"", ""47"", ""311"", ""337"", ""163"", ""163"", ""17"", ""41"", ""33"", ""69"", ""135"", ""139"", ""21"", ""269"", ""503"", ""133"", ""17"", ""5"", ""17"", ""363"", ""8"", ""17"", ""17"", ""137"", ""145"", ""17"", ""153"", ""35"", ""69"", ""171"", ""17"", ""359"", ""65"", ""65"", ""10"", ""139"", ""35"", ""73"", ""397"", ""9"", ""131"", ""139"", ""3"", ""173"", ""419"", ""35"", ""23"", ""17"", ""163"", ""9"", ""139"", ""133"", ""139""]"
8,index_7,64,8,64,False,601,601,1,114,837422,837536,,,0.1813745212496001,0.4267884322678843,3256.9678502082825,"[""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""13"", ""601"", ""601"", ""403"", ""7"", ""601"", ""401"", ""7"", ""601"", ""601"", ""106"", ""601"", ""601"", ""601"", ""601"", ""401"", ""401"", ""201"", ""13"", ""601"", ""301"", ""7"", ""400"", ""401"", ""601"", ""601"", ""401"", ""601"", ""601"", ""13"", ""601"", ""601"", ""13"", ""601"", ""601"", ""6"", ""601"", ""601"", ""401"", ""601"", ""301"", ""1201"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""601"", ""13"", ""601"", ""601"", ""601"", ""601"", ""6""]"
9,index_8,64,8,8,True,25,25,1,92,50373,50465,,,0.0843125167214117,0.1515981735159817,193.4613230228424,"[""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25"", ""25""]"
10,index_9,64,8,8,True,55,55,1,103,25480,25583,,,0.053905838743412,0.1077625570776256,68.92627692222595,"[""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55"", ""55""]"
