iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,0,0.95,fixed,A,A,1,173,20544,20717,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.04380773518001072,0.0818949413434955,57.61152648925781
2,aqua_rat_test_1,8,8,0,0.95,fixed,E,E,1,153,25133,25286,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",25,0.047051952154593964,0.0821191063289247,82.44022727012634
3,aqua_rat_test_2,8,8,0,0.95,fixed,A,A,1,95,11937,12032,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",12,0.021568369493143953,0.0428902338788014,40.28605008125305
4,aqua_rat_test_3,8,8,0,0.95,fixed,B,B,1,141,14354,14495,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",12,0.03372279584359259,0.0555929163864604,37.26909017562866
5,aqua_rat_test_4,8,8,0,0.95,fixed,B,B,1,106,4874,4980,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",4,0.013219661718775198,0.0227901068519763,12.477560997009277
6,aqua_rat_test_5,8,8,0,0.95,fixed,D,D,1,164,10960,11124,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",10,0.025691121382100193,0.0490174101472016,30.036413192749023
7,aqua_rat_test_6,8,8,0,0.95,fixed,D,D,1,122,15089,15211,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",12,0.03011469556432911,0.0615706493312411,44.34125256538391
8,aqua_rat_test_7,8,8,0,0.95,fixed,C,C,1,137,8028,8165,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.01819395771279837,0.0339983561234401,23.30202865600586
9,aqua_rat_test_8,8,8,0,0.95,fixed,E,E,1,128,15747,15875,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",11,0.03418019517984592,0.0639617425091534,42.513259172439575
10,aqua_rat_test_9,8,8,0,0.95,fixed,D,D,1,115,6528,6643,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.016361659994983242,0.0286931181349473,17.25476384162903
11,aqua_rat_test_10,8,8,0,0.95,fixed,B,C,0,158,26227,26385,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",19,0.056966878063531026,0.1135769259508331,69.95569634437561
12,aqua_rat_test_11,8,8,0,0.95,fixed,A,A,1,146,10172,10318,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",8,0.02244717605804006,0.0430396772024209,29.449867486953735
13,aqua_rat_test_12,8,8,0,0.95,fixed,C,C,1,118,12081,12199,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",9,0.027774005086360822,0.043637450496899,32.00489640235901
14,aqua_rat_test_13,8,8,0,0.95,fixed,D,D,1,81,3587,3668,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",4,0.009613602687390144,0.0161398789509078,9.472230911254883
15,aqua_rat_test_14,8,8,0,0.95,fixed,C,C,1,99,5048,5147,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.011844812026533674,0.0215198386012105,14.711167812347412
16,aqua_rat_test_15,8,8,0,0.95,fixed,A,A,1,109,5136,5245,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",7,0.012923075486121842,0.0227153851901665,14.271914005279541
17,aqua_rat_test_16,8,8,0,0.95,fixed,A,A,1,143,40913,41056,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""E""]",40,0.0577265555409469,0.1111858327729208,220.65175795555115
18,aqua_rat_test_17,8,8,0,0.95,fixed,D,D,1,151,8165,8316,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.02156118333264002,0.0382574908465964,20.629743337631226
19,aqua_rat_test_18,8,8,0,0.95,fixed,D,D,1,183,5526,5709,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",4,0.018045281327056663,0.0286931181349473,13.334657430648804
20,aqua_rat_test_19,8,8,0,0.95,fixed,C,C,1,106,9245,9351,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",7,0.021662903246382786,0.0400508107300305,24.388376474380493
21,aqua_rat_test_20,8,1,0,0.95,fixed,C,E,0,122,34668,34790,"[""E""]",24,0.04713257200981521,0.1368900844354779,172.72119045257568
22,aqua_rat_test_21,8,8,0,0.95,fixed,A,A,1,141,30331,30472,"[""A"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A""]",30,0.06042077908567221,0.0990809235597399,91.30539035797119
23,aqua_rat_test_22,8,8,0,0.95,fixed,E,E,1,142,20299,20441,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",17,0.03743515637548114,0.0735261152208025,66.46369791030884
24,aqua_rat_test_23,8,8,0,0.95,fixed,A,A,1,144,16086,16230,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",11,0.03427182468216107,0.0635134125382949,45.54137420654297
25,aqua_rat_test_24,8,8,0,0.95,fixed,D,D,1,137,6621,6758,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",7,0.017451824622603463,0.0292908914294254,17.470015287399292
26,aqua_rat_test_25,8,8,0,0.95,fixed,D,D,1,123,5699,5822,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",5,0.015754148725778502,0.0286931181349473,14.441334962844849
27,aqua_rat_test_26,8,8,0,0.95,fixed,C,C,1,109,5694,5803,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",6,0.013206803626624656,0.0257042516625569,16.80527138710022
28,aqua_rat_test_27,8,8,0,0.95,fixed,A,A,1,136,10180,10316,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",6,0.02075831615927259,0.0397519240827916,31.95979952812195
29,aqua_rat_test_28,8,8,0,0.95,fixed,B,B,1,127,6023,6150,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",4,0.01646449643265831,0.0304864380183815,15.123686075210571
30,aqua_rat_test_29,8,8,0,0.95,fixed,A,A,1,112,4399,4511,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",9,0.01105998266692785,0.0185309721288201,12.977082252502441
31,aqua_rat_test_30,8,8,0,0.95,fixed,B,B,1,121,5669,5790,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",5,0.01566551926594745,0.0268997982515131,14.156686544418335
32,aqua_rat_test_31,8,8,0,0.95,fixed,A,A,1,141,7777,7918,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",8,0.017351394934734494,0.0310842113128595,24.002828121185303
33,aqua_rat_test_32,8,1,0,0.95,fixed,B,A,0,131,37955,38086,"[""A""]",32,0.05149713057139986,0.1392811776133901,194.42924690246582
34,aqua_rat_test_33,8,8,0,0.95,fixed,B,B,1,133,6068,6201,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",5,0.016248432244611893,0.0256295300007471,15.867934942245483
35,aqua_rat_test_34,8,8,0,0.95,fixed,B,B,1,143,8257,8400,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",11,0.016986583732657955,0.0322797579018157,27.164581537246704
36,aqua_rat_test_35,8,8,0,0.95,fixed,A,A,1,118,5835,5953,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",6,0.014412786056151317,0.0233131584846446,16.282650470733643
37,aqua_rat_test_36,8,8,0,0.95,fixed,D,D,1,144,8274,8418,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",8,0.021846589680863487,0.0388552641410745,20.754323959350586
38,aqua_rat_test_37,8,8,0,0.95,fixed,A,A,1,127,10127,10254,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",7,0.020616543145124136,0.0431143988642307,31.050570249557495
