iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,16,C,C,1,153,63814,57791,5991,63967,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.06049205868824087,0.1343346098611776,212.49746799468994
2,index_1,16,16,D,D,1,160,197924,193345,4547,198084,"[""D"", ""D"", ""D"", ""C"", ""D"", ""C"", ""D"", ""D"", ""D"", ""C"", ""D"", ""D"", ""D"", ""C"", ""D"", ""B""]",0.28932161871308215,0.5543920536141694,416.4418308734894
3,index_2,16,16,C,C,1,184,48432,41349,7051,48616,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.06300849885034014,0.1404978458592628,101.04279708862305
4,index_3,16,16,B,D,0,158,81939,77300,4605,82097,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""B"", ""D"", ""D"", ""B""]",0.09224214419693424,0.1631163235998085,241.26223230361938
5,index_4,16,16,C,C,1,390,60150,52543,7575,60540,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.08323180083746214,0.1515677357587362,126.04552841186523
6,index_5,16,16,C,C,1,204,136847,129683,7132,137051,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.1891685569412966,0.3727860220201053,445.77059864997864
7,index_6,16,16,C,C,1,196,52272,45447,6793,52468,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.07188801527630509,0.1551579703207276,104.4080581665039
8,index_7,16,16,D,D,1,476,76170,72417,3721,76646,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.0906596470913954,0.1775370990904738,196.17729926109314
9,index_8,16,16,A,B,0,267,87299,80868,6397,87566,"[""B"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""B"", ""B""]",0.10955687758524098,0.1958472953566299,212.99132466316223
10,index_9,16,16,C,C,1,153,66608,63167,3409,66761,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.08640427314263326,0.1522259454284347,153.62694907188416
11,index_10,16,16,A,A,1,404,36496,31372,5092,36900,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.03864934844781837,0.0911919578745811,102.08047771453857
12,index_11,16,16,D,D,1,179,86855,75870,10953,87034,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.13729138029602667,0.2534705600765916,156.07078647613525
13,index_12,16,16,A,A,1,345,150187,145144,5011,150532,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""B"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A""]",0.21814793806772576,0.4493776926759215,305.6034514904022
14,index_13,16,16,D,A,0,153,66693,60191,6468,66846,"[""A"", ""D"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.07552300549522838,0.1367879368118717,189.91246485710144
15,index_14,16,16,C,C,1,307,51599,45310,6257,51906,"[""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D""]",0.05364593222382411,0.1272139779798946,143.0402216911316
16,index_15,16,16,B,B,1,226,213802,183255,30516,214028,"[""B"", ""D"", ""D"", ""B"", ""A"", ""A"", ""D"", ""B"", ""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""B""]",0.19112309291544424,0.5400909526089037,773.8078835010529
17,index_16,16,16,C,C,1,163,30609,24403,6174,30772,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.0343453734434008,0.0835327908089995,75.44181084632874
18,index_17,16,16,B,A,0,250,70753,60177,10544,71003,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.0991933020442471,0.1877094303494495,143.1621217727661
19,index_18,16,16,A,B,0,548,116658,112707,3919,117206,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.16214011456579405,0.3243178554332216,244.82132530212402
20,index_19,16,16,A,A,1,203,16066,12751,3283,16269,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.022062756925184335,0.046673049305888,32.838579177856445
21,index_20,16,16,B,B,1,282,124106,119258,4808,124388,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",0.12565725203809047,0.2902106270943034,371.52578830718994
22,index_21,16,16,D,D,1,142,63953,31105,32820,64095,"[""C"", ""D"", ""C"", ""D"", ""D"", ""D"", ""C"", ""C"", ""D"", ""C"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.06635684170670053,0.1231450454763044,697.2765958309174
23,index_22,16,16,C,D,0,280,186690,182866,3793,186970,"[""D"", ""B"", ""A"", ""B"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""D""]",0.294453591087986,0.562948779320249,362.4059793949127
24,index_23,16,16,B,A,0,230,193013,180272,12710,193243,"[""A"", ""A"", ""D"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""D"", ""A"", ""B""]",0.222316701098887,0.5160962182862614,513.51083111763
25,index_24,16,16,B,B,1,368,155532,150570,4928,155900,"[""D"", ""A"", ""C"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B""]",0.21867617797295766,0.4474629009095261,333.16394686698914
26,index_25,16,16,D,D,1,377,176403,170359,6012,176780,"[""D"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""A"", ""D""]",0.26394555655348717,0.4421373863092388,370.5796980857849
27,index_26,16,16,A,A,1,169,40827,37985,2810,40996,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.044997474920993735,0.0944830062230732,108.3425760269165
28,index_27,16,16,A,A,1,332,153097,147628,5438,153429,"[""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""B"", ""A"", ""A"", ""A""]",0.22556412010994117,0.4314265198659646,311.067209482193
