iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,threshold_schedule,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,aqua_rat_test_0,8,8,0,0.98,fixed,A,A,1,178,29821,29999,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",34,0.0447292551038704,0.0787458113930109,111.84665560722352
2,aqua_rat_test_1,8,8,0,0.98,fixed,E,E,1,158,34781,34939,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",42,0.0566235193958211,0.0909526089037817,117.00495314598083
3,aqua_rat_test_2,8,8,0,0.98,fixed,A,A,1,100,10315,10415,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",18,0.0125408201432992,0.0243537577788415,50.76629281044006
4,aqua_rat_test_3,8,8,0,0.98,fixed,B,B,1,146,17145,17291,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",22,0.0207273583594557,0.0432024892292962,80.14616823196411
5,aqua_rat_test_4,8,8,0,0.98,fixed,B,B,1,111,5725,5836,"[""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B""]",8,0.0088576146053465,0.0181306845380564,20.27707862854004
6,aqua_rat_test_5,8,8,0,0.98,fixed,D,D,1,169,13702,13871,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",17,0.022748618055467,0.0375179511728099,44.71311378479004
7,aqua_rat_test_6,8,8,0,0.98,fixed,D,D,1,127,11045,11172,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",17,0.0166176125937449,0.0302178075634275,40.21423363685608
8,aqua_rat_test_7,8,8,0,0.98,fixed,C,C,1,142,7928,8070,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",11,0.0125791532831302,0.0235160363810436,27.624351501464844
9,aqua_rat_test_8,8,8,0,0.98,fixed,E,E,1,133,22739,22872,"[""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E"", ""E""]",28,0.0358301468415703,0.0646242221158449,75.97260165214539
10,aqua_rat_test_9,8,8,0,0.98,fixed,D,D,1,120,8392,8512,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",13,0.0142063866507279,0.0272857826711344,26.30172371864319
