token,frequency
So,10
Wait,8
",",7
 the,6
 K,5
 amplitude,4
 but,4
.,4
=,4
 So,4
But,4
The,4
Hmm,4
:<newline><newline>,4
 is,3
2,3
 ),3
 I,3
.<newline><newline>,3
",<newline><newline>",3
 perhaps,3
 ,3
 =,3
Multiply,3
)<newline><newline>,3
 *,3
),3
 radial,2
 let,2
 then,2
a,2
In,2
 wait,2
 another,2
 M,2
We,2
Similarly,2
3,2
;,2
 �,2
).<newline><newline>,2
S,2
Combine,2
 Using,2
 there,1
 We,1
 like,1
"),",1
 star,1
 something,1
 ratio,1
 G,1
 again,1
 V,1
_system,1
 velocity,1
4,1
 →,1
1,1
 more,1
 Since,1
/M,1
Ah,1
 circular,1
 and,1
 of,1
 related,1
System,1
 to,1
 take,1
Take,1
Now,1
Let,1
 <newline><newline>,1
Then,1
I,1
N,1
Putting,1
:,1
 cube,1
 fraction,1
 Maybe,1
 without,1
 consider,1
Mass,1
Again,1
 approximately,1
 (,1
 than,1
 asking,1
 answer,1
 correct,1
 which,1
 way,1
 can,1
 solar,1
 Wait,1
 from,1
Total,1
<newline><newline>,1
 total,1
 For,1
