iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,10,6,0,0.8,33,33,1,189,22286,22475,"[""33"", ""33"", ""33"", ""33"", ""33"", ""33""]",21,0.04353350119460685,0.0735261152208025,61.60040211677551
2,index_1,10,2,0,0.8,23,23,1,221,25621,25842,"[""23"", ""23""]",30,0.0355171556402811,0.0582828962116117,171.74066281318665
3,index_2,10,4,0,0.8,116,116,1,167,17703,17870,"[""116"", ""116"", ""116"", ""116""]",17,0.035815499155243284,0.056041246357319,49.51652193069458
4,index_3,10,1,0,0.8,809,809,1,140,11181,11321,"[""809""]",13,0.015272304725202362,0.0321303145781962,74.02813625335693
5,index_4,10,1,0,0.8,197,70817,0,136,18467,18603,"[""70817""]",11,0.030600193293332988,0.0580587312261824,243.4216651916504
6,index_5,10,1,0,0.8,385,16,0,123,35179,35302,"[""16""]",38,0.0437706643219958,0.0768885900022416,248.4485731124878
7,index_6,10,1,0,0.8,371,419,0,118,21186,21304,"[""419""]",14,0.03641374493073201,0.0697900321303145,309.56451892852783
8,index_7,10,1,0,0.8,601,601,1,114,29266,29380,"[""601""]",33,0.03702019086390853,0.0668011656579242,170.453950881958
9,index_8,10,3,0,0.8,25,25,1,92,23983,24075,"[""25"", ""25"", ""25""]",24,0.0395303936282685,0.0659045057162071,74.19974660873413
10,index_9,10,1,0,0.8,55,55,1,103,11033,11136,"[""55""]",10,0.014753377003993411,0.0298886647239035,81.28185439109802
11,index_10,10,4,0,0.8,540,540,1,91,25111,25202,"[""540"", ""540"", ""540"", ""540""]",26,0.036041229312642586,0.0679219905850706,94.40878129005432
12,index_11,10,1,0,0.8,45,45,1,181,22174,22355,"[""45""]",26,0.03334487196578151,0.0585817828588507,93.93207240104675
13,index_12,10,2,0,0.8,204,204,1,176,12966,13142,"[""204"", ""204""]",18,0.022357664090758598,0.0369872225958305,47.00305223464966
14,index_13,10,1,0,0.8,699,699,1,113,36197,36310,"[""699""]",36,0.06001337501840355,0.1096166778749159,109.69316530227661
15,index_14,10,1,0,0.8,294,294,1,96,12704,12800,"[""294""]",18,0.017101832397483172,0.0291414481058058,72.14077568054199
16,index_15,10,1,0,0.8,110,110,1,107,22399,22506,"[""110""]",30,0.030690663299711794,0.0511096166778749,111.57883930206299
17,index_16,10,2,0,0.8,721,721,1,140,27996,28136,"[""721"", ""721""]",37,0.04846573404545047,0.0741238885152806,105.50383353233337
18,index_17,10,1,0,0.8,315,9,0,95,20443,20538,"[""9""]",16,0.0295550043970065,0.0535754315175969,220.27500462532043
19,index_18,10,1,0,0.8,468,208,0,95,28189,28284,"[""208""]",16,0.04612766741237973,0.0881715609355152,412.02714943885803
20,index_19,10,1,0,0.8,902,59049,0,142,14174,14316,"[""59049""]",9,0.02252130528068654,0.0415452439662258,152.90059518814087
21,index_20,10,1,0,0.8,211,121,0,165,31876,32041,"[""121""]",22,0.045598377967009524,0.0818949413434955,378.60603499412537
22,index_21,10,1,0,0.8,80,80,1,104,11601,11705,"[""80""]",9,0.016015661151030258,0.0298886647239035,93.9666006565094
23,index_22,10,2,0,0.8,480,480,1,126,16567,16693,"[""480"", ""480""]",32,0.0283512332451759,0.0512590600014943,105.65664958953857
24,index_23,10,1,0,0.8,236,236,1,113,13451,13564,"[""236""]",10,0.01829314209239838,0.0366883359485914,109.48291873931885
25,index_24,10,1,0,0.8,73,73,1,154,9641,9795,"[""73""]",10,0.01331655000997735,0.0328775311962937,62.065385818481445
26,index_25,10,1,0,0.8,113,9,0,397,32370,32767,"[""9""]",35,0.050703906571393745,0.0847343644922663,395.46724939346313
27,index_26,10,1,0,0.8,127,127,1,203,20669,20872,"[""127""]",14,0.03201629706236694,0.0584323395352313,248.0643560886383
28,index_27,10,1,0,0.8,104,236,0,194,21518,21712,"[""236""]",14,0.0309954736112798,0.0542479264738847,226.02235293388367
29,index_28,10,1,0,0.8,104,107,0,119,23625,23744,"[""107""]",12,0.038131515150449935,0.0726294552790853,332.39402747154236
30,index_29,10,1,0,0.8,321,321,1,104,13869,13973,"[""321""]",18,0.018328923670644568,0.0381080475229769,74.68820667266846
