iteration,question_id,n_chains_requested,n_chains_received,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_non_reasoning_tokens,total_tokens,individual_answers_str,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,64,64,C,C,1,151,187895,134582,53185,188046,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.2514938300116552,0.6143074581430745,135.83708453178406
2,index_1,64,64,D,D,1,158,461652,437174,24347,461810,"[""B"", ""B"", ""D"", ""D"", ""C"", ""B"", ""D"", ""C"", ""C"", ""B"", ""C"", ""B"", ""B"", ""B"", ""B"", ""D"", ""D"", ""D"", ""C"", ""B"", ""D"", ""B"", ""C"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""C"", ""B"", ""D"", ""B"", ""D"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""D"", ""D"", ""B"", ""C"", ""D"", ""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""D"", ""B"", ""C"", ""D"", ""D"", ""B"", ""D""]",0.5902496476973305,1.0,427.1202435493469
3,index_2,64,64,C,C,1,182,187976,134011,53837,188158,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.25915362291396793,0.6610350076103501,130.14235401153564
4,index_3,64,64,B,B,1,156,160804,138820,21856,160960,"[""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""D"", ""A"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""D"", ""B"", ""D"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""B"", ""D"", ""B"", ""B"", ""D"", ""B"", ""D"", ""D"", ""B"", ""D"", ""D"", ""B"", ""B"", ""B"", ""B"", ""A"", ""B"", ""B"", ""D"", ""B"", ""D"", ""D"", ""B"", ""B""]",0.20646543602617093,0.473820395738204,122.20378994941711
5,index_4,64,64,C,C,1,388,323482,236347,65428,323870,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.39664198564195313,0.860806697108067,299.8931317329407
6,index_5,64,64,C,C,1,202,395732,355983,39621,395934,"[""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""A"", ""C""]",0.6005116034250259,0.9461187214611873,434.9330065250397
7,index_6,64,64,C,C,1,194,516316,473008,43180,516510,"[""C"", ""C"", ""C"", ""B"", ""C"", ""D"", ""C"", ""C"", ""C"", ""A"", ""B"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""B"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""D"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C""]",0.660234522191505,1.0,648.665123462677
8,index_7,64,64,D,C,0,474,542277,275457,112005,542751,"[""C"", ""C"", ""A"", ""B"", ""C"", ""A"", ""A"", ""A"", ""A"", ""A"", ""C"", ""C"", ""C"", ""A"", ""A"", ""C"", ""A"", ""C"", ""D"", ""C"", ""D"", ""A"", ""A"", ""D"", ""A"", ""A"", ""C"", ""D"", ""D"", ""C"", ""A"", ""D"", ""D"", ""C"", ""C"", ""D"", ""D"", ""A"", ""C"", ""A"", ""A"", ""A"", ""D"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C""]",0.49701451368716965,1.0,947.9717910289764
9,index_8,64,64,A,C,0,265,245017,172942,41074,245282,"[""C"", ""A"", ""C"", ""C"", ""D"", ""B"", ""C"", ""C"", ""A"", ""A"", ""C"", ""C"", ""C"", ""C"", ""A"", ""D"", ""A"", ""A"", ""A"", ""C"", ""C"", ""C"", ""A"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""C"", ""C"", ""B"", ""B"", ""D"", ""A"", ""A"", ""C"", ""C"", ""C"", ""B"", ""A"", ""C"", ""C"", ""C"", ""A"", ""C"", ""A"", ""D"", ""C"", ""A"", ""C"", ""B"", ""C"", ""C"", ""C"", ""A""]",0.3157290731007935,0.7109589041095891,196.51398181915283
10,index_9,64,64,C,C,1,151,367004,338022,28854,367155,"[""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""B"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""B"", ""C"", ""B"", ""C"", ""C"", ""C"", ""B"", ""C"", ""B"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""D"", ""D"", ""C"", ""D"", ""B"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C""]",0.592701074855856,1.0,278.2248921394348
11,index_10,64,64,A,A,1,402,149836,91962,49808,150238,"[""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.2216466916201929,0.3705479452054794,110.59080004692078
12,index_11,64,64,D,D,1,177,256177,187068,68981,256354,"[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]",0.40244662844072515,0.8338660578386605,173.64797377586365
13,index_12,64,64,A,A,1,343,443093,312309,47985,443436,"[""A"", ""B"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""C"", ""A"", ""B"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""D"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A"", ""A""]",0.28216702960254186,1.0,758.8910133838654
14,index_13,64,64,D,D,1,151,244563,216522,27913,244714,"[""A"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D"", ""A"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""A"", ""D"", ""D"", ""D"", ""A"", ""A"", ""A"", ""D"", ""A"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D"", ""A"", ""D"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""A"", ""A"", ""D"", ""D"", ""A"", ""A""]",0.32912697860971263,0.7168949771689498,189.55911660194397
15,index_14,64,64,C,C,1,305,269450,190450,75054,269755,"[""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""D"", ""C"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""A"", ""D"", ""D"", ""C"", ""C"", ""C"", ""C"", ""A"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""D"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""D"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""D"", ""C"", ""C"", ""C"", ""C"", ""C"", ""D""]",0.1509262887877641,0.713013698630137,656.0793426036835
16,index_15,64,64,B,D,0,224,567443,523141,44174,567667,"[""B"", ""D"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D"", ""B"", ""A"", ""B"", ""C"", ""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""D"", ""A"", ""D"", ""B"", ""D"", ""D"", ""D"", ""B"", ""D"", ""B"", ""B"", ""A"", ""B"", ""D"", ""A"", ""A"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""C"", ""B"", ""B"", ""D"", ""C"", ""D"", ""A"", ""A"", ""B"", ""B"", ""A"", ""D"", ""B"", ""D"", ""D"", ""B"", ""B"", ""A"", ""D"", ""B"", ""B"", ""C"", ""B""]",0.7066021111420235,1.0,564.5575618743896
