iteration,question_id,n_chains_start,n_chains_completed_stream_for_voting,n_chains_error,similarity_threshold,correct_answer,voted_answer,final_score,prompt_tokens,total_completion_tokens,total_tokens,individual_answers_str,total_analysis_intervals,avg_kv_cache_usage,max_kv_cache_usage,processing_duration_sec
1,index_0,16,1,0,0.8,C,C,1,153,12977,13130,"[""C""]",16,0.014268998466066562,0.0362769606418231,49.182429790496826
2,index_1,16,1,0,0.8,D,D,1,160,26011,26171,"[""D""]",17,0.03338327247230963,0.0640660426719377,435.52639412879944
3,index_2,16,2,0,0.8,C,C,1,184,18387,18571,"[""C"", ""C""]",20,0.023918661281545364,0.0455787454217777,52.268744468688965
4,index_3,16,1,0,0.8,B,B,1,158,17051,17209,"[""B""]",10,0.015296569638366331,0.0472065577582698,120.2388551235199
5,index_4,16,3,0,0.8,C,C,1,390,24208,24598,"[""C"", ""C"", ""C""]",27,0.03672512597691203,0.0610429626184524,74.96624541282654
6,index_5,16,1,0,0.8,C,C,1,204,31536,31740,"[""C""]",24,0.03431641832914923,0.0620894134061973,417.28684854507446
7,index_6,16,1,0,0.8,C,C,1,196,12903,13099,"[""C""]",14,0.012650978369612093,0.0381373175978141,71.5289261341095
8,index_7,16,1,0,0.8,D,D,1,476,22017,22493,"[""D""]",19,0.02536871863844618,0.0774954944479971,93.20794129371643
9,index_8,16,1,0,0.8,A,A,1,267,14778,15045,"[""A""]",21,0.01810874037764625,0.0427882099877914,58.86104655265808
10,index_9,16,1,0,0.8,C,C,1,153,12264,12417,"[""C""]",14,0.011926739303054584,0.0372071391198186,79.92645740509033
11,index_10,16,1,0,0.8,A,A,1,404,13489,13893,"[""A""]",17,0.0190174216110248,0.0492994593337596,54.23651146888733
12,index_11,16,1,0,0.8,D,D,1,179,31254,31433,"[""D""]",32,0.033577576221910196,0.0725539212836463,99.66744422912598
13,index_12,16,1,0,0.8,A,A,1,345,15179,15524,"[""A""]",12,0.016706351844369034,0.0465089238997732,133.93782544136047
14,index_13,16,1,0,0.8,D,A,0,153,15638,15791,"[""A""]",13,0.01502439702984573,0.0372071391198186,125.8107328414917
15,index_14,16,1,0,0.8,C,C,1,307,15597,15904,"[""C""]",16,0.0161035338283855,0.0437183884657869,95.13062334060669
16,index_15,16,1,0,0.8,B,D,0,226,21415,21641,"[""D""]",15,0.02455888195185141,0.0445322946340328,275.0076115131378
17,index_16,16,1,0,0.8,C,C,1,163,10059,10222,"[""C""]",10,0.010757306105135152,0.0317423405615953,42.867536306381226
18,index_17,16,1,0,0.8,B,A,0,250,19528,19778,"[""A""]",16,0.0180552945623134,0.0492994593337596,119.95941829681396
